,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0,0,1,0,0,1,1,1,3,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,3,N
1,0,1,0,1,1,1,1,5,32.5,5.32,919.39,0.06,40,0.19,51.08,172.88,13,27,11,9,5,N
2,22,43,3,11,26,18,15,128,109.63,42.03,193686.35,1.54,666,0.02,10760.35,4607.96,255,411,91,30,131,N
3,2,11,0,1,7,6,1,35,55.65,17.14,16352.99,0.32,165,0.06,908.5,953.92,60,105,35,20,35,N
4,0,7,0,0,5,4,3,23,29.4,14.39,6090.84,0.14,89,0.07,338.38,423.18,31,58,14,13,23,N
5,1,1,0,11,1,1,1,5,32.02,5.63,1012.98,0.06,41,0.18,56.28,180.09,15,26,12,9,5,N
6,0,4,1,0,3,2,1,9,16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,6,23,5,12,10,N
7,5,18,0,0,10,10,5,52,80.76,27.14,59492.48,0.73,353,0.04,3305.14,2191.94,137,216,53,21,52,N
8,0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
9,0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
10,1,13,0,0,7,7,1,22,54.54,15.58,13243.53,0.28,153,0.06,735.75,849.85,55,98,30,17,22,N
11,0,1,0,0,1,1,1,3,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,4,7,4,6,3,N
12,5,11,0,11,7,5,1,44,42.06,32.72,45051.12,0.46,236,0.03,2502.84,1376.56,90,146,33,24,44,N
13,0,1,0,0,1,1,1,2,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,2,N
14,0,1,0,0,1,1,1,3,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,3,N
15,5,11,0,2,6,5,1,22,35.31,19.55,13490.6,0.23,128,0.05,749.48,690.22,43,85,22,20,22,N
16,3,7,0,2,4,4,1,17,33.69,16.2,8841.71,0.18,104,0.06,491.21,545.78,36,68,20,18,17,N
17,0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0,N
18,1,1,0,0,1,1,1,5,14.99,5.33,426.42,0.03,21,0.19,23.69,79.95,8,13,6,8,5,N
19,1,7,0,0,4,4,1,12,44.33,7.33,2383.85,0.11,70,0.14,132.44,325.07,22,48,15,10,12,N
20,5,11,0,5,6,6,1,28,44.43,18.41,15056.5,0.27,157,0.05,836.47,817.88,54,103,22,15,28,N
21,2,5,0,0,3,3,1,15,40.99,14.0,8034.06,0.19,111,0.07,446.34,573.86,44,67,22,14,15,N
22,3,5,0,0,3,3,1,21,45.77,15.0,10297.93,0.23,129,0.07,572.11,686.53,50,79,25,15,21,N
23,3,11,0,0,6,4,4,21,37.67,18.75,13244.88,0.24,131,0.05,735.83,706.39,50,81,24,18,21,N
24,11,43,0,4,22,17,12,103,70.89,48.94,169799.06,1.16,557,0.02,9433.28,3469.45,208,349,51,24,103,N
25,1,5,0,0,3,3,1,12,26.16,9.23,2229.05,0.08,52,0.11,123.84,241.48,20,32,13,12,12,N
26,1,3,0,0,2,2,1,8,18.67,7.71,1110.86,0.05,36,0.13,61.71,144.0,12,24,7,9,8,N
27,3,11,0,0,6,6,1,25,30.2,25.0,18875.0,0.25,151,0.04,1048.61,755.0,50,101,16,16,25,N
28,0,3,0,0,2,2,1,8,20.81,9.0,1685.67,0.06,42,0.11,93.65,187.3,15,27,10,12,8,N
29,0,1,0,0,1,1,1,3,14.4,3.0,129.56,0.01,13,0.33,7.2,43.19,4,9,4,6,3,N
30,0,3,0,0,2,2,1,4,16.32,4.67,355.35,0.03,20,0.21,19.74,76.15,7,13,6,8,4,N
31,5,11,0,0,6,5,1,22,39.49,17.0,11411.18,0.22,127,0.06,633.95,671.25,44,83,22,17,22,N
32,1,5,0,0,3,3,1,11,23.27,11.38,3010.96,0.09,57,0.09,167.28,264.7,21,36,12,13,11,N
33,15,33,0,9,17,13,12,76,69.47,40.7,115062.64,0.94,473,0.02,6392.37,2827.25,175,298,43,20,76,N
34,15,19,1,8,10,9,4,64,59.77,42.39,107406.67,0.84,412,0.02,5967.04,2533.7,156,256,46,25,65,N
35,0,4,1,0,3,2,1,9,16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,6,23,5,12,10,N
36,5,19,0,0,11,11,7,71,122.92,19.86,48468.15,0.81,385,0.05,2692.68,2440.84,139,246,63,18,71,N
37,0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
38,0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
39,1,20,0,2,11,8,1,39,60.86,22.0,29456.04,0.45,224,0.05,1636.45,1338.91,82,142,41,22,39,N
40,0,1,0,0,1,1,1,5,17.44,4.67,379.91,0.03,22,0.21,21.11,81.41,8,14,6,7,5,N
41,5,3,0,1,2,2,1,17,50.08,14.0,9816.39,0.23,139,0.07,545.36,701.17,56,83,22,11,17,N
42,12,11,0,0,7,5,4,54,88.12,18.17,29080.61,0.53,271,0.06,1615.59,1600.77,109,162,45,15,54,N
43,0,1,0,0,1,1,1,6,21.8,6.19,834.61,0.04,33,0.16,46.37,134.89,11,22,8,9,6,N
44,19,18,0,1,11,9,7,88,151.9,21.7,71508.8,1.1,504,0.05,3972.71,3295.74,194,310,76,17,88,N
45,9,12,0,2,7,7,6,30,52.03,24.0,29970.57,0.42,216,0.04,1665.03,1248.77,84,132,35,20,30,N
46,2,3,0,1,2,2,1,8,26.84,8.18,1796.86,0.07,50,0.12,99.83,219.62,18,32,11,10,8,N
47,1,6,0,0,4,3,1,20,36.92,14.61,7876.2,0.18,106,0.07,437.57,539.27,37,69,19,15,20,N
48,1,6,0,0,4,3,3,19,29.26,13.5,5332.5,0.13,79,0.07,296.25,395.0,27,52,16,16,19,N
49,28,59,1,38,36,34,20,241,238.08,40.75,395438.84,3.23,1287,0.02,21968.82,9702.9,480,807,159,27,242,N
50,12,15,0,16,9,9,1,61,90.69,22.53,46024.85,0.68,327,0.04,2556.94,2043.07,118,209,55,21,61,N
51,1,5,0,4,4,3,1,29,47.03,16.63,12999.77,0.26,149,0.06,722.21,781.94,57,92,24,14,29,N
52,0,3,0,0,2,2,1,8,20.33,9.78,1943.91,0.07,46,0.1,107.99,198.81,16,30,9,11,8,N
53,4,5,0,0,3,3,1,19,58.1,12.43,8983.13,0.24,142,0.08,499.06,722.42,52,90,23,11,19,N
54,0,3,0,0,2,2,1,8,20.33,9.78,1943.91,0.07,46,0.1,107.99,198.81,16,30,9,11,8,N
55,20,25,2,18,14,9,5,102,163.29,25.13,103097.32,1.37,590,0.04,5727.63,4102.97,233,357,102,22,104,N
56,1,4,0,0,3,2,1,19,32.14,12.08,4693.39,0.13,77,0.08,260.74,388.42,29,48,18,15,19,N
57,2,13,0,0,8,6,3,36,46.09,20.67,19687.59,0.32,179,0.05,1093.75,952.63,62,117,24,16,36,N
58,3,6,0,0,4,3,3,13,28.67,7.0,1404.72,0.07,45,0.14,78.04,200.67,14,31,11,11,13,N
59,5,11,0,14,6,6,5,18,42.78,14.62,9144.94,0.21,116,0.07,508.05,625.51,43,73,25,17,18,N
60,0,1,0,0,1,1,1,3,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,3,5,3,5,3,N
61,2,6,0,0,4,3,3,13,28.67,7.0,1404.72,0.07,45,0.14,78.04,200.67,14,31,11,11,13,N
62,0,6,0,0,4,3,1,13,21.05,11.25,2664.41,0.08,51,0.09,148.02,236.84,15,36,10,15,13,N
63,0,6,0,0,4,3,1,16,24.11,11.64,3264.45,0.09,59,0.09,181.36,280.54,16,43,11,16,16,N
64,3,10,0,2,6,6,1,23,38.97,10.97,4689.17,0.14,88,0.09,260.51,427.5,27,61,16,13,23,N
65,0,1,0,0,1,1,1,3,10.57,3.0,95.1,0.01,10,0.33,5.28,31.7,3,7,3,6,3,N
66,0,1,0,0,1,1,1,3,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,3,N
