,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0,2,3,2,7,2,1,1,9,13.5,7.33,725.94,0.03,26,0.14,40.33,98.99,11,15,6,8,11,N
1,1,3,1,0,2,1,1,14,17.24,7.5,969.51,0.04,31,0.13,53.86,129.27,12,19,8,10,15,N
2,6,5,4,5,3,2,1,11,24.87,11.46,3265.45,0.09,63,0.09,181.41,284.98,25,38,12,11,15,N
3,6,5,4,3,3,1,1,11,19.66,14.3,4019.85,0.09,64,0.07,223.32,281.11,26,38,10,11,15,N
4,2,3,0,1,2,1,1,7,12.09,6.3,479.73,0.03,20,0.16,26.65,76.15,7,13,5,9,7,N
5,18,46,6,24,26,15,23,114,43.0,57.74,143350.9,0.83,395,0.02,7963.94,2482.73,166,229,46,32,120,Y
6,0,3,0,0,2,1,1,5,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,4,7,4,5,5,N
7,0,3,0,1,2,1,1,11,16.29,7.56,931.62,0.04,29,0.13,51.76,123.19,11,18,8,11,11,N
8,4,13,0,3,7,7,6,35,34.45,12.83,5673.31,0.15,91,0.08,315.18,442.08,42,49,18,11,35,N
9,0,3,0,1,2,1,1,11,16.94,8.13,1118.06,0.05,33,0.12,62.11,137.61,13,20,8,10,11,N
10,0,1,0,0,1,1,1,4,13.59,8.17,906.61,0.04,30,0.12,50.37,111.01,14,16,6,7,4,Y
11,2,1,0,14,1,1,1,4,11.01,14.0,2158.15,0.05,43,0.07,119.9,154.15,20,23,5,7,4,Y
12,0,1,0,0,1,1,1,4,13.84,6.42,569.87,0.03,24,0.16,31.66,88.81,11,13,6,7,4,Y
13,1,19,0,0,10,3,4,43,41.82,26.68,29766.87,0.37,202,0.04,1653.71,1115.76,83,119,28,18,43,N
14,1,7,0,0,4,2,1,9,9.94,20.43,4149.67,0.07,47,0.05,230.54,203.13,22,25,7,13,9,N
15,1,19,0,0,10,4,1,28,14.36,37.09,19752.67,0.18,112,0.03,1097.37,532.55,51,61,11,16,28,N
16,2,9,0,0,5,1,3,16,32.0,18.75,11252.36,0.2,117,0.05,625.13,600.13,50,67,20,15,16,N
17,1,21,0,0,11,7,9,28,25.13,31.64,25154.15,0.27,155,0.03,1397.45,795.04,67,88,18,17,28,N
18,1,7,0,0,4,2,3,7,10.97,13.0,1854.11,0.05,33,0.08,103.01,142.62,14,19,7,13,7,N
19,1,1,0,0,1,1,1,6,7.67,10.13,786.81,0.03,21,0.1,43.71,77.71,9,12,4,9,6,N
20,1,13,6,0,7,1,1,17,14.31,38.64,21359.95,0.18,115,0.03,1186.66,552.85,50,65,11,17,23,N
21,0,3,0,0,2,2,1,13,12.55,12.86,2075.42,0.05,38,0.08,115.3,161.42,15,23,7,12,13,N
22,1,21,0,0,11,7,9,28,22.35,34.53,26650.95,0.26,153,0.03,1480.61,771.79,65,88,16,17,28,N
23,13,11,0,2,6,1,1,17,10.59,29.0,8908.58,0.1,67,0.03,494.92,307.19,29,38,8,16,17,N
24,6,15,0,2,8,2,3,31,33.62,28.08,26512.3,0.31,174,0.04,1472.91,944.17,78,96,25,18,31,N
25,0,1,0,0,1,1,1,2,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,3,6,3,6,2,N
26,5,5,0,7,3,1,1,14,15.99,6.67,710.71,0.04,28,0.15,39.48,106.61,10,18,6,8,14,Y
27,5,5,0,4,3,2,1,7,20.57,8.17,1372.0,0.06,42,0.12,76.22,168.0,21,21,9,7,7,Y
28,4,7,0,2,4,1,3,12,17.23,21.0,7600.61,0.12,77,0.05,422.26,361.93,36,41,12,14,12,Y
29,9,11,0,33,6,2,1,23,19.5,40.24,31575.87,0.26,153,0.02,1754.21,784.78,76,77,17,18,23,Y
30,22,38,2,61,20,10,13,124,59.36,88.78,467827.72,1.76,820,0.01,25990.43,5269.54,388,432,59,27,126,Y
31,17,45,5,44,23,2,5,57,26.44,78.12,161381.25,0.69,374,0.01,8965.62,2065.81,186,188,25,21,62,Y
32,0,3,0,0,2,1,1,3,6.18,5.0,154.4,0.01,11,0.2,8.58,30.88,4,7,2,5,3,N
33,0,7,0,0,4,1,3,4,7.75,9.0,627.65,0.02,22,0.11,34.87,69.74,9,13,3,6,4,N
34,0,3,0,0,2,1,1,3,6.18,5.0,154.4,0.01,11,0.2,8.58,30.88,4,7,2,5,3,N
35,0,7,0,0,4,1,3,4,7.75,9.0,627.65,0.02,22,0.11,34.87,69.74,9,13,3,6,4,N
36,0,3,0,0,2,1,1,3,8.36,9.0,677.56,0.03,21,0.11,37.64,75.28,6,15,3,9,3,Y
37,7,25,0,18,13,3,6,48,39.18,58.48,133998.62,0.76,400,0.02,7444.37,2291.17,193,207,33,20,48,Y
38,8,27,0,20,14,4,1,39,32.18,40.48,52735.32,0.43,254,0.02,2929.74,1302.84,137,117,22,13,39,Y
39,1,5,0,0,3,1,1,12,15.48,36.25,20339.03,0.19,118,0.03,1129.95,561.08,58,60,12,15,12,Y
40,1,5,0,0,3,1,1,11,15.38,17.82,4881.96,0.09,59,0.06,271.22,273.99,28,31,11,14,11,Y
41,24,12,2,28,7,1,1,46,28.27,37.3,39335.04,0.35,192,0.03,2185.28,1054.44,78,114,23,22,48,N
42,0,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,N
43,23,9,0,11,5,3,3,31,33.42,21.5,15450.32,0.24,139,0.05,858.35,718.62,43,96,18,18,31,Y
44,5,5,0,6,3,2,3,12,28.47,8.75,2179.83,0.08,53,0.11,121.1,249.12,15,38,12,14,12,Y
45,19,19,1,12,10,7,7,48,30.16,26.1,20545.64,0.26,150,0.04,1141.42,787.19,58,92,20,18,49,Y
46,6,7,0,6,4,1,4,15,24.1,11.69,3294.46,0.09,58,0.09,183.03,281.76,19,39,13,16,15,Y
47,67,59,3,85,30,8,23,121,37.4,107.21,429807.51,1.34,676,0.01,23878.2,4009.18,270,406,34,27,124,Y
48,0,5,0,0,3,1,1,4,8.14,8.17,542.58,0.02,20,0.12,30.14,66.44,7,13,3,7,4,N
49,1,5,0,0,3,1,1,6,10.29,11.92,1461.27,0.04,30,0.08,81.18,122.62,13,17,6,11,6,N
50,6,7,2,6,4,4,1,55,59.86,19.78,23415.51,0.39,224,0.05,1300.86,1183.93,89,135,27,12,57,N
51,2,7,2,0,4,1,1,20,17.76,19.62,6833.79,0.12,71,0.05,379.65,348.39,30,41,13,17,22,N
52,4,1,0,2,1,1,1,2,9.06,3.5,110.95,0.01,10,0.29,6.16,31.7,2,8,2,7,2,N
53,1,3,0,0,2,1,1,9,10.82,9.75,1028.49,0.04,27,0.1,57.14,105.49,13,14,6,9,9,Y
54,1,3,0,0,2,1,1,9,12.01,14.62,2569.51,0.06,40,0.07,142.75,175.69,18,22,8,13,9,Y
55,4,5,0,2,3,2,3,18,19.51,15.71,4814.52,0.1,66,0.06,267.47,306.49,29,37,12,13,18,N
56,9,23,5,9,12,4,8,41,42.25,28.27,33760.15,0.4,215,0.04,1875.56,1194.24,70,145,26,21,46,Y
57,1,3,0,2,2,1,1,7,10.42,8.25,709.1,0.03,22,0.12,39.39,85.95,11,11,6,9,7,N
58,1,3,1,0,2,1,1,12,15.45,7.14,788.3,0.04,27,0.14,43.79,110.36,10,17,7,10,13,N
59,5,1,4,2,1,1,1,5,17.11,10.29,1810.29,0.06,44,0.1,100.57,176.0,16,28,7,9,9,N
60,3,5,2,7,3,1,1,28,21.41,27.56,16265.89,0.2,116,0.04,903.66,590.15,49,67,16,18,30,N
61,1,3,0,1,2,1,1,3,10.89,5.4,317.58,0.02,17,0.19,17.64,58.81,9,8,5,6,3,N
62,6,15,0,7,8,1,3,24,20.68,26.5,14523.02,0.18,114,0.04,806.83,548.04,53,61,14,14,24,N
63,3,3,0,4,2,1,1,6,13.71,9.43,1218.81,0.04,31,0.11,67.71,129.27,12,19,7,11,6,N
64,4,1,0,2,1,1,1,7,19.88,8.33,1380.58,0.06,39,0.12,76.7,165.67,15,24,9,10,7,Y
65,0,1,2,0,1,1,1,1,18.82,3.0,169.42,0.02,17,0.33,9.41,56.47,4,13,4,6,3,N
66,3,9,0,2,5,1,1,10,19.92,14.32,4084.22,0.1,66,0.07,226.9,285.25,35,31,11,9,10,Y
67,10,13,1,11,7,3,1,30,25.16,22.0,12176.57,0.18,104,0.05,676.48,553.48,44,60,20,20,31,N
68,5,25,0,24,13,5,8,60,18.77,90.0,152013.39,0.56,332,0.01,8445.19,1689.04,160,172,16,18,60,Y
69,0,5,0,0,3,1,1,6,12.29,9.33,1070.66,0.04,31,0.11,59.48,114.71,16,15,6,7,6,N
70,1,3,0,1,2,1,1,3,8.3,6.0,298.97,0.02,15,0.17,16.61,49.83,8,7,4,6,3,N
71,7,15,0,8,8,1,4,31,23.89,26.39,16634.07,0.21,121,0.04,924.12,630.34,50,71,18,19,31,N
72,6,13,4,4,7,3,1,43,43.96,48.0,101286.83,0.7,372,0.02,5627.05,2110.14,176,196,33,18,47,N
73,9,11,3,28,10,7,1,32,42.29,10.45,4622.69,0.15,82,0.1,256.82,442.17,23,59,22,20,35,Y
74,0,3,0,0,2,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
75,17,7,16,32,4,1,1,68,73.69,37.76,105042.17,0.93,471,0.03,5835.68,2782.15,191,280,43,17,84,N
76,29,69,0,37,35,1,26,163,50.5,87.12,383277.96,1.47,751,0.01,21293.22,4399.34,307,444,37,21,163,N
77,3,9,0,4,5,1,1,18,17.99,13.0,3039.83,0.08,51,0.08,168.88,233.83,22,29,11,13,18,N
78,16,19,0,22,10,1,7,50,21.17,41.36,36223.29,0.29,191,0.02,2012.4,875.73,70,121,11,13,50,N
79,1,5,0,0,3,2,1,10,16.87,13.59,3115.69,0.08,50,0.07,173.09,229.25,23,27,11,13,10,N
80,13,13,2,13,7,2,4,39,42.89,24.48,25705.69,0.35,187,0.04,1428.09,1049.95,71,116,29,20,41,N
81,2,3,0,2,2,2,1,8,22.19,2.0,88.76,0.01,14,0.5,4.93,44.38,5,9,5,4,8,N
82,10,13,0,11,7,1,5,24,32.5,17.19,9606.08,0.19,105,0.06,533.67,558.8,38,67,21,19,24,Y
83,10,9,0,11,5,2,3,19,28.47,15.06,6456.82,0.14,85,0.07,358.71,428.77,32,53,17,16,19,N
84,11,9,0,12,5,2,3,29,33.09,17.76,10439.17,0.2,109,0.06,579.95,587.76,43,66,23,19,29,N
85,12,11,0,15,6,2,3,23,31.56,17.2,9336.88,0.18,105,0.06,518.72,542.84,43,62,20,16,23,N
86,4,9,0,4,5,1,1,26,17.62,26.67,12532.75,0.16,107,0.04,696.26,469.98,40,67,9,12,26,N
87,5,15,0,5,8,1,5,41,15.49,65.83,67150.0,0.34,204,0.02,3730.56,1020.0,79,125,12,20,41,N
88,0,32,0,0,31,1,1,365,187.94,57.6,623450.46,3.61,1369,0.02,34636.14,10824.53,632,737,203,37,365,N
89,7,3,1,6,2,2,1,22,44.5,21.58,20724.8,0.32,183,0.05,1151.38,960.37,83,100,25,13,23,N
90,2,7,7,0,4,1,1,35,68.55,21.0,30230.73,0.48,249,0.05,1679.48,1439.56,123,126,41,14,42,N
91,71,19,19,63,10,6,3,78,66.83,32.56,70837.72,0.73,364,0.03,3935.43,2175.73,140,224,43,20,97,Y
92,62,9,19,50,5,2,1,42,46.62,31.57,46467.35,0.49,268,0.03,2581.52,1471.82,104,164,28,17,61,Y
93,105,125,19,123,63,9,36,225,88.2,93.2,766179.74,2.74,1217,0.01,42565.54,8220.7,463,754,77,31,244,Y
94,1,1,0,1,1,1,1,2,6.04,5.25,166.42,0.01,10,0.19,9.25,31.7,3,7,2,7,2,N
95,7,1,0,8,1,1,1,9,98.58,5.33,2796.39,0.18,107,0.19,155.36,525.04,35,72,23,7,9,Y
96,7,15,0,9,8,3,1,30,25.01,30.0,22511.76,0.25,141,0.03,1250.65,750.39,60,81,20,20,30,Y
97,10,13,6,10,7,1,5,51,92.21,26.26,63590.46,0.81,373,0.04,3532.8,2421.46,153,220,67,23,57,Y
98,14,13,3,17,7,5,1,66,49.82,40.86,83172.01,0.68,349,0.02,4620.67,2035.68,130,219,35,22,69,N
99,17,27,3,18,14,6,9,79,57.29,46.22,122395.16,0.88,435,0.02,6799.73,2648.05,159,276,43,25,82,N
100,9,3,0,6,2,1,1,30,57.3,10.61,6447.25,0.2,115,0.09,358.18,607.82,54,61,28,11,30,Y
101,4,1,0,5,1,1,1,13,85.14,2.4,490.38,0.07,49,0.42,27.24,204.33,24,25,15,3,13,N
102,60,115,19,98,58,16,39,287,107.39,96.09,991629.56,3.44,1479,0.01,55090.53,10319.4,615,864,96,30,306,Y
103,50,89,12,75,45,15,30,205,106.02,67.9,488861.64,2.4,1037,0.01,27158.98,7199.39,421,616,93,30,217,Y
104,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,N
105,9,17,0,10,9,2,6,42,11.27,102.9,119290.11,0.39,234,0.01,6627.23,1159.28,98,136,10,21,42,Y
106,15,21,0,16,11,9,4,74,52.32,34.5,62277.28,0.6,302,0.03,3459.85,1805.14,120,182,40,23,74,N
107,8,3,5,8,2,1,1,43,69.69,27.79,53839.29,0.65,345,0.04,2991.07,1937.07,126,219,34,15,48,N
108,45,61,2,68,31,3,20,160,61.68,64.5,256623.54,1.33,633,0.02,14256.86,3978.66,258,375,52,26,162,Y
109,2,1,0,3,1,1,1,6,22.27,6.67,989.91,0.05,39,0.15,55.0,148.49,10,29,6,8,6,Y
110,5,5,0,5,3,1,1,18,28.04,18.38,9467.23,0.17,105,0.05,525.96,515.22,42,63,16,14,18,N
111,24,19,0,27,10,3,1,104,45.63,55.2,139045.04,0.84,430,0.02,7724.72,2518.93,168,262,35,23,104,Y
112,2,1,0,3,1,1,1,6,22.27,6.67,989.91,0.05,39,0.15,55.0,148.49,10,29,6,8,6,N
113,4,1,6,5,1,1,1,9,29.53,12.0,4252.78,0.12,82,0.08,236.27,354.4,24,58,10,10,15,N
114,35,97,0,51,49,8,34,265,54.71,125.67,864010.77,2.29,1118,0.01,48000.6,6875.42,435,683,45,26,265,Y
115,6,3,0,7,2,1,1,13,16.23,21.09,7220.51,0.11,72,0.05,401.14,342.35,29,43,11,16,13,Y
116,47,41,9,68,24,14,8,100,75.13,27.46,56640.44,0.69,321,0.04,3146.69,2062.83,120,201,59,27,109,N
117,0,3,0,0,2,1,1,13,19.72,10.5,2174.18,0.07,53,0.1,120.79,207.07,24,29,8,7,13,N
118,5,5,0,28,3,1,1,12,37.29,9.0,3020.28,0.11,79,0.11,167.79,335.59,20,59,10,9,12,N
119,2,3,0,0,2,1,1,8,17.27,7.29,916.65,0.04,34,0.14,50.93,125.81,17,17,7,6,8,N
120,11,15,8,21,8,5,1,49,29.04,65.22,123506.5,0.63,349,0.02,6861.47,1893.77,150,199,23,20,57,Y
121,0,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,N
122,5,1,0,16,1,1,1,7,57.27,5.76,1903.03,0.11,72,0.17,105.72,330.12,28,44,17,7,7,N
123,24,24,3,17,20,1,1,91,65.56,23.68,36775.64,0.52,241,0.04,2043.09,1552.75,90,151,57,30,94,N
124,0,1,0,0,1,1,1,3,13.2,2.5,82.5,0.01,11,0.4,4.58,33.0,5,6,4,4,3,N
125,1,9,0,0,5,1,1,23,37.04,20.74,15931.15,0.26,151,0.05,885.06,768.21,67,84,21,13,23,N
126,9,13,0,14,7,3,1,30,29.37,18.17,9701.95,0.18,99,0.06,539.0,533.84,44,55,23,19,30,N
127,4,7,3,3,4,3,1,15,23.96,10.38,2583.65,0.08,55,0.1,143.54,248.8,27,28,13,10,18,N
128,10,1,0,22,1,1,1,11,34.65,10.5,3819.73,0.12,89,0.1,212.21,363.78,30,59,10,7,11,N
129,12,7,0,16,4,1,1,39,18.17,33.73,20674.45,0.2,132,0.03,1148.58,612.99,53,79,11,14,39,N
130,14,5,4,16,3,1,1,31,97.33,7.63,5668.74,0.25,133,0.13,314.93,742.8,58,75,38,10,35,N
131,0,1,0,2,1,1,1,9,70.59,3.0,635.32,0.07,49,0.33,35.3,211.77,24,25,16,4,9,N
132,0,1,0,0,1,1,1,3,10.57,3.0,95.1,0.01,10,0.33,5.28,31.7,3,7,3,6,3,N
133,8,23,0,14,12,5,6,32,39.63,24.05,22915.89,0.32,168,0.04,1273.1,952.97,81,87,32,19,32,Y
134,0,3,0,0,2,2,1,5,12.25,4.8,282.29,0.02,17,0.21,15.68,58.81,8,9,5,6,5,N
135,6,20,1,4,13,7,7,31,28.29,19.0,10212.78,0.18,101,0.05,567.38,537.51,38,63,20,20,32,Y
136,2,1,0,2,1,1,1,6,17.51,5.0,437.85,0.03,23,0.2,24.32,87.57,10,13,7,7,6,N
137,13,58,15,12,32,21,20,120,49.52,51.79,132801.57,0.85,408,0.02,7377.86,2564.44,175,233,49,29,135,Y
138,8,7,0,6,4,2,1,19,33.72,13.7,6324.89,0.15,88,0.07,351.38,461.82,42,46,23,15,19,N
139,15,1,0,13,1,1,1,21,71.25,9.69,6686.47,0.23,128,0.1,371.47,690.22,62,66,32,10,21,N
140,13,1,0,12,1,1,1,21,84.01,8.07,5476.14,0.23,125,0.12,304.23,678.28,61,64,34,9,21,N
141,5,3,0,3,2,1,1,7,25.78,4.5,522.0,0.04,29,0.22,29.0,116.0,15,14,10,6,7,N
142,5,3,0,3,2,1,1,7,26.67,4.5,540.0,0.04,30,0.22,30.0,120.0,15,15,10,6,7,N
143,5,3,0,3,2,1,1,7,26.67,4.2,470.4,0.04,28,0.24,26.13,112.0,14,14,10,6,7,N
144,30,69,4,52,35,18,17,125,84.68,27.62,64595.11,0.78,363,0.04,3588.62,2338.79,145,218,63,24,129,N
145,2,1,0,3,1,1,1,4,8.72,4.0,139.48,0.01,11,0.25,7.75,34.87,4,7,3,6,4,N
146,6,9,6,4,7,4,1,57,51.55,33.0,56139.09,0.57,288,0.03,3118.84,1701.18,132,156,40,20,63,N
147,10,1,0,1,1,1,1,20,64.31,7.2,3333.77,0.15,109,0.14,185.21,463.02,54,55,15,4,20,N
148,1,1,0,0,1,1,1,12,63.93,2.75,483.48,0.06,45,0.36,26.86,175.81,22,23,12,3,12,Y
149,8,11,0,6,6,2,1,19,34.67,15.0,7800.0,0.17,104,0.07,433.33,520.0,50,54,20,12,19,Y
150,16,13,11,18,7,2,1,53,104.87,24.88,64889.48,0.87,407,0.04,3604.97,2608.62,199,208,68,17,64,N
151,24,51,11,21,26,2,13,82,93.16,39.49,145307.86,1.23,555,0.03,8072.66,3679.29,261,294,76,23,93,N
152,1,9,0,0,5,4,5,27,29.15,10.71,3341.46,0.1,63,0.09,185.64,312.11,26,37,17,14,27,Y
153,14,24,0,14,15,9,3,59,46.74,21.17,20950.15,0.33,162,0.05,1163.9,989.58,62,100,41,28,59,Y
154,26,31,9,21,16,2,1,78,85.18,35.77,109011.28,1.02,478,0.03,6056.18,3047.27,241,237,64,19,87,Y
155,19,13,11,19,7,2,1,57,113.84,25.03,71345.69,0.95,439,0.04,3963.65,2849.92,215,224,73,17,68,N
156,5,3,7,3,2,2,1,18,69.2,12.83,11396.12,0.3,159,0.08,633.12,888.01,77,82,36,12,25,N
157,23,15,10,27,8,2,1,75,136.41,27.35,102014.82,1.24,542,0.04,5667.49,3730.39,268,274,98,20,85,N
158,7,1,1,38,1,1,1,8,26.79,7.0,1312.72,0.06,48,0.14,72.93,187.53,16,32,8,7,9,N
159,0,1,0,0,1,1,1,3,11.58,2.67,82.35,0.01,11,0.38,4.57,30.88,4,7,3,4,3,N
160,3,1,0,5,1,1,1,5,12.4,3.75,174.4,0.02,14,0.27,9.69,46.51,5,9,4,6,5,N
