,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0,0,11,0,0,10,10,1,14,36.78,13.21,6421.79,0.16,94,0.08,356.77,485.97,37,57,21,15,14,N
1,8,7,0,6,4,4,1,26,76.96,8.0,4925.18,0.21,108,0.13,273.62,615.65,48,60,39,13,26,N
2,1,5,0,0,3,3,1,11,31.66,6.43,1308.6,0.07,45,0.16,72.7,203.56,20,25,14,9,11,N
3,2,5,0,4,3,1,1,9,14.06,7.5,791.15,0.04,27,0.13,43.95,105.49,10,17,6,9,9,N
4,4,9,0,6,5,3,5,15,26.04,12.0,3749.74,0.1,65,0.08,208.32,312.48,32,33,16,12,15,N
5,2,4,0,2,3,2,1,13,24.23,7.0,1187.51,0.06,37,0.14,65.97,169.64,14,23,12,12,13,N
6,6,13,0,6,7,6,1,31,62.84,11.23,7918.85,0.24,130,0.09,439.94,705.41,58,72,31,12,31,N
7,11,1,0,17,1,1,1,20,70.27,5.14,1858.48,0.12,76,0.19,103.25,361.37,36,40,21,6,20,Y
8,13,1,0,11,1,1,1,30,50.29,11.16,6260.44,0.19,118,0.09,347.8,561.08,53,65,19,8,30,N
9,2,1,0,2,1,1,1,10,19.73,9.35,1724.86,0.06,42,0.11,95.83,184.48,17,25,10,11,10,N
10,2,1,0,2,1,1,1,10,23.8,4.0,380.74,0.03,25,0.25,21.15,95.18,8,17,7,7,10,N
11,1,1,0,2,1,1,1,4,6.67,4.5,135.0,0.01,10,0.22,7.5,30.0,3,7,2,6,4,N
12,2,1,0,2,1,1,1,9,37.91,4.75,855.4,0.06,41,0.21,47.52,180.09,19,22,14,7,9,N
13,2,1,0,0,1,1,1,7,21.11,4.81,488.85,0.03,26,0.21,27.16,101.58,11,15,8,7,7,N
14,2,1,0,5,1,1,1,5,16.53,6.43,683.19,0.04,26,0.16,37.96,106.27,9,17,7,10,5,N
15,4,3,0,0,2,2,1,28,40.86,10.25,4292.33,0.14,81,0.1,238.46,418.76,41,40,24,12,28,N
16,5,5,0,3,3,2,1,15,17.13,15.61,4172.6,0.09,53,0.06,231.81,267.35,23,30,14,19,15,N
17,1,7,0,0,4,1,1,12,14.65,16.36,3922.73,0.08,51,0.06,217.93,239.72,24,27,11,15,12,N
18,0,3,0,0,2,2,1,7,8.64,4.17,150.0,0.01,12,0.24,8.33,36.0,5,7,3,5,7,N
19,3,5,0,15,3,2,1,16,20.14,12.83,3317.73,0.09,55,0.08,184.32,258.51,22,33,12,14,16,Y
20,3,7,0,2,4,4,1,31,64.76,7.4,3542.75,0.16,90,0.14,196.82,478.97,39,51,29,11,31,N
21,2,5,0,2,3,3,1,26,56.24,6.87,2658.2,0.13,76,0.15,147.68,386.65,33,43,24,10,26,N
22,8,1,0,7,1,1,1,23,73.09,9.33,6367.15,0.23,133,0.11,353.73,682.19,63,70,27,8,23,N
23,17,15,0,11,8,8,1,44,121.61,9.12,10120.84,0.37,181,0.11,562.27,1109.4,80,101,57,13,44,Y
24,1,1,0,0,1,1,1,7,39.26,2.95,342.73,0.04,29,0.34,19.04,116.0,13,16,11,5,7,N
25,0,1,0,1,1,1,1,3,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,3,4,3,4,3,N
26,3,5,0,2,3,3,1,16,22.71,10.68,2589.55,0.08,51,0.09,143.86,242.5,23,28,14,13,16,N
27,20,33,0,9,28,15,1,100,78.34,47.45,176348.54,1.24,526,0.02,9797.14,3716.76,223,303,94,40,100,N
28,1,3,0,3,2,2,1,9,38.84,8.35,2705.36,0.11,75,0.12,150.3,324.14,31,44,13,7,9,Y
29,4,7,0,0,5,2,1,22,27.67,17.58,8545.97,0.16,92,0.06,474.78,486.26,37,55,20,19,22,N
30,9,28,0,4,22,21,1,46,54.53,33.06,59603.26,0.6,286,0.03,3311.29,1802.88,114,172,50,29,46,N
31,1,1,0,0,1,1,1,11,30.03,7.6,1734.58,0.08,48,0.13,96.37,228.23,19,29,15,12,11,N
32,5,9,3,0,8,2,1,15,31.94,9.71,3008.82,0.1,62,0.1,167.16,310.0,22,40,17,15,18,N
33,2,1,0,3,1,1,1,17,64.06,6.75,2918.97,0.14,92,0.15,162.17,432.44,45,47,20,6,17,N
34,5,21,1,2,11,2,10,36,47.96,18.75,16859.61,0.3,161,0.05,936.64,899.18,75,86,32,16,37,N
35,2,3,0,0,2,2,1,10,26.13,7.46,1455.85,0.07,42,0.13,80.88,195.04,19,23,14,11,10,N
