,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0,22,15,4,11,8,5,1,32,43.42,14.61,9265.54,0.21,120,0.07,514.75,634.25,42,78,23,16,36,Y
1,7,1,0,2,1,1,1,7,14.47,10.0,1446.79,0.05,38,0.1,80.38,144.68,8,30,4,10,7,N
2,10,3,0,2,2,2,1,10,17.77,9.0,1439.2,0.05,37,0.11,79.96,159.91,12,25,8,12,10,N
3,9,3,0,6,2,2,1,10,18.25,9.0,1478.1,0.05,38,0.11,82.12,164.23,12,26,8,12,10,N
4,3,1,0,0,1,1,1,4,8.54,4.67,186.03,0.01,12,0.21,10.33,39.86,4,8,3,7,4,N
5,9,1,0,3,1,1,1,8,21.89,4.0,350.28,0.03,23,0.25,19.46,87.57,8,15,7,7,8,N
6,8,3,9,5,2,2,1,10,33.28,9.97,3306.02,0.11,69,0.1,183.67,331.71,23,46,15,13,19,Y
7,5,1,0,1,1,1,1,6,16.3,4.08,271.98,0.02,18,0.24,15.11,66.61,7,11,6,7,6,N
8,5,1,0,1,1,1,1,7,18.52,6.75,843.89,0.04,32,0.15,46.88,125.02,9,23,6,9,7,N
9,6,5,1,1,3,1,3,17,20.8,13.72,3916.37,0.1,64,0.07,217.58,285.4,19,45,9,13,18,N
10,4,1,1,2,1,1,1,2,11.62,3.0,104.61,0.01,11,0.33,5.81,34.87,3,8,3,6,3,Y
11,6,3,1,1,2,1,1,16,23.3,10.39,2514.4,0.08,56,0.1,139.69,242.03,17,39,9,11,17,Y
12,6,1,0,1,1,1,1,10,21.06,8.36,1470.86,0.06,44,0.12,81.71,176.0,13,31,7,9,10,N
13,5,1,0,1,1,1,1,6,19.22,6.19,735.95,0.04,28,0.16,40.89,118.94,9,19,8,11,6,N
14,7,1,0,1,1,1,1,10,21.06,8.36,1470.86,0.06,44,0.12,81.71,176.0,13,31,7,9,10,N
15,5,1,0,1,1,1,1,7,17.36,6.75,791.15,0.04,30,0.15,43.95,117.21,9,21,6,9,7,N
16,6,1,0,2,1,1,1,8,25.29,7.22,1319.22,0.06,43,0.14,73.29,182.66,13,30,9,10,8,N
17,6,3,1,1,2,1,1,9,22.66,10.31,2409.37,0.08,55,0.1,133.85,233.64,15,40,8,11,10,Y
18,6,3,0,1,2,1,1,10,19.46,11.79,2703.0,0.08,55,0.08,150.17,229.35,15,40,7,11,10,N
19,5,1,0,1,1,1,1,7,23.5,5.5,710.97,0.04,31,0.18,39.5,129.27,11,20,9,9,7,N
20,4,5,0,0,3,3,1,12,18.58,9.6,1712.42,0.06,40,0.1,95.13,178.38,16,24,10,12,12,N
21,5,3,1,1,2,2,1,7,20.23,4.44,399.66,0.03,22,0.23,22.2,89.92,10,12,9,8,8,N
22,4,3,0,1,2,2,1,8,20.23,4.44,399.66,0.03,22,0.23,22.2,89.92,10,12,9,8,8,N
23,8,5,1,1,3,2,3,24,18.24,30.58,17051.32,0.19,116,0.03,947.3,557.65,53,63,13,15,25,Y
24,5,1,2,0,1,1,1,7,19.64,5.5,594.0,0.04,27,0.18,33.0,108.0,11,16,8,8,9,N
25,5,3,0,0,2,2,1,8,16.19,9.44,1444.3,0.05,36,0.11,80.24,152.93,17,19,9,10,8,N
26,8,3,0,3,2,2,1,10,40.24,4.43,790.81,0.06,40,0.23,43.93,178.38,19,21,15,7,10,N
27,7,3,1,0,2,1,1,14,20.48,14.77,4470.34,0.1,66,0.07,248.35,302.61,25,41,11,13,15,Y
28,3,7,20,5,4,4,1,2,21.59,13.59,3988.08,0.1,64,0.07,221.56,293.44,23,41,11,13,22,Y
29,3,3,0,0,2,1,1,7,11.46,7.5,644.64,0.03,22,0.13,35.81,85.95,10,12,6,9,7,N
30,9,7,1,5,4,4,1,26,23.42,21.94,11272.23,0.17,101,0.05,626.23,513.83,39,62,16,18,27,Y
31,9,7,1,5,4,4,1,26,23.42,21.94,11272.23,0.17,101,0.05,626.23,513.83,39,62,16,18,27,N
32,9,7,1,5,4,4,1,26,23.42,21.94,11272.23,0.17,101,0.05,626.23,513.83,39,62,16,18,27,Y
33,1,1,0,0,1,1,1,2,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1,4,1,4,2,N
34,3,1,0,0,1,1,1,3,12.85,3.5,157.4,0.01,13,0.29,8.74,44.97,4,9,4,7,3,N
35,4,1,0,0,1,1,1,11,20.15,15.43,4795.77,0.1,84,0.06,266.43,310.84,36,48,7,6,11,N
36,11,9,6,11,5,4,1,40,32.18,22.75,16658.75,0.24,154,0.04,925.49,732.25,49,105,14,13,46,Y
37,31,23,11,17,12,10,4,74,71.39,24.46,42701.09,0.58,291,0.04,2372.28,1746.0,125,166,46,18,85,Y
38,7,5,1,2,3,3,1,16,17.66,17.5,5408.68,0.1,65,0.06,300.48,309.07,28,37,12,15,17,Y
39,7,1,8,6,1,1,1,6,21.37,13.3,3780.76,0.09,62,0.08,210.04,284.27,19,43,10,14,14,Y
40,4,3,3,0,2,1,1,8,18.7,10.18,1938.6,0.06,41,0.1,107.7,190.4,16,25,11,14,11,N
41,4,1,0,1,1,1,1,4,19.03,4.08,317.31,0.03,21,0.24,17.63,77.71,7,14,6,7,4,N
42,5,5,10,4,3,1,1,2,20.67,7.94,1304.74,0.05,38,0.13,72.49,164.23,13,25,9,11,12,Y
43,18,9,0,5,5,4,1,41,46.59,20.85,20251.07,0.32,173,0.05,1125.06,971.34,86,87,33,16,41,N
44,17,7,4,11,4,3,1,23,18.2,36.93,24819.33,0.22,130,0.03,1378.85,672.09,47,83,14,22,27,Y
45,8,13,7,2,7,2,5,29,22.98,22.76,11910.2,0.17,102,0.04,661.68,523.19,43,59,17,18,36,Y
46,17,6,0,4,5,5,1,25,26.68,22.5,13507.21,0.2,118,0.04,750.4,600.32,40,78,16,18,25,N
47,22,5,0,6,4,4,1,33,31.97,26.1,21778.37,0.28,159,0.04,1209.91,834.42,58,101,20,18,33,N
48,4,1,0,1,1,1,1,4,23.44,4.0,375.06,0.03,24,0.25,20.84,93.77,7,17,7,8,4,N
49,22,5,0,6,4,4,1,33,31.97,26.1,21778.37,0.28,159,0.04,1209.91,834.42,58,101,20,18,33,N
50,4,1,0,1,1,1,1,4,17.25,6.29,681.48,0.04,26,0.16,37.86,108.42,8,18,7,11,4,N
51,15,6,0,6,5,5,1,30,25.36,25.88,16988.95,0.22,126,0.04,943.83,656.39,44,82,17,20,30,N
52,7,5,1,3,3,3,1,22,22.3,13.8,4246.27,0.1,69,0.07,235.9,307.7,23,46,10,12,23,Y
53,15,7,3,7,4,1,1,21,21.19,14.3,4333.9,0.1,69,0.07,240.77,303.07,26,43,10,11,24,N
54,6,5,1,5,3,2,1,15,16.6,11.38,2148.39,0.06,43,0.09,119.36,188.87,14,29,8,13,16,Y
55,7,3,0,2,2,2,1,17,22.93,9.27,1971.45,0.07,47,0.11,109.53,212.61,17,30,11,12,17,N
56,4,3,1,0,2,1,1,9,16.64,8.94,1328.8,0.05,35,0.11,73.82,148.68,13,22,8,11,10,Y
57,4,1,0,0,1,1,1,10,19.15,8.36,1337.14,0.05,40,0.12,74.29,160.0,13,27,7,9,10,N
58,6,5,0,2,3,1,3,22,30.36,13.0,5130.52,0.13,83,0.08,285.03,394.66,28,55,14,13,22,N
59,5,3,1,2,2,1,1,18,27.2,10.0,2720.25,0.09,61,0.1,151.13,272.03,20,41,11,11,19,N
60,5,3,0,2,2,1,1,16,24.76,11.0,2995.56,0.09,62,0.09,166.42,272.32,20,42,10,11,16,N
61,4,6,8,0,4,2,1,37,35.88,23.06,19076.12,0.28,164,0.04,1059.78,827.28,49,115,17,16,45,Y
62,2,1,0,0,1,1,1,7,17.94,6.75,817.52,0.04,31,0.15,45.42,121.11,9,22,6,9,7,N
63,5,1,0,0,1,1,1,11,21.27,10.0,2126.66,0.07,51,0.1,118.15,212.67,16,35,8,10,11,N
64,13,1,1,6,1,1,1,7,29.83,3.89,451.11,0.04,29,0.26,25.06,116.0,10,19,9,7,8,Y
65,11,7,1,11,4,1,1,31,51.31,17.5,15713.29,0.3,178,0.06,872.96,897.9,70,108,22,11,32,Y
66,7,5,3,3,3,2,1,8,8.09,21.0,3568.26,0.06,40,0.05,198.24,169.92,15,25,5,14,11,Y
67,25,16,13,9,11,9,1,53,34.84,35.0,42678.84,0.41,197,0.03,2371.05,1219.4,76,121,38,35,66,Y
68,4,9,14,3,5,4,1,20,15.65,31.06,15095.42,0.16,109,0.03,838.63,486.08,43,66,9,13,34,Y
69,4,1,1,0,1,1,1,5,16.3,4.08,271.98,0.02,18,0.24,15.11,66.61,7,11,6,7,6,Y
70,14,6,2,4,4,4,1,29,29.51,15.0,6639.14,0.15,87,0.07,368.84,442.61,30,57,17,17,31,Y
71,1,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
72,19,15,6,11,8,5,8,60,41.36,32.0,42352.03,0.44,256,0.03,2352.89,1323.5,80,176,20,16,66,Y
73,5,1,0,3,1,1,1,18,28.84,13.33,5127.24,0.13,101,0.08,284.85,384.54,20,81,6,8,18,N
74,5,1,0,3,1,1,1,10,19.66,9.6,1811.74,0.06,51,0.1,100.65,188.72,12,39,5,8,10,N
75,4,1,1,1,1,1,1,5,13.88,5.6,435.17,0.03,21,0.18,24.18,77.71,7,14,5,8,6,Y
76,1,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
77,20,7,11,8,5,5,1,29,43.45,17.02,12581.62,0.25,131,0.06,698.98,739.35,47,84,29,21,40,Y
78,8,5,2,6,3,3,1,20,30.43,15.17,6999.51,0.15,96,0.07,388.86,461.51,35,61,15,13,22,Y
79,6,3,2,4,2,2,1,16,26.74,12.83,4403.53,0.11,73,0.08,244.64,343.13,22,51,12,14,18,Y
80,20,11,24,10,7,5,4,31,66.27,30.44,61416.25,0.67,335,0.03,3412.01,2017.49,119,216,43,22,55,Y
81,10,5,2,4,3,3,1,31,32.42,21.5,14986.93,0.23,145,0.05,832.61,697.07,43,102,14,14,33,N
82,4,3,0,0,2,1,1,10,14.63,9.75,1390.58,0.05,33,0.1,77.25,142.62,13,20,8,12,10,N
83,9,15,15,3,8,1,1,41,28.48,37.78,40642.28,0.36,205,0.03,2257.9,1075.83,68,137,18,20,56,Y
84,5,1,0,0,1,1,1,12,23.98,8.0,1534.53,0.06,46,0.13,85.25,191.82,16,30,9,9,12,N
85,10,15,23,5,8,3,1,27,34.3,29.36,29575.64,0.34,188,0.03,1643.09,1007.22,68,120,22,19,50,Y
86,9,11,5,3,6,1,1,35,28.15,27.0,20519.43,0.25,147,0.04,1139.97,759.98,54,93,18,18,40,Y
87,19,17,14,10,9,6,1,33,53.47,15.83,13404.4,0.28,157,0.06,744.69,846.59,57,100,27,15,47,Y
88,4,3,2,1,2,2,1,8,13.65,11.0,1651.29,0.05,36,0.09,91.74,150.12,14,22,7,11,10,N
89,5,7,6,2,4,1,1,17,18.32,13.44,3312.04,0.08,57,0.07,184.0,246.35,22,35,9,11,23,Y
90,4,7,3,2,4,2,1,23,12.12,25.67,7986.92,0.1,72,0.04,443.72,311.18,22,50,6,14,26,Y
91,2,7,0,0,4,1,1,5,17.92,6.4,734.17,0.04,31,0.16,40.79,114.71,8,23,5,8,5,N
92,3,5,1,0,3,1,1,11,14.12,11.0,1708.56,0.05,38,0.09,94.92,155.32,12,26,6,11,12,Y
93,6,5,1,2,3,2,1,14,12.24,14.57,2599.73,0.06,42,0.07,144.43,178.41,17,25,7,12,15,Y
94,23,23,8,19,12,6,6,50,117.86,30.67,110843.58,1.2,533,0.03,6157.98,3614.46,232,301,87,23,58,Y
95,17,17,8,11,9,6,1,47,86.67,27.58,65929.86,0.8,376,0.04,3662.77,2390.44,171,205,62,20,55,N
96,17,9,6,11,5,5,1,22,41.03,12.75,6670.63,0.17,102,0.08,370.59,523.19,34,68,20,15,28,Y
97,4,7,0,3,4,2,1,22,18.61,23.33,10132.78,0.14,96,0.04,562.93,434.26,30,66,9,14,22,N
98,9,11,6,10,6,3,6,33,28.62,39.24,44060.1,0.37,211,0.03,2447.78,1122.93,71,140,19,21,39,N
99,14,1,62,13,1,1,1,133,257.7,73.75,1401719.45,6.34,2867,0.01,77873.3,19006.37,1180,1687,88,11,195,Y
100,3,5,2,5,3,1,1,6,11.15,13.0,1884.3,0.05,33,0.08,104.68,144.95,13,20,7,14,8,Y
101,6,9,2,6,5,3,1,25,28.01,16.89,7990.71,0.16,93,0.06,443.93,473.13,38,55,18,16,27,Y
102,0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0,2,0,2,0,N
103,6,3,1,1,2,1,1,11,22.46,10.39,2424.6,0.08,54,0.1,134.7,233.38,17,37,9,11,12,Y
104,2,1,0,0,1,1,1,6,15.42,4.8,355.24,0.02,20,0.21,19.74,74.01,6,14,5,8,6,N
105,3,7,17,1,4,2,4,2,21.96,14.0,4304.47,0.1,70,0.07,239.14,307.46,21,49,9,12,19,Y
106,11,29,27,11,15,9,10,51,32.25,50.79,83227.41,0.55,295,0.02,4623.75,1638.6,106,189,24,23,78,Y
107,12,9,15,13,5,3,1,30,34.26,27.0,24973.53,0.31,175,0.04,1387.42,924.95,63,112,21,18,45,Y
108,5,1,0,0,1,1,1,10,21.06,8.36,1470.86,0.06,44,0.12,81.71,176.0,13,31,7,9,10,N
109,5,1,0,0,1,1,1,11,23.74,8.44,1689.91,0.07,49,0.12,93.88,200.29,15,34,8,9,11,N
110,2,3,1,0,2,2,1,11,27.68,8.25,1884.3,0.08,52,0.12,104.68,228.4,15,37,10,11,12,Y
111,1,1,1,2,1,1,1,2,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,2,7,2,6,3,Y
112,8,3,1,7,2,1,1,15,20.68,12.5,3231.69,0.09,62,0.08,179.54,258.54,25,37,9,9,16,Y
113,4,13,9,0,7,4,7,18,18.44,22.5,9335.36,0.14,96,0.04,518.63,414.91,30,66,8,12,27,Y
114,12,13,8,10,7,6,1,28,60.82,9.92,5988.69,0.2,115,0.1,332.71,603.51,43,72,26,12,36,Y
115,3,1,0,0,1,1,1,7,22.72,7.56,1297.09,0.06,42,0.13,72.06,171.67,17,25,9,8,7,N
116,14,1,55,0,1,1,1,155,2246.32,11.67,306039.54,8.74,2833,0.09,17002.2,26219.5,1403,1430,601,10,210,Y
117,16,22,18,7,15,13,1,42,31.75,72.5,166891.74,0.77,400,0.01,9271.76,2301.96,125,275,25,29,60,N
118,4,1,0,0,1,1,1,8,18.58,11.0,2247.77,0.07,57,0.09,124.88,204.34,22,35,6,6,8,N
119,4,1,0,0,1,1,1,8,18.58,11.0,2247.77,0.07,57,0.09,124.88,204.34,22,35,6,6,8,N
120,4,1,1,1,1,1,1,5,14.51,4.2,255.97,0.02,17,0.24,14.22,60.94,6,11,5,7,6,N
121,4,1,0,1,1,1,1,7,18.28,7.5,1027.99,0.05,36,0.13,57.11,137.06,15,21,7,7,7,N
122,12,7,4,6,4,3,3,29,52.95,17.71,16602.83,0.31,175,0.06,922.38,937.57,50,125,24,17,33,N
123,3,1,0,4,1,1,1,4,14.99,3.0,134.92,0.01,13,0.33,7.5,44.97,5,8,5,6,4,N
124,2,1,0,0,1,1,1,5,17.22,4.08,287.09,0.02,19,0.24,15.95,70.31,7,12,6,7,5,N
125,3,1,1,2,1,1,1,3,15.36,3.5,188.21,0.02,15,0.29,10.46,53.77,5,10,5,7,4,Y
126,2,1,0,1,1,1,1,3,10.8,2.5,67.5,0.01,9,0.4,3.75,27.0,3,6,3,5,3,N
127,2,1,0,0,1,1,1,3,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,2,6,2,5,3,N
128,2,1,0,1,1,1,1,3,10.8,2.5,67.5,0.01,9,0.4,3.75,27.0,3,6,3,5,3,N
129,1,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
130,1,1,0,0,1,1,1,3,9.05,2.0,36.19,0.01,7,0.5,2.0,18.09,2,5,2,4,3,N
131,2,1,0,0,1,1,1,3,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,2,6,2,5,3,N
132,2,1,0,0,1,1,1,3,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,2,6,2,5,3,N
133,6,5,0,2,3,1,1,28,28.96,13.46,5249.74,0.13,82,0.07,291.65,389.9,29,53,14,13,28,N
134,5,5,2,2,3,1,1,27,31.25,16.0,7999.44,0.17,104,0.06,444.41,499.96,32,72,14,14,29,Y
135,5,1,0,0,1,1,1,10,19.62,8.36,1370.57,0.05,41,0.12,76.14,164.0,13,28,7,9,10,N
136,5,1,0,0,1,1,1,10,22.5,8.36,1571.14,0.06,47,0.12,87.29,188.0,13,34,7,9,10,N
137,13,3,0,6,2,1,1,27,32.9,19.0,11878.01,0.21,133,0.05,659.89,625.16,38,95,13,13,27,N
138,10,3,0,5,2,1,1,26,33.15,19.0,11967.32,0.21,134,0.05,664.85,629.86,38,96,13,13,26,N
139,13,17,14,10,9,2,1,12,27.0,19.97,10770.44,0.18,100,0.05,598.36,539.23,33,67,19,23,26,Y
140,8,15,4,8,8,2,1,18,26.2,18.41,8874.62,0.16,94,0.05,493.03,482.15,31,63,16,19,22,Y
141,31,25,19,29,13,3,9,39,36.37,41.48,62590.96,0.5,266,0.02,3477.28,1508.87,101,165,28,23,58,Y
142,18,5,4,17,3,1,1,32,30.51,27.07,22353.19,0.28,170,0.04,1241.84,825.86,58,112,15,14,36,N
143,36,21,18,43,11,3,1,51,15.89,87.82,122506.36,0.47,279,0.01,6805.91,1395.0,92,187,11,21,69,Y
144,9,17,5,6,9,2,4,54,36.36,38.32,53395.15,0.46,241,0.03,2966.4,1393.31,99,142,31,24,59,Y
145,3,3,0,1,2,2,1,8,20.38,7.22,1062.83,0.05,33,0.14,59.05,147.16,10,23,9,13,8,N
146,3,7,3,0,4,2,4,7,18.39,9.17,1545.09,0.06,39,0.11,85.84,168.56,15,24,9,11,10,Y
147,7,11,17,7,6,2,1,6,25.52,13.0,4312.2,0.11,69,0.08,239.57,331.71,26,43,14,14,23,Y
148,4,3,2,0,2,1,1,11,28.24,7.14,1440.99,0.07,44,0.14,80.05,201.74,20,24,14,10,13,N
149,2,3,1,0,2,2,1,5,16.5,4.5,334.04,0.02,19,0.22,18.56,74.23,6,13,6,9,6,Y
150,3,3,1,0,2,2,1,7,17.09,4.57,357.2,0.03,20,0.22,19.84,78.14,8,12,7,8,8,Y
151,3,3,1,0,2,2,1,7,17.84,6.19,682.86,0.04,27,0.16,37.94,110.36,11,16,8,9,8,Y
152,3,5,0,0,3,3,3,9,16.47,9.33,1434.82,0.05,35,0.11,79.71,153.73,14,21,9,12,9,N
153,3,5,2,1,3,2,3,7,22.4,7.33,1204.38,0.05,38,0.14,66.91,164.23,12,26,9,11,9,Y
154,4,7,0,2,4,3,1,15,21.94,10.5,2418.38,0.08,49,0.1,134.35,230.32,21,28,13,13,15,N
155,4,3,0,0,2,2,1,8,16.23,4.57,339.34,0.02,19,0.22,18.85,74.23,8,11,7,8,8,N
156,3,1,0,0,1,1,1,4,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,3,5,3,4,4,N
157,3,5,1,0,3,2,1,10,22.99,4.44,454.16,0.03,25,0.23,25.23,102.19,10,15,9,8,11,Y
158,3,3,0,0,2,2,1,8,17.09,4.57,357.2,0.03,20,0.22,19.84,78.14,8,12,7,8,8,N
159,4,5,0,0,3,3,1,14,23.96,9.69,2250.48,0.08,50,0.1,125.03,232.19,21,29,13,12,14,N
160,3,5,4,0,3,2,1,7,20.85,5.0,521.24,0.03,25,0.2,28.96,104.25,10,15,9,9,11,Y
161,4,5,0,0,3,3,1,14,23.96,9.69,2250.48,0.08,50,0.1,125.03,232.19,21,29,13,12,14,N
162,4,3,1,0,2,1,1,11,21.93,8.25,1492.78,0.06,40,0.12,82.93,180.94,18,22,12,11,12,N
163,3,3,0,0,2,2,1,8,20.15,6.0,725.57,0.04,29,0.17,40.31,120.93,12,17,9,9,8,N
164,3,3,0,0,2,2,1,8,18.89,5.63,597.79,0.04,26,0.18,33.21,106.27,10,16,8,9,8,N
165,3,3,0,0,2,1,1,15,27.64,7.69,1635.44,0.07,47,0.13,90.86,212.61,20,27,13,10,15,N
166,3,3,0,0,2,2,1,8,16.23,4.57,339.34,0.02,19,0.22,18.85,74.23,8,11,7,8,8,N
167,3,9,0,0,5,2,5,11,18.96,10.11,1938.86,0.06,43,0.1,107.71,191.76,14,29,9,13,11,N
168,4,3,1,0,2,1,1,11,25.6,6.54,1094.35,0.06,37,0.15,60.8,167.37,17,20,13,10,12,N
169,3,1,0,0,1,1,1,3,9.05,2.0,36.19,0.01,7,0.5,2.0,18.09,2,5,2,4,3,N
170,4,5,1,2,3,3,1,15,24.04,10.4,2599.82,0.08,52,0.1,144.43,249.98,24,28,15,13,16,Y
171,3,5,0,1,3,3,1,12,26.42,6.77,1210.43,0.06,39,0.15,67.25,178.81,16,23,13,11,12,N
172,3,5,1,0,3,2,1,11,15.97,11.05,1949.43,0.06,39,0.09,108.3,176.42,17,22,10,13,12,Y
173,19,39,6,21,20,2,1,96,29.39,91.11,243939.5,0.89,472,0.01,13552.19,2677.38,205,267,27,24,102,Y
174,4,1,0,7,1,1,1,3,11.0,3.0,99.0,0.01,11,0.33,5.5,33.0,2,9,2,6,3,N
175,23,9,5,11,5,5,1,36,30.9,39.09,47217.09,0.4,224,0.03,2623.17,1207.88,86,138,22,20,41,Y
176,25,7,5,13,4,3,1,31,32.79,29.64,28803.52,0.32,178,0.03,1600.2,971.78,78,100,25,19,36,N
177,19,29,20,20,15,7,3,82,23.98,98.43,232360.35,0.79,425,0.01,12908.91,2360.7,159,266,21,26,102,Y
178,4,7,1,3,4,1,1,18,10.95,15.79,2728.99,0.06,40,0.06,151.61,172.88,17,23,7,13,19,Y
179,8,3,4,4,2,1,1,11,30.01,11.76,4154.21,0.12,70,0.09,230.79,353.11,25,45,17,16,15,N
180,18,9,2,7,5,1,1,49,30.75,35.76,39329.66,0.37,218,0.03,2184.98,1099.68,76,142,17,16,51,Y
181,10,7,1,2,5,2,1,26,27.87,12.27,4193.22,0.11,69,0.08,232.96,341.84,23,46,15,16,27,Y
182,2,1,0,0,1,1,1,4,15.5,4.5,313.92,0.02,21,0.22,17.44,69.76,6,15,4,6,4,N
183,14,25,11,16,13,6,5,52,27.67,49.46,67672.14,0.46,245,0.02,3759.56,1368.32,91,154,23,25,63,Y
184,20,9,9,14,5,1,3,36,36.38,29.0,30595.0,0.35,211,0.03,1699.72,1055.0,58,153,16,16,45,Y
185,7,3,3,2,2,2,1,9,18.89,9.82,1820.94,0.06,41,0.1,101.16,185.47,18,23,11,12,12,Y
186,5,5,1,0,3,1,1,13,19.01,14.67,4089.46,0.09,58,0.07,227.19,278.83,22,36,12,16,14,Y
187,5,7,21,1,4,1,1,20,42.54,15.53,10260.06,0.22,136,0.06,570.0,660.69,44,92,17,12,41,Y
