ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L2084,Class,CompilationParticipant,org.eclipse.jdt.core.compiler.CompilationParticipant,L117578,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/compiler/CompilationParticipant.java,39,1,147,2,0.0,0,0,0,0.0,0.0,0,0,8,0,0,8,3,10,14,0,8,1.0,0.806723,96,91,9,0,0.806723,96,0,0,4,13,0,23,109,2,0,2,0,8,2,8,0,8,3,2,8,0,23,109,2,0,2,0,8,2,8,0,8,3,2,8,0,1
L3649,Class,EnumConstantDeclaration,org.eclipse.jdt.core.dom.EnumConstantDeclaration,L118480,L103,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/EnumConstantDeclaration.java,42,1,389,2,0.238924,10,46,10,0.146552,0.296296,51,48,4,2,2,36,15,18,8,33,54,1.0,0.530435,183,174,9,0,0.530435,183,2,2,0,0,1,162,348,114,17,9,3,21,5,8,2,88,69,92,41,10,162,348,114,17,9,3,21,5,8,2,88,69,92,41,10,0
L130434,Class,DefaultCodeFormatterConstants,org.eclipse.jdt.core.formatter.DefaultCodeFormatterConstants,L130297,L103,org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java,27,1,3613,2,0.0543572,5,54,9,0.0122665,0.0973451,44,44,1,3,2,54,2,9,5,4,14,1.0,0.881582,3365,3096,11,0,0.881582,3365,0,0,0,0,0,452,3587,276,6,276,6,10,275,10,3,10,94,275,10,3,452,3587,276,6,276,6,10,275,10,3,10,94,275,10,3,2
L64092,Class,SearchParticipant,org.eclipse.jdt.core.search.SearchParticipant,L136341,L103,org.eclipse.jdt.core/search/org/eclipse/jdt/core/search/SearchParticipant.java,50,1,225,2,0.0,0,0,0,0.0,0.0,0,0,4,2,1,12,7,43,9,6,16,1.0,0.838384,166,161,10,0,0.838384,166,0,0,1,2,0,32,176,0,2,0,2,10,0,9,0,10,13,0,9,0,32,176,0,2,0,2,10,0,9,0,10,13,0,9,0,0
L45963,Class,AntAdapterMessages,org.eclipse.jdt.internal.antadapter.AntAdapterMessages,L45955,L103,org.eclipse.jdt.core/antadapter/org/eclipse/jdt/internal/antadapter/AntAdapterMessages.java,18,1,54,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,5,0,2,3,0,3,0.0,0.0625,2,0,0,3,0.0625,2,0,0,0,0,0,30,37,2,2,2,2,3,0,2,0,3,8,0,2,0,30,37,2,2,2,2,3,0,2,0,3,8,0,2,0,0
L21681,Class,ConstantPool,org.eclipse.jdt.internal.compiler.codegen.ConstantPool,L29363,L103,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/codegen/ConstantPool.java,23,1,1000,2,0.271598,14,157,47,0.232106,0.235521,227,183,1,6,5,121,16,9,48,34,60,0.545455,0.333619,389,98,12,10,0.333619,389,1,2,0,0,2,777,978,415,0,214,0,26,206,21,0,26,424,407,21,0,777,978,415,0,214,0,26,206,21,0,26,424,407,21,0,1
L28610,Class,EnumConstantSignature,org.eclipse.jdt.internal.compiler.env.EnumConstantSignature,L31542,L103,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/env/EnumConstantSignature.java,17,1,48,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,0,4,4,0,4,0.6,0.322581,10,10,3,2,0.322581,10,0,0,0,0,0,21,32,2,2,2,2,4,0,4,0,4,9,0,4,0,21,32,2,2,2,2,4,0,4,0,4,9,0,4,0,0
L32558,Class,BooleanConstant,org.eclipse.jdt.internal.compiler.impl.BooleanConstant,L32542,L103,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/impl/BooleanConstant.java,13,1,43,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,7,2,7,17,0,6,0.0,0.08,2,0,0,6,0.08,2,2,3,0,0,1,23,31,155,0,3,0,6,0,5,0,39,6,152,38,0,23,31,155,0,3,0,6,0,5,0,39,6,152,38,0,0
L32576,Class,ByteConstant,org.eclipse.jdt.internal.compiler.impl.ByteConstant,L32542,L103,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/impl/ByteConstant.java,13,1,53,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,12,2,3,3,0,12,0.0,0.155556,7,0,0,12,0.155556,7,2,3,0,0,1,38,41,153,0,1,0,12,0,11,0,45,12,152,44,0,38,41,153,0,1,0,12,0,11,0,45,12,152,44,0,0
L32595,Class,CharConstant,org.eclipse.jdt.internal.compiler.impl.CharConstant,L32542,L103,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/impl/CharConstant.java,13,1,56,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,12,2,4,5,0,12,0.0,0.133333,6,0,0,12,0.133333,6,2,3,0,0,1,39,44,153,0,1,0,12,0,11,0,45,12,152,44,0,39,44,153,0,1,0,12,0,11,0,45,12,152,44,0,0
