ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L145,Class,AdminCatalogServiceImpl,org.broadleafcommerce.admin.server.service.AdminCatalogServiceImpl,L108,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogServiceImpl.java,45,1,202,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,21,9,0,0,18,22,0.5,0.153846,20,12,2,2,0.144928,20,1,1,0,0,1,110,150,4,0,4,0,4,0,3,0,4,73,0,3,0,118,158,4,0,4,0,6,0,5,0,6,75,0,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
L317,Class,CategoryCustomPersistenceHandler,org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler,L308,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CategoryCustomPersistenceHandler.java,45,1,97,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,8,13,0,0,16,19,0.333333,0.0980392,5,5,1,2,0.0980392,5,2,2,0,0,1,46,53,2,2,1,1,3,0,2,0,15,19,1,14,0,46,53,2,2,1,1,3,0,2,0,15,19,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L462,Class,ChildCategoriesCustomPersistenceHandler,org.broadleafcommerce.admin.server.service.handler.ChildCategoriesCustomPersistenceHandler,L308,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ChildCategoriesCustomPersistenceHandler.java,39,1,81,3,0.0,0,0,0,0.0,0.0,0,0,2,2,2,8,16,0,0,20,23,0.333333,0.0789474,3,3,1,2,0.0789474,3,2,2,0,0,1,35,43,1,1,0,0,3,0,2,0,15,20,1,14,0,35,43,1,1,0,0,3,0,2,0,15,20,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L522,Class,CustomerCustomPersistenceHandler,org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler,L308,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerCustomPersistenceHandler.java,41,1,79,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,5,10,0,0,14,16,0.333333,0.0857143,3,3,1,2,0.0857143,3,2,2,0,0,1,32,39,3,1,2,0,2,0,2,0,14,17,1,14,0,32,39,3,1,2,0,2,0,2,0,14,17,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L556,Class,CustomerPasswordCustomPersistenceHandler,org.broadleafcommerce.admin.server.service.handler.CustomerPasswordCustomPersistenceHandler,L308,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerPasswordCustomPersistenceHandler.java,38,1,72,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,5,10,0,0,14,16,0.333333,0.16129,5,5,1,2,0.16129,5,2,2,0,0,1,26,35,2,1,1,0,2,0,2,0,14,14,1,14,0,26,35,2,1,1,0,2,0,2,0,14,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L586,Class,ProductCustomPersistenceHandler,org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler,L308,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ProductCustomPersistenceHandler.java,47,1,153,2,0.217476,1,4,2,0.205607,0.205128,22,16,2,2,2,18,17,0,0,24,29,0.2,0.142857,13,9,1,4,0.142857,13,2,2,0,0,1,78,107,3,1,2,0,5,0,4,0,17,47,1,16,0,78,107,3,1,2,0,5,0,4,0,17,47,1,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L647,Class,SkuCustomPersistenceHandler,org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler,L308,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuCustomPersistenceHandler.java,82,1,610,2,0.114345,2,10,4,0.100189,0.132184,53,46,2,4,4,65,35,0,0,82,100,0.466667,0.262222,118,78,7,8,0.253219,118,2,2,0,0,1,332,512,8,4,7,3,18,3,14,0,30,209,4,26,0,348,529,8,4,7,3,21,3,17,0,33,212,4,29,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0
L1019,Class,SkuRestrictionFactoryImpl,org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl,L308,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuRestrictionFactoryImpl.java,53,1,200,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,7,3,1,1,4,9,0.166667,0.189189,7,7,1,5,0.142857,20,1,1,0,0,1,30,38,3,3,3,3,5,0,5,2,5,8,0,5,2,120,148,3,3,3,3,6,0,6,2,6,62,0,6,2,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0
L1115,Class,ForeignSkuFieldPersistenceProvider,org.broadleafcommerce.admin.server.service.persistence.module.provider.ForeignSkuFieldPersistenceProvider,L1108,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/ForeignSkuFieldPersistenceProvider.java,31,1,75,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,10,10,0,0,13,15,0.0,0.0,0,0,0,2,0.0,0,3,3,0,0,1,36,45,5,3,0,0,2,0,1,0,10,19,5,6,0,36,45,5,3,0,0,2,0,1,0,10,19,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L1167,Class,SkuFieldsPersistenceProvider,org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuFieldsPersistenceProvider,L1108,L103,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/SkuFieldsPersistenceProvider.java,39,1,82,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,12,0,0,12,15,0.333333,0.209302,9,8,1,2,0.209302,9,3,3,0,0,1,34,44,5,4,0,1,3,0,2,0,11,14,5,7,0,34,44,5,4,0,1,3,0,2,0,11,14,5,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
