ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L103806,Class,CamelCaseFieldNameTests,org.elasticsearch.index.mapper.camelcase.CamelCaseFieldNameTests,L103803,L103,src/test/java/org/elasticsearch/index/mapper/camelcase/CamelCaseFieldNameTests.java,36,1,58,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,10,0,0,16,17,0.5,0.15,3,3,1,1,0.15,3,2,2,0,0,1,17,23,31,4,0,0,1,0,1,0,27,9,16,23,1,17,23,31,4,0,0,1,0,1,0,27,9,16,23,1,0
L161,Annotation,Body,org.apache.camel.Body,L106,L103,camel-core/src/main/java/org/apache/camel/Body.java,30,1,33,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.555556,5,5,1,0,0.555556,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L320,Interface,CamelContext,org.apache.camel.CamelContext,L106,L103,camel-core/src/main/java/org/apache/camel/CamelContext.java,34,1,168,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,17,9,102,64,0,17,1.0,0.838983,99,99,18,0,0.838983,99,1,1,1,2,1,19,135,0,10,0,10,17,0,17,1,19,0,0,19,1,19,135,0,10,0,10,17,0,17,1,19,0,0,19,1,1
L3746,Class,CamelException,org.apache.camel.CamelException,L106,L103,camel-core/src/main/java/org/apache/camel/CamelException.java,25,1,41,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,0,2,2,0,4,0.2,0.315789,6,6,1,4,0.315789,6,0,0,2,2,0,13,17,0,0,0,0,4,0,4,0,4,3,0,4,0,13,17,0,0,0,0,4,0,4,0,4,3,0,4,0,0
L3764,Class,CamelTemplate<E extends Exchange>,org.apache.camel.CamelTemplate,L106,L103,camel-core/src/main/java/org/apache/camel/CamelTemplate.java,34,1,279,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,30,10,38,42,11,36,0.666667,0.428571,87,87,14,7,0.390135,87,2,2,0,0,1,116,226,8,4,5,4,25,0,20,3,30,48,0,25,3,136,246,8,4,5,4,29,0,24,3,34,59,0,29,3,0
L3663,Interface,Component<E extends Exchange>,org.apache.camel.Component,L106,L103,camel-core/src/main/java/org/apache/camel/Component.java,25,1,47,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,3,16,5,0,3,1.0,0.8,20,20,4,0,0.8,20,0,0,3,25,0,5,23,0,1,0,1,3,0,3,1,3,0,0,3,1,5,23,0,1,0,1,3,0,3,1,3,0,0,3,1,0
L4038,Interface,Consumer<E extends Exchange>,org.apache.camel.Consumer,L106,L103,camel-core/src/main/java/org/apache/camel/Consumer.java,25,1,26,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,28,0,0,0,1.0,0.714286,5,5,1,0,0.714286,5,1,1,3,27,1,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0
L9006,Annotation,Converter,org.apache.camel.Converter,L106,L103,camel-core/src/main/java/org/apache/camel/Converter.java,30,1,33,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,9,0,0,0,1.0,0.6,6,6,1,0,0.6,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L383,Interface,Endpoint<E extends Exchange>,org.apache.camel.Endpoint,L106,L103,camel-core/src/main/java/org/apache/camel/Endpoint.java,28,1,92,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9,6,102,48,0,9,1.0,0.828125,53,53,10,0,0.828125,53,0,0,1,26,0,11,65,0,2,0,2,9,0,9,0,9,0,0,9,0,11,65,0,2,0,2,9,0,9,0,9,0,0,9,0,0
L12022,Annotation,EndpointInject,org.apache.camel.EndpointInject,L106,L103,camel-core/src/main/java/org/apache/camel/EndpointInject.java,33,1,38,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,3,1,0,2,1.0,0.571429,8,8,1,0,0.571429,8,0,0,0,0,0,6,6,0,0,0,0,2,0,0,0,2,0,0,0,0,6,6,0,0,0,0,2,0,0,0,2,0,0,0,0,0
