ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L13618,Class,Build,org.elasticsearch.Build,L11878,L103,src/main/java/org/elasticsearch/Build.java,34,1,96,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,2,7,7,2,8,0.166667,0.0377358,2,2,1,5,0.0377358,2,0,0,0,0,0,51,63,4,0,4,0,6,1,5,0,6,13,1,5,0,51,63,4,0,4,0,6,1,5,0,6,13,1,5,0,0
L11963,Class,ElasticsearchException,org.elasticsearch.ElasticsearchException,L11878,L103,src/main/java/org/elasticsearch/ElasticsearchException.java,27,1,155,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,23,2,334,178,1,9,1.0,0.382114,47,47,9,0,0.382114,47,0,0,53,151,0,76,129,0,3,0,3,8,0,8,0,8,43,0,8,0,76,129,0,3,0,3,8,0,8,0,8,43,0,8,0,0
L160435,Class,ElasticsearchExceptionTests,org.elasticsearch.ElasticsearchExceptionTests,L11878,L103,src/test/java/org/elasticsearch/ElasticsearchExceptionTests.java,31,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,6,0,0,6,7,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,13,17,31,4,0,0,1,0,1,0,27,8,16,23,1,13,17,31,4,0,0,1,0,1,0,27,8,16,23,1,0
L15570,Class,ElasticsearchGenerationException,org.elasticsearch.ElasticsearchGenerationException,L11878,L103,src/main/java/org/elasticsearch/ElasticsearchGenerationException.java,27,1,36,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,23,39,2,4,0.333333,0.384615,5,5,1,2,0.384615,5,1,1,0,0,1,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,0
L11612,Class,ElasticsearchIllegalArgumentException,org.elasticsearch.ElasticsearchIllegalArgumentException,L11878,L103,src/main/java/org/elasticsearch/ElasticsearchIllegalArgumentException.java,27,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,2,253,302,2,6,0.2,0.166667,3,3,1,4,0.166667,3,1,1,0,0,1,15,19,0,3,0,0,4,0,4,0,12,4,0,12,0,15,19,0,3,0,0,4,0,4,0,12,4,0,12,0,0
L14333,Class,ElasticsearchIllegalStateException,org.elasticsearch.ElasticsearchIllegalStateException,L11878,L103,src/main/java/org/elasticsearch/ElasticsearchIllegalStateException.java,25,1,38,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,93,112,2,5,0.25,0.214286,3,3,1,3,0.214286,3,1,1,3,3,1,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,0
L71466,Class,ElasticsearchNullPointerException,org.elasticsearch.ElasticsearchNullPointerException,L11878,L103,src/main/java/org/elasticsearch/ElasticsearchNullPointerException.java,25,1,38,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,1,6,2,5,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,0
L15804,Class,ElasticsearchParseException,org.elasticsearch.ElasticsearchParseException,L11878,L103,src/main/java/org/elasticsearch/ElasticsearchParseException.java,27,1,41,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,52,62,2,5,0.25,0.2,3,3,1,3,0.2,3,1,1,0,0,1,12,15,0,3,0,0,3,0,3,0,11,3,0,11,0,12,15,0,3,0,0,3,0,3,0,11,3,0,11,0,0
L36192,Class,ElasticsearchTimeoutException,org.elasticsearch.ElasticsearchTimeoutException,L11878,L103,src/main/java/org/elasticsearch/ElasticsearchTimeoutException.java,27,1,36,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,5,3,2,4,0.333333,0.384615,5,5,1,2,0.384615,5,1,1,0,0,1,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,0
L80866,Class,ExceptionsHelper,org.elasticsearch.ExceptionsHelper,L11878,L103,src/main/java/org/elasticsearch/ExceptionsHelper.java,29,1,113,2,0.0,0,0,0,0.0,0.0,0,0,5,5,5,21,5,52,66,4,10,0.142857,0.0493827,4,3,1,6,0.0493827,4,0,0,0,0,0,77,85,1,0,1,0,6,0,6,0,6,47,0,6,0,77,85,1,0,1,0,6,0,6,0,6,47,0,6,0,1
L13614,Class,Version,org.elasticsearch.Version,L11878,L103,src/main/java/org/elasticsearch/Version.java,34,1,407,2,0.12521,24,1299,95,0.307487,0.342508,115,112,2,2,1,80,6,196,54,6,21,0.2,0.174479,67,11,3,12,0.170051,67,0,0,0,0,0,317,361,120,0,120,0,15,120,14,0,15,95,120,14,0,327,374,122,4,121,0,17,120,15,0,39,97,120,16,0,4
L44114,Class,Version$Module,org.elasticsearch.Version$Module,L13614,L103,src/main/java/org/elasticsearch/Version.java,394,5,406,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,2,2,2,4,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,10,13,2,4,1,0,2,0,1,0,24,2,0,2,0,10,13,2,4,1,0,2,0,1,0,24,2,0,2,0,0
L165082,Class,VersionTests,org.elasticsearch.VersionTests,L11878,L103,src/test/java/org/elasticsearch/VersionTests.java,32,1,65,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,2,0,0,6,8,0.0,0.0,0,0,0,3,0.0,0,2,2,0,0,1,28,34,31,4,0,0,2,0,2,0,28,21,16,24,1,28,34,31,4,0,0,2,0,2,0,28,21,16,24,1,0
L11918,Class,"Action<Request extends ActionRequest, Response extends ActionResponse, RequestBuilder extends ActionRequestBuilder<Request, Response, RequestBuilder>>",org.elasticsearch.action.Action,L11894,L103,src/main/java/org/elasticsearch/action/Action.java,27,1,35,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,5,25,20,1,3,0.5,0.3,3,3,1,1,0.3,3,1,1,19,19,1,7,9,1,0,0,0,2,0,1,0,8,1,0,6,0,7,9,1,0,0,0,2,0,1,0,8,1,0,6,0,0
L11995,Class,ActionModule,org.elasticsearch.action.ActionModule,L11894,L103,src/main/java/org/elasticsearch/action/ActionModule.java,160,1,311,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,7,163,2,2,9,12,0.666667,0.124031,16,12,2,1,0.115108,16,2,2,0,0,1,113,139,3,4,2,0,3,0,2,0,25,81,0,3,0,123,152,6,4,5,0,4,3,2,0,26,84,3,3,0,0
L12002,Class,"ActionModule$ActionEntry<Request extends ActionRequest, Response extends ActionResponse>",org.elasticsearch.action.ActionModule$ActionEntry,L11995,L103,src/main/java/org/elasticsearch/action/ActionModule.java,164,5,176,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,4,1,1,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,10,13,3,0,3,0,1,3,0,0,1,3,3,0,0,10,13,3,0,3,0,1,3,0,0,1,3,3,0,0,0
L11944,Class,ActionRequest<T extends ActionRequest>,org.elasticsearch.action.ActionRequest,L11894,L103,src/main/java/org/elasticsearch/action/ActionRequest.java,31,1,76,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,7,4,131,150,4,11,0.5,0.365854,15,12,3,3,0.365854,15,2,2,18,92,1,26,46,2,2,1,0,7,0,5,0,14,7,0,10,0,26,46,2,2,1,0,7,0,5,0,14,7,0,10,0,0
L11951,Class,"ActionRequestBuilder<Request extends ActionRequest, Response extends ActionResponse, RequestBuilder extends ActionRequestBuilder>",org.elasticsearch.action.ActionRequestBuilder,L11894,L103,src/main/java/org/elasticsearch/action/ActionRequestBuilder.java,30,1,89,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,10,10,385,1379,8,18,0.444444,0.235294,12,12,4,5,0.235294,12,0,0,18,81,0,39,60,2,0,2,0,10,0,8,1,10,14,0,8,1,39,60,2,0,2,0,10,0,8,1,10,14,0,8,1,0
L12500,Class,ActionRequestValidationException,org.elasticsearch.action.ActionRequestValidationException,L11894,L103,src/main/java/org/elasticsearch/action/ActionRequestValidationException.java,30,1,62,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,1,77,12,1,6,0.166667,0.1,3,3,1,5,0.1,3,1,1,0,0,1,27,33,1,4,1,1,5,0,5,0,13,11,0,13,0,27,33,1,4,1,1,5,0,5,0,13,11,0,13,0,0
L11947,Class,ActionResponse,org.elasticsearch.action.ActionResponse,L11894,L103,src/main/java/org/elasticsearch/action/ActionResponse.java,31,1,42,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,3,105,122,2,4,0.333333,0.230769,3,3,1,2,0.230769,3,2,2,45,82,1,10,12,1,2,0,0,2,0,2,0,9,2,0,7,0,10,12,1,2,0,0,2,0,2,0,9,2,0,7,0,0
L29786,Class,FailedNodeException,org.elasticsearch.action.FailedNodeException,L11894,L103,src/main/java/org/elasticsearch/action/FailedNodeException.java,27,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,9,2,1,3,0.333333,0.230769,3,3,1,2,0.230769,3,1,1,1,1,1,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,0
L11921,Class,"GenericAction<Request extends ActionRequest, Response extends ActionResponse>",org.elasticsearch.action.GenericAction,L11894,L103,src/main/java/org/elasticsearch/action/GenericAction.java,28,1,67,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,4,13,7,0,6,0.666667,0.416667,15,15,4,2,0.416667,15,0,0,3,72,0,21,40,1,0,1,0,6,0,5,0,6,5,0,5,0,21,40,1,0,1,0,6,0,5,0,6,5,0,5,0,0
L31815,Class,NoShardAvailableActionException,org.elasticsearch.action.NoShardAvailableActionException,L11894,L103,src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java,29,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,3,6,6,2,6,0.2,0.166667,3,3,1,4,0.166667,3,3,3,0,0,1,15,19,2,3,0,0,4,0,4,0,19,4,0,18,0,15,19,2,3,0,0,4,0,4,0,19,4,0,18,0,0
L31834,Class,NoSuchNodeException,org.elasticsearch.action.NoSuchNodeException,L11894,L103,src/main/java/org/elasticsearch/action/NoSuchNodeException.java,25,1,30,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,2,0.5,0.375,3,3,1,1,0.375,3,2,2,0,0,1,5,6,1,3,0,0,1,0,1,0,11,1,0,11,0,5,6,1,3,0,0,1,0,1,0,11,1,0,11,0,0
L33118,Class,PrimaryMissingActionException,org.elasticsearch.action.PrimaryMissingActionException,L11894,L103,src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java,27,1,32,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,2,0.5,0.375,3,3,1,1,0.375,3,1,1,0,0,1,5,6,0,3,0,0,1,0,1,0,9,1,0,9,0,5,6,0,3,0,0,1,0,1,0,9,1,0,9,0,0
L27893,Class,RoutingMissingException,org.elasticsearch.action.RoutingMissingException,L11894,L103,src/main/java/org/elasticsearch/action/RoutingMissingException.java,28,1,59,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,5,2,9,11,1,6,0.166667,0.111111,3,3,1,5,0.111111,3,1,1,0,0,1,24,32,3,3,3,0,5,0,5,0,13,8,0,13,0,24,32,3,3,3,0,5,0,5,0,13,8,0,13,0,0
L40212,Class,TimestampParsingException,org.elasticsearch.action.TimestampParsingException,L11894,L103,src/main/java/org/elasticsearch/action/TimestampParsingException.java,26,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,1,1,3,0.333333,0.166667,2,2,1,2,0.166667,2,1,1,0,0,1,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,1
