ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L13618,Class,Build,org.elasticsearch.Build,L11878,L103,src/main/java/org/elasticsearch/Build.java,34,1,96,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,2,7,7,2,8,0.166667,0.0377358,2,2,1,5,0.0377358,2,0,0,0,0,0,51,63,4,0,4,0,6,1,5,0,6,13,1,5,0,51,63,4,0,4,0,6,1,5,0,6,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L80866,Class,ExceptionsHelper,org.elasticsearch.ExceptionsHelper,L11878,L103,src/main/java/org/elasticsearch/ExceptionsHelper.java,29,1,113,2,0.0,0,0,0,0.0,0.0,0,0,5,5,5,21,5,52,66,4,10,0.142857,0.0493827,4,3,1,6,0.0493827,4,0,0,0,0,0,77,85,1,0,1,0,6,0,6,0,6,47,0,6,0,77,85,1,0,1,0,6,0,6,0,6,47,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L13614,Class,Version,org.elasticsearch.Version,L11878,L103,src/main/java/org/elasticsearch/Version.java,34,1,407,2,0.12521,24,1299,95,0.307487,0.342508,115,112,2,2,1,80,6,196,54,6,21,0.2,0.174479,67,11,3,12,0.170051,67,0,0,0,0,0,317,361,120,0,120,0,15,120,14,0,15,95,120,14,0,327,374,122,4,121,0,17,120,15,0,39,97,120,16,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
L165082,Class,VersionTests,org.elasticsearch.VersionTests,L11878,L103,src/test/java/org/elasticsearch/VersionTests.java,32,1,65,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,2,0,0,6,8,0.0,0.0,0,0,0,3,0.0,0,2,2,0,0,1,28,34,31,4,0,0,2,0,2,0,28,21,16,24,1,28,34,31,4,0,0,2,0,2,0,28,21,16,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11918,Class,"Action<Request extends ActionRequest, Response extends ActionResponse, RequestBuilder extends ActionRequestBuilder<Request, Response, RequestBuilder>>",org.elasticsearch.action.Action,L11894,L103,src/main/java/org/elasticsearch/action/Action.java,27,1,35,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,5,25,20,1,3,0.5,0.3,3,3,1,1,0.3,3,1,1,19,19,1,7,9,1,0,0,0,2,0,1,0,8,1,0,6,0,7,9,1,0,0,0,2,0,1,0,8,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L11995,Class,ActionModule,org.elasticsearch.action.ActionModule,L11894,L103,src/main/java/org/elasticsearch/action/ActionModule.java,160,1,311,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,7,163,2,2,9,12,0.666667,0.124031,16,12,2,1,0.115108,16,2,2,0,0,1,113,139,3,4,2,0,3,0,2,0,25,81,0,3,0,123,152,6,4,5,0,4,3,2,0,26,84,3,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
L11944,Class,ActionRequest<T extends ActionRequest>,org.elasticsearch.action.ActionRequest,L11894,L103,src/main/java/org/elasticsearch/action/ActionRequest.java,31,1,76,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,7,4,131,150,4,11,0.5,0.365854,15,12,3,3,0.365854,15,2,2,18,92,1,26,46,2,2,1,0,7,0,5,0,14,7,0,10,0,26,46,2,2,1,0,7,0,5,0,14,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11951,Class,"ActionRequestBuilder<Request extends ActionRequest, Response extends ActionResponse, RequestBuilder extends ActionRequestBuilder>",org.elasticsearch.action.ActionRequestBuilder,L11894,L103,src/main/java/org/elasticsearch/action/ActionRequestBuilder.java,30,1,89,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,10,10,385,1379,8,18,0.444444,0.235294,12,12,4,5,0.235294,12,0,0,18,81,0,39,60,2,0,2,0,10,0,8,1,10,14,0,8,1,39,60,2,0,2,0,10,0,8,1,10,14,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12500,Class,ActionRequestValidationException,org.elasticsearch.action.ActionRequestValidationException,L11894,L103,src/main/java/org/elasticsearch/action/ActionRequestValidationException.java,30,1,62,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,1,77,12,1,6,0.166667,0.1,3,3,1,5,0.1,3,1,1,0,0,1,27,33,1,4,1,1,5,0,5,0,13,11,0,13,0,27,33,1,4,1,1,5,0,5,0,13,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L11947,Class,ActionResponse,org.elasticsearch.action.ActionResponse,L11894,L103,src/main/java/org/elasticsearch/action/ActionResponse.java,31,1,42,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,3,105,122,2,4,0.333333,0.230769,3,3,1,2,0.230769,3,2,2,45,82,1,10,12,1,2,0,0,2,0,2,0,9,2,0,7,0,10,12,1,2,0,0,2,0,2,0,9,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L29786,Class,FailedNodeException,org.elasticsearch.action.FailedNodeException,L11894,L103,src/main/java/org/elasticsearch/action/FailedNodeException.java,27,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,9,2,1,3,0.333333,0.230769,3,3,1,2,0.230769,3,1,1,1,1,1,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L11921,Class,"GenericAction<Request extends ActionRequest, Response extends ActionResponse>",org.elasticsearch.action.GenericAction,L11894,L103,src/main/java/org/elasticsearch/action/GenericAction.java,28,1,67,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,4,13,7,0,6,0.666667,0.416667,15,15,4,2,0.416667,15,0,0,3,72,0,21,40,1,0,1,0,6,0,5,0,6,5,0,5,0,21,40,1,0,1,0,6,0,5,0,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L31815,Class,NoShardAvailableActionException,org.elasticsearch.action.NoShardAvailableActionException,L11894,L103,src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java,29,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,3,6,6,2,6,0.2,0.166667,3,3,1,4,0.166667,3,3,3,0,0,1,15,19,2,3,0,0,4,0,4,0,19,4,0,18,0,15,19,2,3,0,0,4,0,4,0,19,4,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L31834,Class,NoSuchNodeException,org.elasticsearch.action.NoSuchNodeException,L11894,L103,src/main/java/org/elasticsearch/action/NoSuchNodeException.java,25,1,30,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,2,0.5,0.375,3,3,1,1,0.375,3,2,2,0,0,1,5,6,1,3,0,0,1,0,1,0,11,1,0,11,0,5,6,1,3,0,0,1,0,1,0,11,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L33118,Class,PrimaryMissingActionException,org.elasticsearch.action.PrimaryMissingActionException,L11894,L103,src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java,27,1,32,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,2,0.5,0.375,3,3,1,1,0.375,3,1,1,0,0,1,5,6,0,3,0,0,1,0,1,0,9,1,0,9,0,5,6,0,3,0,0,1,0,1,0,9,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L27893,Class,RoutingMissingException,org.elasticsearch.action.RoutingMissingException,L11894,L103,src/main/java/org/elasticsearch/action/RoutingMissingException.java,28,1,59,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,5,2,9,11,1,6,0.166667,0.111111,3,3,1,5,0.111111,3,1,1,0,0,1,24,32,3,3,3,0,5,0,5,0,13,8,0,13,0,24,32,3,3,3,0,5,0,5,0,13,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L40212,Class,TimestampParsingException,org.elasticsearch.action.TimestampParsingException,L11894,L103,src/main/java/org/elasticsearch/action/TimestampParsingException.java,26,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,1,1,3,0.333333,0.166667,2,2,1,2,0.166667,2,1,1,0,0,1,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,10,13,1,3,1,0,2,0,2,0,10,3,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L40219,Class,"TransportActionNodeProxy<Request extends ActionRequest, Response extends ActionResponse>",org.elasticsearch.action.TransportActionNodeProxy,L11894,L103,src/main/java/org/elasticsearch/action/TransportActionNodeProxy.java,39,1,94,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,16,10,9,8,11,0.25,0.1,3,3,1,3,0.0612245,3,1,1,0,0,1,27,34,6,0,3,0,3,0,3,0,10,13,0,10,0,46,56,6,0,3,0,7,0,7,0,14,19,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L32819,Class,UnavailableShardsException,org.elasticsearch.action.UnavailableShardsException,L11894,L103,src/main/java/org/elasticsearch/action/UnavailableShardsException.java,30,1,47,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,5,5,3,4,7,0.333333,0.166667,3,3,1,2,0.166667,3,1,1,0,0,1,15,18,0,3,0,0,3,0,2,0,11,5,0,10,0,15,18,0,3,0,0,3,0,2,0,11,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L40886,Class,ValidateActions,org.elasticsearch.action.ValidateActions,L11894,L103,src/main/java/org/elasticsearch/action/ValidateActions.java,25,1,34,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,48,50,2,3,0.5,0.25,3,3,1,1,0.25,3,0,0,0,0,0,9,10,0,0,0,0,1,0,1,0,1,4,0,1,0,9,10,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L26570,Class,HotThreadsTest,org.elasticsearch.action.admin.HotThreadsTest,L12622,L103,src/test/java/org/elasticsearch/action/admin/HotThreadsTest.java,46,1,134,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,10,14,0,0,24,25,0.5,0.0806452,5,2,1,1,0.0681818,6,3,3,0,0,1,57,62,37,9,0,0,1,0,1,0,78,32,18,48,3,82,89,37,9,0,0,3,0,3,0,80,47,18,50,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
L12631,Class,"ClusterAction<Request extends ActionRequest, Response extends ActionResponse, RequestBuilder extends ActionRequestBuilder<Request, Response, RequestBuilder>>",org.elasticsearch.action.admin.cluster.ClusterAction,L12628,L103,src/main/java/org/elasticsearch/action/admin/cluster/ClusterAction.java,31,1,39,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,5,23,20,1,3,0.5,0.3,3,3,1,1,0.3,3,1,1,19,19,1,7,9,1,0,0,0,2,0,1,0,8,1,0,6,0,7,9,1,0,0,0,2,0,1,0,8,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L12659,Class,ClusterHealthAction,org.elasticsearch.action.admin.cluster.health.ClusterHealthAction,L12649,L103,src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthAction.java,27,1,45,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,5,3,0,3,6,0.333333,0.117647,2,2,1,2,0.117647,2,2,2,0,0,1,15,19,3,0,2,0,3,2,2,0,9,3,2,6,0,15,19,3,0,2,0,3,2,2,0,9,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12662,Class,ClusterHealthRequest,org.elasticsearch.action.admin.cluster.health.ClusterHealthRequest,L12649,L103,src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthRequest.java,38,1,195,2,0.113786,1,2,1,0.0632911,0.0757576,10,10,2,2,2,31,9,26,50,21,43,0.0909091,0.0434783,6,6,2,20,0.0434783,6,5,5,0,0,1,132,158,12,2,7,0,22,0,21,0,46,65,1,37,0,132,158,12,2,7,0,22,0,21,0,46,65,1,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12668,Class,ClusterHealthRequestBuilder,org.elasticsearch.action.admin.cluster.health.ClusterHealthRequestBuilder,L12649,L103,src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthRequestBuilder.java,32,1,95,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,12,10,91,234,13,25,0.166667,0.109091,6,6,2,10,0.109091,6,3,3,0,0,1,49,64,2,0,0,0,12,0,11,10,26,22,0,22,14,49,64,2,0,0,0,12,0,11,10,26,22,0,22,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L12665,Class,ClusterHealthResponse,org.elasticsearch.action.admin.cluster.health.ClusterHealthResponse,L12649,L103,src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java,48,1,323,2,0.152627,2,4,2,0.101449,0.123348,28,28,1,5,5,45,20,73,122,42,63,0.190476,0.061674,14,12,4,17,0.0580913,14,3,4,0,0,2,213,262,14,14,12,12,21,0,20,0,30,125,1,27,0,227,276,26,14,24,12,21,0,20,0,30,125,1,27,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
L12857,Class,ClusterIndexHealth,org.elasticsearch.action.admin.cluster.health.ClusterIndexHealth,L12649,L103,src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterIndexHealth.java,46,1,293,2,0.183,2,4,2,0.120968,0.138614,30,28,1,5,4,43,14,7,16,40,58,0.0555556,0.0357143,7,3,1,17,0.0334928,7,1,2,0,0,2,189,235,12,11,11,11,18,0,17,0,18,117,1,17,0,202,248,23,11,22,11,18,0,17,0,18,117,1,17,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
L13086,Class,ClusterShardHealth,org.elasticsearch.action.admin.cluster.health.ClusterShardHealth,L12649,L103,src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterShardHealth.java,31,1,110,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,12,4,2,5,8,20,0.1,0.047619,3,3,1,9,0.047619,3,1,1,0,0,1,60,80,7,6,7,6,12,0,9,0,12,25,0,9,0,60,80,7,6,7,6,12,0,9,0,12,25,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12096,Class,TransportClusterHealthAction,org.elasticsearch.action.admin.cluster.health.TransportClusterHealthAction,L12649,L103,src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java,42,1,233,2,0.0,0,0,0,0.0,0.0,0,0,5,11,4,47,23,1,0,27,34,0.5,0.0591716,10,3,1,1,0.0552486,10,4,4,0,0,1,159,178,11,0,1,0,7,0,1,0,26,99,1,11,0,171,192,11,0,1,0,10,0,4,0,29,102,1,14,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
L13355,Class,NodeHotThreads,org.elasticsearch.action.admin.cluster.node.hotthreads.NodeHotThreads,L13346,L103,src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodeHotThreads.java,31,1,64,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,4,4,6,6,12,0.166667,0.0689655,2,2,1,5,0.0689655,2,3,3,0,0,1,27,34,3,4,1,1,6,0,5,0,18,10,0,13,0,27,34,3,4,1,1,6,0,5,0,18,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L13388,Class,NodesHotThreadsAction,org.elasticsearch.action.admin.cluster.node.hotthreads.NodesHotThreadsAction,L13346,L103,src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsAction.java,27,1,45,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,5,3,0,3,6,0.333333,0.117647,2,2,1,2,0.117647,2,2,2,0,0,1,15,19,3,0,2,0,3,2,2,0,9,3,2,6,0,15,19,3,0,2,0,3,2,2,0,9,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L13391,Class,NodesHotThreadsRequest,org.elasticsearch.action.admin.cluster.node.hotthreads.NodesHotThreadsRequest,L13346,L103,src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequest.java,32,1,100,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,11,4,7,8,9,20,0.166667,0.101695,6,6,2,10,0.101695,6,4,4,0,0,1,53,69,9,2,4,0,11,0,11,0,34,23,1,28,0,53,69,9,2,4,0,11,0,11,0,34,23,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
