ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L120,Class,PlaceHolder,com.hazelcast.PlaceHolder,L105,L103,hazelcast-all/src/main/java/com/hazelcast/PlaceHolder.java,22,1,23,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.6,3,3,1,0,0.6,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L23845,Class,AbstractTextCommand,com.hazelcast.ascii.AbstractTextCommand,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/AbstractTextCommand.java,22,1,77,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,9,4,16,21,1,10,0.0,0.0,0,0,0,9,0.0,0,2,4,12,17,1,46,56,19,4,4,4,9,0,8,0,11,11,15,10,0,46,56,19,4,4,4,9,0,8,0,11,11,15,10,0,0
L23880,Class,AbstractTextCommandProcessor<T extends Object>,com.hazelcast.ascii.AbstractTextCommandProcessor,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/AbstractTextCommandProcessor.java,19,1,25,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,15,4,0,1,0.0,0.0,0,0,0,1,0.0,0,1,2,4,15,2,6,7,16,0,1,0,1,0,0,0,3,1,15,2,0,6,7,16,0,1,0,1,0,0,0,3,1,15,2,0,0
L25249,Class,MemcacheTest,com.hazelcast.ascii.MemcacheTest,L23828,L103,hazelcast/src/test/java/com/hazelcast/ascii/MemcacheTest.java,50,1,254,2,0.14,1,8,2,0.107317,0.113402,22,22,2,2,2,37,8,0,0,10,18,0.111111,0.03,6,5,1,8,0.03,6,0,0,0,0,0,194,205,1,1,1,1,8,0,8,0,8,184,0,8,0,194,205,1,1,1,1,8,0,8,0,8,184,0,8,0,0
L24027,Class,NoOpCommand,com.hazelcast.ascii.NoOpCommand,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/NoOpCommand.java,23,1,46,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,6,3,3,2,2,6,0.0,0.0,0,0,0,5,0.0,0,3,5,1,1,1,20,24,20,4,1,0,4,0,4,0,13,7,15,12,0,20,24,20,4,1,0,4,0,4,0,13,7,15,12,0,0
L24654,Class,NoOpCommandProcessor,com.hazelcast.ascii.NoOpCommandProcessor,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/NoOpCommandProcessor.java,19,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,3,1,1,2,5,0.0,0.0,0,0,0,4,0.0,0,2,3,0,0,1,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,0
L25269,Class,RestTest,com.hazelcast.ascii.RestTest,L23828,L103,hazelcast/src/test/java/com/hazelcast/ascii/RestTest.java,55,1,289,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,15,9,0,0,20,25,0.166667,0.0549451,5,5,1,5,0.0564103,11,0,0,0,0,0,86,111,1,0,1,0,5,0,5,0,5,73,0,5,0,184,235,3,0,3,0,15,0,13,0,20,145,0,18,0,0
L25283,Class,RestTest$1,com.hazelcast.ascii.RestTest$1,L25274,L103,hazelcast/src/test/java/com/hazelcast/ascii/RestTest.java,76,55,81,18,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,6,6,0,0,0,0,1,0,1,0,6,1,0,6,0,6,6,0,0,0,0,1,0,1,0,6,1,0,6,0,0
L25286,Class,RestTest$HTTPCommunicator,com.hazelcast.ascii.RestTest$HTTPCommunicator,L25269,L103,hazelcast/src/test/java/com/hazelcast/ascii/RestTest.java,169,5,288,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,11,3,1,4,3,12,0.0,0.06,6,0,0,8,0.06,6,0,0,0,0,0,94,120,2,0,2,0,9,0,7,0,9,71,0,7,0,94,120,2,0,2,0,9,0,7,0,9,71,0,7,0,0
L24210,Class,TextCommandServiceImpl,com.hazelcast.ascii.TextCommandServiceImpl,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/TextCommandServiceImpl.java,72,1,403,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,43,33,6,4,45,77,0.0,0.0,0,0,0,33,0.00342466,1,1,2,0,0,2,226,260,32,4,17,4,32,0,32,0,32,99,15,32,0,291,332,39,8,20,4,39,0,37,0,48,124,15,45,0,0
L25149,Class,TextCommandServiceImpl$CommandExecutor,com.hazelcast.ascii.TextCommandServiceImpl$CommandExecutor,L24210,L103,hazelcast/src/main/java/com/hazelcast/ascii/TextCommandServiceImpl.java,330,5,347,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,5,1,1,4,6,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,16,18,1,0,1,0,2,0,1,0,2,6,0,1,0,16,18,1,0,1,0,2,0,1,0,2,6,0,1,0,0
L25055,Class,TextCommandServiceImpl$ResponseThreadRunnable,com.hazelcast.ascii.TextCommandServiceImpl$ResponseThreadRunnable,L24210,L103,hazelcast/src/main/java/com/hazelcast/ascii/TextCommandServiceImpl.java,349,5,402,6,0.0,0,0,0,0.0,0.0,0,0,1,3,3,8,6,1,2,4,7,0.0,0.0238095,1,0,0,3,0.02,1,0,0,0,0,0,41,45,2,0,2,0,3,0,2,0,3,17,0,2,0,49,54,21,4,2,0,5,0,4,0,14,19,15,12,0,0
L25242,Class,TextCommandServiceImpl$ResponseThreadRunnable$1,com.hazelcast.ascii.TextCommandServiceImpl$ResponseThreadRunnable$1,L25210,L103,hazelcast/src/main/java/com/hazelcast/ascii/TextCommandServiceImpl.java,385,108,395,22,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,3,5,0,0,1,10,11,19,4,0,0,2,0,2,0,11,2,15,10,0,10,11,19,4,0,0,2,0,2,0,11,2,15,10,0,0
