ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L120,Class,PlaceHolder,com.hazelcast.PlaceHolder,L105,L103,hazelcast-all/src/main/java/com/hazelcast/PlaceHolder.java,22,1,23,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.6,3,3,1,0,0.6,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L23845,Class,AbstractTextCommand,com.hazelcast.ascii.AbstractTextCommand,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/AbstractTextCommand.java,22,1,77,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,9,4,16,21,1,10,0.0,0.0,0,0,0,9,0.0,0,2,4,12,17,1,46,56,19,4,4,4,9,0,8,0,11,11,15,10,0,46,56,19,4,4,4,9,0,8,0,11,11,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L23880,Class,AbstractTextCommandProcessor<T extends Object>,com.hazelcast.ascii.AbstractTextCommandProcessor,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/AbstractTextCommandProcessor.java,19,1,25,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,15,4,0,1,0.0,0.0,0,0,0,1,0.0,0,1,2,4,15,2,6,7,16,0,1,0,1,0,0,0,3,1,15,2,0,6,7,16,0,1,0,1,0,0,0,3,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L25249,Class,MemcacheTest,com.hazelcast.ascii.MemcacheTest,L23828,L103,hazelcast/src/test/java/com/hazelcast/ascii/MemcacheTest.java,50,1,254,2,0.14,1,8,2,0.107317,0.113402,22,22,2,2,2,37,8,0,0,10,18,0.111111,0.03,6,5,1,8,0.03,6,0,0,0,0,0,194,205,1,1,1,1,8,0,8,0,8,184,0,8,0,194,205,1,1,1,1,8,0,8,0,8,184,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
L24027,Class,NoOpCommand,com.hazelcast.ascii.NoOpCommand,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/NoOpCommand.java,23,1,46,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,6,3,3,2,2,6,0.0,0.0,0,0,0,5,0.0,0,3,5,1,1,1,20,24,20,4,1,0,4,0,4,0,13,7,15,12,0,20,24,20,4,1,0,4,0,4,0,13,7,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24654,Class,NoOpCommandProcessor,com.hazelcast.ascii.NoOpCommandProcessor,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/NoOpCommandProcessor.java,19,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,3,1,1,2,5,0.0,0.0,0,0,0,4,0.0,0,2,3,0,0,1,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L25269,Class,RestTest,com.hazelcast.ascii.RestTest,L23828,L103,hazelcast/src/test/java/com/hazelcast/ascii/RestTest.java,55,1,289,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,15,9,0,0,20,25,0.166667,0.0549451,5,5,1,5,0.0564103,11,0,0,0,0,0,86,111,1,0,1,0,5,0,5,0,5,73,0,5,0,184,235,3,0,3,0,15,0,13,0,20,145,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24210,Class,TextCommandServiceImpl,com.hazelcast.ascii.TextCommandServiceImpl,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/TextCommandServiceImpl.java,72,1,403,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,43,33,6,4,45,77,0.0,0.0,0,0,0,33,0.00342466,1,1,2,0,0,2,226,260,32,4,17,4,32,0,32,0,32,99,15,32,0,291,332,39,8,20,4,39,0,37,0,48,124,15,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L24185,Class,TypeAwareCommandParser,com.hazelcast.ascii.TypeAwareCommandParser,L23828,L103,hazelcast/src/main/java/com/hazelcast/ascii/TypeAwareCommandParser.java,19,1,25,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,4,4,0,1,0.0,0.0,0,0,0,1,0.0,0,2,2,4,4,1,6,7,16,0,1,0,1,0,0,0,2,1,15,1,0,6,7,16,0,1,0,1,0,0,0,2,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L23937,Class,DeleteCommand,com.hazelcast.ascii.memcache.DeleteCommand,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/DeleteCommand.java,23,1,74,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,11,3,2,2,2,10,0.0,0.0,0,0,0,9,0.0,0,3,5,0,0,1,44,52,23,6,4,2,8,0,8,1,17,15,15,16,1,44,52,23,6,4,2,8,0,8,1,17,15,15,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L23974,Class,DeleteCommandParser,com.hazelcast.ascii.memcache.DeleteCommandParser,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/DeleteCommandParser.java,25,1,43,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,4,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,19,19,15,0,0,0,1,0,1,0,1,12,15,1,0,19,19,15,0,0,0,1,0,1,0,1,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L23987,Class,DeleteCommandProcessor,com.hazelcast.ascii.memcache.DeleteCommandProcessor,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/DeleteCommandProcessor.java,26,1,66,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,5,1,1,9,12,0.0,0.0,0,0,0,4,0.0,0,3,4,0,0,1,37,41,18,0,0,0,3,0,3,0,7,21,17,5,0,37,41,18,0,0,0,3,0,3,0,7,21,17,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24026,Class,EndCommand,com.hazelcast.ascii.memcache.EndCommand,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/EndCommand.java,21,1,31,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,2,1,1,1,3,0.0,0.0,0,0,0,3,0.0,0,4,6,0,0,1,9,11,20,4,0,0,2,0,2,0,15,2,15,14,0,9,11,20,4,0,0,2,0,2,0,15,2,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L24036,Class,ErrorCommand,com.hazelcast.ascii.memcache.ErrorCommand,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/ErrorCommand.java,26,1,75,2,0.0,0,0,0,0.0,0.0,0,0,2,2,1,10,5,9,8,4,9,0.0,0.0,0,0,0,6,0.0,0,3,5,0,0,1,45,50,21,4,2,0,5,0,5,0,14,23,15,13,0,45,50,21,4,2,0,5,0,5,0,14,23,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24066,Class,ErrorCommandProcessor,com.hazelcast.ascii.memcache.ErrorCommandProcessor,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/ErrorCommandProcessor.java,22,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,3,1,1,2,5,0.0,0.0,0,0,0,4,0.0,0,2,3,0,0,1,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,11,14,16,0,0,0,3,0,3,0,4,3,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L24082,Class,GetCommand,com.hazelcast.ascii.memcache.GetCommand,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/GetCommand.java,24,1,75,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,14,5,3,4,4,11,0.0,0.0,0,0,0,8,0.0,0,3,5,1,1,1,45,52,22,7,3,3,7,0,7,1,16,14,15,15,1,45,52,22,7,3,3,7,0,7,1,16,14,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24111,Class,GetCommandParser,com.hazelcast.ascii.memcache.GetCommandParser,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/GetCommandParser.java,25,1,42,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,3,6,0,0,4,5,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,17,18,15,0,0,0,1,0,1,0,1,10,15,1,0,17,18,15,0,0,0,1,0,1,0,1,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24130,Class,GetCommandProcessor,com.hazelcast.ascii.memcache.GetCommandProcessor,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/GetCommandProcessor.java,29,1,82,2,0.25,1,3,1,0.222222,0.235294,12,12,1,5,3,11,9,1,1,14,17,0.0,0.0,0,0,0,4,0.0,0,3,4,0,0,1,51,54,20,1,2,1,3,0,3,0,7,31,17,5,0,51,54,20,1,2,1,3,0,3,0,7,31,17,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
L24159,Class,IncrementCommand,com.hazelcast.ascii.memcache.IncrementCommand,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/IncrementCommand.java,28,1,68,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,9,2,2,3,1,8,0.125,0.131579,5,5,1,7,0.131579,5,3,5,0,0,1,33,41,23,6,4,2,7,0,7,1,16,12,15,15,1,33,41,23,6,4,2,7,0,7,1,16,12,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L24183,Class,IncrementCommandParser,com.hazelcast.ascii.memcache.IncrementCommandParser,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/IncrementCommandParser.java,33,1,59,2,0.917526,2,7,2,0.777778,0.807692,21,21,1,1,1,5,6,0,0,3,5,0.333333,0.16129,5,5,1,2,0.16129,5,3,3,0,0,1,26,27,16,0,0,0,2,0,2,0,3,15,15,2,0,26,27,16,0,0,0,2,0,2,0,3,15,15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24202,Class,IncrementCommandProcessor,com.hazelcast.ascii.memcache.IncrementCommandProcessor,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/IncrementCommandProcessor.java,35,1,118,2,0.24594,3,9,3,0.27381,0.291139,23,23,1,5,3,21,15,1,1,27,30,0.25,0.0595238,5,5,1,3,0.0595238,5,3,4,0,0,1,79,84,19,0,1,0,3,0,3,0,7,53,17,5,0,79,84,19,0,1,0,3,0,3,0,7,53,17,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
L23989,Class,MemcacheCommandProcessor<T extends Object>,com.hazelcast.ascii.memcache.MemcacheCommandProcessor,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/MemcacheCommandProcessor.java,27,1,61,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,8,2,8,9,1,4,0.333333,0.147059,5,5,1,2,0.147059,5,2,3,8,8,1,29,35,18,0,2,0,3,2,2,0,6,20,17,4,0,29,35,18,0,2,0,3,2,2,0,6,20,17,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24100,Class,MemcacheEntry,com.hazelcast.ascii.memcache.MemcacheEntry,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/MemcacheEntry.java,31,1,136,2,0.131841,2,9,2,0.141509,0.141304,15,13,1,1,1,19,5,5,5,2,13,0.0,0.0,0,0,0,12,0.0,0,1,2,0,0,2,92,106,18,3,3,3,11,0,11,0,11,48,15,11,0,92,106,18,3,3,3,11,0,11,0,11,48,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24122,Class,PartialGetCommand,com.hazelcast.ascii.memcache.PartialGetCommand,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/PartialGetCommand.java,19,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,2,1,1,1,3,0.0,0.0,0,0,0,3,0.0,0,4,6,0,0,1,12,14,22,7,0,0,2,0,2,0,18,2,15,17,1,12,14,22,7,0,0,2,0,2,0,18,2,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L24300,Class,SetCommand,com.hazelcast.ascii.memcache.SetCommand,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/SetCommand.java,24,1,120,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,19,4,2,3,3,14,0.0,0.0,0,0,0,11,0.0,0,3,5,0,0,1,86,97,26,8,7,4,11,0,10,2,20,33,15,18,2,86,97,26,8,7,4,11,0,10,2,20,33,15,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L24347,Class,SetCommandParser,com.hazelcast.ascii.memcache.SetCommandParser,L23905,L103,hazelcast/src/main/java/com/hazelcast/ascii/memcache/SetCommandParser.java,28,1,66,2,0.317881,1,3,1,0.307692,0.315789,12,12,1,1,1,7,7,0,0,3,5,0.0,0.0,0,0,0,3,0.0,0,3,3,0,0,1,38,39,16,0,0,0,2,0,2,1,3,23,15,2,1,38,39,16,0,0,0,2,0,2,1,3,23,15,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
