ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L70222,Class,BindingKey,org.eclipse.jdt.core.BindingKey,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/BindingKey.java,25,1,267,2,0.0,0,0,0,0.0,0.0,0,0,6,1,1,18,4,8,12,7,20,1.0,0.666667,160,153,14,0,0.666667,160,0,0,0,0,0,80,243,1,2,1,2,13,0,13,0,13,49,0,13,0,80,243,1,2,1,2,13,0,13,0,13,49,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L57358,Class,BufferChangedEvent,org.eclipse.jdt.core.BufferChangedEvent,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/BufferChangedEvent.java,47,1,117,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,3,5,0,5,1.0,0.757576,75,74,6,0,0.757576,75,0,0,0,0,0,24,71,4,4,4,4,5,0,5,0,5,8,0,5,0,24,71,4,4,4,4,5,0,5,0,5,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L117505,Class,CheckDebugAttributes,org.eclipse.jdt.core.CheckDebugAttributes,L92879,L103,org.eclipse.jdt.core/antadapter/org/eclipse/jdt/core/CheckDebugAttributes.java,40,1,98,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,16,6,0,0,7,11,0.25,0.260274,19,14,1,3,0.260274,19,0,0,0,0,0,54,59,2,0,2,0,4,0,3,2,4,33,0,3,2,54,59,2,0,2,0,4,0,3,2,4,33,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L66611,Class,ClasspathContainerInitializer,org.eclipse.jdt.core.ClasspathContainerInitializer,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/ClasspathContainerInitializer.java,44,1,366,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,14,3,5,3,1,11,1.0,0.851133,263,257,11,0,0.811728,263,0,0,2,2,0,46,308,2,6,2,6,10,2,10,0,10,16,2,10,0,61,323,5,10,2,10,15,2,15,0,15,21,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L130930,Class,ClasspathVariableInitializer,org.eclipse.jdt.core.ClasspathVariableInitializer,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/ClasspathVariableInitializer.java,26,1,52,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,1,0,2,1.0,0.864865,32,31,3,0,0.864865,32,0,0,0,0,0,5,27,0,0,0,0,2,0,2,0,2,0,0,2,0,5,27,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L48699,Class,CompletionContext,org.eclipse.jdt.core.CompletionContext,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/CompletionContext.java,25,1,403,2,0.206642,1,6,2,0.0580475,0.17094,22,20,3,3,3,31,4,3,2,2,17,0.9375,0.684636,254,240,15,1,0.684636,254,1,1,0,0,1,117,379,16,10,5,10,15,5,15,0,26,80,5,15,11,117,379,16,10,5,10,15,5,15,0,26,80,5,15,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L130975,Class,CompletionFlags,org.eclipse.jdt.core.CompletionFlags,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/CompletionFlags.java,24,1,51,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,1,0,0,2,1.0,0.75,27,26,2,0,0.75,27,0,0,0,0,0,9,28,2,0,2,0,2,2,1,0,2,1,2,1,0,9,28,2,0,2,0,2,2,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L48617,Class,CompletionProposal,org.eclipse.jdt.core.CompletionProposal,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/CompletionProposal.java,53,1,2278,2,0.260052,17,286,30,0.0458221,0.259067,102,100,1,5,5,104,3,10,40,6,46,0.975,0.824864,1818,1775,39,1,0.824864,1818,1,1,0,0,1,386,2226,70,26,49,20,40,25,39,15,57,190,25,40,24,386,2226,70,26,49,20,40,25,39,15,57,190,25,40,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L48459,Class,CompletionRequestor,org.eclipse.jdt.core.CompletionRequestor,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/CompletionRequestor.java,54,1,358,2,0.0,0,0,0,0.0,0.0,0,0,7,1,1,32,3,20,63,0,15,1.0,0.751534,245,235,16,0,0.751534,245,0,0,4,4,0,81,305,4,1,4,1,15,0,15,4,15,30,0,15,4,81,305,4,1,4,1,15,0,15,4,15,30,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L131402,Class,CompletionRequestorAdapter,org.eclipse.jdt.core.CompletionRequestorAdapter,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/CompletionRequestorAdapter.java,25,1,221,2,0.0,0,0,0,0.0,0.0,0,0,14,0,0,14,2,0,0,0,14,1.0,0.341969,66,52,15,0,0.341969,66,1,1,0,0,1,127,197,0,0,0,0,14,0,14,0,14,0,0,14,0,127,197,0,0,0,0,14,0,14,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L131531,Class,CorrectionEngine,org.eclipse.jdt.core.CorrectionEngine,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/CorrectionEngine.java,33,1,469,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,32,22,1,0,43,51,1.0,0.54375,174,167,7,0,0.418269,174,1,1,0,0,1,146,341,28,3,13,3,8,0,6,0,8,87,15,6,0,242,437,32,4,13,3,9,0,7,0,23,126,15,21,4,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
L6559,Class,ElementChangedEvent,org.eclipse.jdt.core.ElementChangedEvent,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/ElementChangedEvent.java,29,1,128,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,5,2,0,3,1.0,0.842593,91,90,4,0,0.842593,91,0,0,0,0,0,17,100,5,2,5,2,3,3,3,0,3,4,3,3,0,17,100,5,2,5,2,3,3,3,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L131772,Class,Flags,org.eclipse.jdt.core.Flags,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/Flags.java,32,1,422,2,0.270563,8,81,9,0.0613811,0.201754,24,23,9,1,1,34,0,31,32,0,22,1.0,0.718518,291,278,22,0,0.718518,291,0,0,0,0,0,114,391,20,0,20,0,22,20,21,0,22,48,20,21,0,114,391,20,0,20,0,22,20,21,0,22,48,20,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
L117523,Class,JDTCompilerAdapter,org.eclipse.jdt.core.JDTCompilerAdapter,L92879,L103,org.eclipse.jdt.core/antadapter/org/eclipse/jdt/core/JDTCompilerAdapter.java,53,1,575,2,0.0896703,2,15,3,0.0860421,0.103825,45,38,1,8,8,95,5,0,0,13,19,1.0,0.3125,165,41,2,0,0.310734,165,0,0,0,0,0,363,520,10,0,10,0,6,0,1,0,6,270,0,1,0,366,523,10,0,10,0,7,0,2,0,7,271,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
L133242,Class,JavaConventions,org.eclipse.jdt.core.JavaConventions,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/JavaConventions.java,38,1,808,2,0.224024,1,14,2,0.07393,0.21519,57,51,4,3,3,80,17,13,15,14,37,1.0,0.687747,522,348,22,0,0.687747,522,0,0,0,0,0,237,771,3,0,3,0,23,0,21,0,23,139,0,21,0,237,771,3,0,3,0,23,0,21,0,23,139,0,21,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
L67043,Class,JavaCore,org.eclipse.jdt.core.JavaCore,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/JavaCore.java,155,1,4908,2,0.0860007,4,38,7,0.0311317,0.095952,148,128,29,7,7,301,58,121,198,104,194,1.0,0.731154,3579,3225,80,0,0.728641,3582,0,0,0,0,0,1316,4734,182,21,182,21,90,179,79,6,90,640,179,79,6,1334,4754,182,21,182,21,92,179,81,6,93,649,179,82,6,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0
L3942,Class,JavaModelException,org.eclipse.jdt.core.JavaModelException,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/JavaModelException.java,36,1,176,2,0.262172,1,4,2,0.141844,0.28169,20,20,1,2,2,16,2,225,107,3,12,1.0,0.550633,87,79,10,0,0.550633,87,0,0,0,0,0,71,141,2,2,2,2,9,0,9,0,9,37,0,9,0,71,141,2,2,2,2,9,0,9,0,9,37,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L134288,Class,NamingConventions,org.eclipse.jdt.core.NamingConventions,L92879,L103,org.eclipse.jdt.core/model/org/eclipse/jdt/core/NamingConventions.java,50,1,945,2,0.288761,5,48,20,0.148438,0.32266,133,131,1,5,5,56,7,0,0,17,39,1.0,0.662983,480,474,17,0,0.54382,484,0,0,0,0,0,244,720,3,0,3,0,22,0,16,0,22,98,0,16,0,406,896,22,1,22,1,27,0,21,0,27,160,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
