ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L8232,Class,Abbrevs,org.gjt.sp.jedit.Abbrevs,L8198,L103,org/gjt/sp/jedit/Abbrevs.java,36,1,524,2,0.0,0,0,0,0.0,0.0,0,0,1,5,4,53,10,4,6,24,40,1.0,0.186813,68,56,10,0,0.167816,73,0,0,0,0,0,296,413,6,3,6,3,16,0,9,3,16,153,0,9,3,362,489,9,3,9,3,17,0,9,3,17,189,0,9,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
L7691,Class,AbstractOptionPane,org.gjt.sp.jedit.AbstractOptionPane,L8198,L103,org/gjt/sp/jedit/AbstractOptionPane.java,32,1,186,2,0.294416,1,2,2,0.129032,0.202247,20,18,2,1,1,12,2,17,28,1,11,0.666667,0.464286,78,53,4,2,0.464286,78,1,1,17,17,1,90,155,4,2,4,2,10,0,5,0,10,55,0,5,0,90,155,4,2,4,2,10,0,5,0,10,55,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8464,Class,ActionListHandler,org.gjt.sp.jedit.ActionListHandler,L8198,L103,org/gjt/sp/jedit/ActionListHandler.java,28,1,173,2,0.205279,2,5,2,0.205479,0.247863,30,29,2,3,2,27,4,1,1,3,14,0.0,0.0245902,3,2,0,8,0.0245902,3,2,2,0,0,1,119,146,8,0,8,0,11,0,7,0,24,46,0,20,0,119,146,8,0,8,0,11,0,7,0,24,46,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L8523,Class,Autosave,org.gjt.sp.jedit.Autosave,L8198,L103,org/gjt/sp/jedit/Autosave.java,30,1,73,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,9,2,1,2,2,6,0.25,0.368421,21,5,1,3,0.368421,21,0,0,0,0,0,36,44,1,0,1,0,4,0,3,1,4,17,0,3,1,36,44,1,0,1,0,4,0,3,1,4,17,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
L8553,Class,BeanShell,org.gjt.sp.jedit.BeanShell,L8198,L103,org/gjt/sp/jedit/BeanShell.java,33,1,470,2,0.119963,1,10,2,0.0684932,0.0763889,30,22,1,3,3,52,19,9,17,36,49,0.916667,0.221932,85,79,11,1,0.221932,85,0,0,0,0,0,298,438,5,1,5,1,13,0,11,0,13,148,0,11,0,298,438,5,1,5,1,13,0,11,0,13,148,0,11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
L8512,Class,BeanShellAction,org.gjt.sp.jedit.BeanShellAction,L8198,L103,org/gjt/sp/jedit/BeanShellAction.java,25,1,96,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,10,3,1,1,3,10,0.0,0.0491803,3,1,0,8,0.0491803,3,1,1,0,0,1,58,72,9,6,7,1,7,0,7,0,23,20,0,22,0,58,72,9,6,7,1,7,0,7,0,23,20,0,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L8254,Class,Buffer,org.gjt.sp.jedit.Buffer,L8198,L103,org/gjt/sp/jedit/Buffer.java,48,1,3496,2,0.0429515,4,19,7,0.0347927,0.049239,120,110,5,5,4,442,36,65,153,67,175,0.978022,0.244412,667,496,89,2,0.239138,721,1,1,0,0,1,2062,3142,43,25,43,25,108,7,90,10,108,1183,7,90,10,2294,3449,53,27,53,27,123,8,105,10,123,1281,8,105,10,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
L10585,Class,BufferHistory,org.gjt.sp.jedit.BufferHistory,L8198,L103,org/gjt/sp/jedit/BufferHistory.java,28,1,338,2,0.102616,2,6,2,0.096463,0.112403,30,29,2,3,3,32,9,4,8,12,21,0.0,0.0255102,5,3,0,6,0.0257353,7,0,0,0,0,0,191,226,3,2,3,2,9,0,5,1,9,108,0,5,1,265,311,12,3,12,3,15,4,11,1,28,137,4,24,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
L7853,Interface,EBComponent,org.gjt.sp.jedit.EBComponent,L8198,L103,org/gjt/sp/jedit/EBComponent.java,30,1,37,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,20,1,0,1,1.0,0.75,12,12,2,0,0.75,12,0,0,12,14,0,4,8,0,0,0,0,1,0,1,0,1,0,0,1,0,4,8,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L7771,Class,EBMessage,org.gjt.sp.jedit.EBMessage,L8198,L103,org/gjt/sp/jedit/EBMessage.java,32,1,168,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,1,28,15,0,6,1.0,0.508475,30,30,7,0,0.703704,95,0,0,3,12,0,29,118,2,1,2,1,6,0,6,0,6,6,0,6,0,40,137,2,2,2,1,8,0,8,0,14,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
