ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L44332,Class,LucenePackage,org.apache.lucene.LucenePackage,L106,L103,src/java/org/apache/lucene/LucenePackage.java,21,1,29,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,0,0,0,2,1.0,0.76,19,18,2,0,0.76,19,0,0,0,0,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,0
L192,Class,Analyzer,org.apache.lucene.analysis.Analyzer,L136,L103,src/java/org/apache/lucene/analysis/Analyzer.java,30,1,81,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,155,71,0,5,1.0,0.679245,36,36,4,0,0.679245,36,0,0,48,48,0,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,1
L4621,Class,CachingTokenFilter,org.apache.lucene.analysis.CachingTokenFilter,L136,L103,src/java/org/apache/lucene/analysis/CachingTokenFilter.java,35,1,73,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,3,7,15,3,7,0.25,0.302326,13,10,1,3,0.302326,13,2,2,0,0,1,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,1
L657,Class,CharArraySet,org.apache.lucene.analysis.CharArraySet,L136,L103,src/java/org/apache/lucene/analysis/CharArraySet.java,35,1,288,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,59,1,6,9,1,20,0.615385,0.183486,40,38,8,5,0.180723,45,0,0,0,0,0,178,220,4,4,4,4,19,0,12,0,19,127,0,12,0,204,254,6,4,6,4,25,0,16,0,25,138,0,16,0,1
L3351,Class,CharTokenizer,org.apache.lucene.analysis.CharTokenizer,L136,L103,src/java/org/apache/lucene/analysis/CharTokenizer.java,24,1,97,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,14,2,4,6,8,13,0.25,0.205882,14,8,1,3,0.205882,14,2,2,3,4,1,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,1
L4778,Class,ISOLatin1AccentFilter,org.apache.lucene.analysis.ISOLatin1AccentFilter,L136,L103,src/java/org/apache/lucene/analysis/ISOLatin1AccentFilter.java,27,1,252,2,0.676385,9,232,28,0.628319,0.720812,142,142,1,3,3,84,3,2,2,5,8,0.5,0.366559,114,26,2,2,0.366559,114,2,2,0,0,1,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,0
L4794,Class,KeywordAnalyzer,org.apache.lucene.analysis.KeywordAnalyzer,L136,L103,src/java/org/apache/lucene/analysis/KeywordAnalyzer.java,27,1,42,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,4,4,0,4,6,0.333333,0.2,4,4,1,2,0.2,4,1,1,0,0,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,0
L4800,Class,KeywordTokenizer,org.apache.lucene.analysis.KeywordTokenizer,L136,L103,src/java/org/apache/lucene/analysis/KeywordTokenizer.java,26,1,65,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,8,2,1,2,6,10,0.2,0.0810811,3,3,1,4,0.0810811,3,2,2,0,0,1,34,40,3,0,2,0,4,0,4,0,12,21,0,10,0,34,40,3,0,2,0,4,0,4,0,12,21,0,10,0,0
L4826,Class,LengthFilter,org.apache.lucene.analysis.LengthFilter,L136,L103,src/java/org/apache/lucene/analysis/LengthFilter.java,28,1,62,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,5,3,1,1,3,5,1.0,0.421053,16,13,3,0,0.421053,16,2,2,0,0,1,22,35,3,0,2,0,2,0,2,0,9,11,0,8,0,22,35,3,0,2,0,2,0,2,0,9,11,0,8,0,0
L4840,Class,LetterTokenizer,org.apache.lucene.analysis.LetterTokenizer,L136,L103,src/java/org/apache/lucene/analysis/LetterTokenizer.java,29,1,40,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,2,2,1,3,1.0,0.529412,9,9,2,0,0.529412,9,3,3,1,1,1,8,12,7,0,0,0,2,0,1,0,14,2,0,10,0,8,12,7,0,0,0,2,0,1,0,14,2,0,10,0,0
L287,Class,LowerCaseFilter,org.apache.lucene.analysis.LowerCaseFilter,L136,L103,src/java/org/apache/lucene/analysis/LowerCaseFilter.java,27,1,46,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,3,11,12,4,6,0.333333,0.227273,5,5,1,2,0.227273,5,2,2,0,0,1,17,20,1,0,0,0,2,0,2,0,9,12,0,8,0,17,20,1,0,0,0,2,0,2,0,9,12,0,8,0,0
L4852,Class,LowerCaseTokenizer,org.apache.lucene.analysis.LowerCaseTokenizer,L136,L103,src/java/org/apache/lucene/analysis/LowerCaseTokenizer.java,32,1,43,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,9,11,1,3,1.0,0.619048,13,13,2,0,0.619048,13,4,4,0,0,1,8,12,7,0,0,0,2,0,1,0,16,2,0,11,0,8,12,7,0,0,0,2,0,1,0,16,2,0,11,0,0
L4863,Class,PerFieldAnalyzerWrapper,org.apache.lucene.analysis.PerFieldAnalyzerWrapper,L136,L103,src/java/org/apache/lucene/analysis/PerFieldAnalyzerWrapper.java,45,1,98,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,2,2,2,3,9,0.571429,0.507692,33,33,4,3,0.507692,33,1,1,0,0,1,32,54,3,3,2,1,6,0,6,0,10,15,0,8,1,32,54,3,3,2,1,6,0,6,0,10,15,0,8,1,0
