ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L192,Class,Analyzer,org.apache.lucene.analysis.Analyzer,L136,L103,src/java/org/apache/lucene/analysis/Analyzer.java,30,1,81,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,155,71,0,5,1.0,0.679245,36,36,4,0,0.679245,36,0,0,48,48,0,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
L4621,Class,CachingTokenFilter,org.apache.lucene.analysis.CachingTokenFilter,L136,L103,src/java/org/apache/lucene/analysis/CachingTokenFilter.java,35,1,73,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,3,7,15,3,7,0.25,0.302326,13,10,1,3,0.302326,13,2,2,0,0,1,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L657,Class,CharArraySet,org.apache.lucene.analysis.CharArraySet,L136,L103,src/java/org/apache/lucene/analysis/CharArraySet.java,35,1,288,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,59,1,6,9,1,20,0.615385,0.183486,40,38,8,5,0.180723,45,0,0,0,0,0,178,220,4,4,4,4,19,0,12,0,19,127,0,12,0,204,254,6,4,6,4,25,0,16,0,25,138,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L287,Class,LowerCaseFilter,org.apache.lucene.analysis.LowerCaseFilter,L136,L103,src/java/org/apache/lucene/analysis/LowerCaseFilter.java,27,1,46,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,3,11,12,4,6,0.333333,0.227273,5,5,1,2,0.227273,5,2,2,0,0,1,17,20,1,0,0,0,2,0,2,0,9,12,0,8,0,17,20,1,0,0,0,2,0,2,0,9,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L277,Class,StopFilter,org.apache.lucene.analysis.StopFilter,L136,L103,src/java/org/apache/lucene/analysis/StopFilter.java,28,1,173,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,15,4,22,55,8,19,1.0,0.555556,75,73,12,0,0.555556,75,2,2,0,0,1,60,146,4,2,3,2,11,0,11,2,18,28,0,17,2,60,146,4,2,3,2,11,0,11,2,18,28,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L293,Class,TokenFilter,org.apache.lucene.analysis.TokenFilter,L136,L103,src/java/org/apache/lucene/analysis/TokenFilter.java,29,1,48,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,56,50,2,5,1.0,0.458333,11,11,3,0,0.458333,11,1,1,48,50,1,13,20,1,0,1,0,3,0,2,0,7,4,0,6,0,13,20,1,0,1,0,3,0,2,0,7,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L259,Class,TokenStream,org.apache.lucene.analysis.TokenStream,L136,L103,src/java/org/apache/lucene/analysis/TokenStream.java,39,1,110,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,6,2,197,123,4,8,1.0,0.7625,61,60,5,0,0.7625,61,0,0,26,98,0,19,72,0,0,0,0,4,0,4,0,4,9,0,4,0,19,72,0,0,0,0,4,0,4,0,4,9,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L472,Class,Tokenizer,org.apache.lucene.analysis.Tokenizer,L136,L103,src/java/org/apache/lucene/analysis/Tokenizer.java,35,1,58,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,1,15,18,0,4,1.0,0.580645,18,18,3,0,0.580645,18,1,1,9,20,1,13,24,1,0,1,0,4,0,2,0,8,3,0,6,0,13,24,1,0,1,0,4,0,2,0,8,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5729,Class,WordlistLoader,org.apache.lucene.analysis.WordlistLoader,L136,L103,src/java/org/apache/lucene/analysis/WordlistLoader.java,34,1,120,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,11,0,8,15,0,3,1.0,0.359551,32,32,4,0,0.359551,32,0,0,0,0,0,57,87,0,3,0,3,3,0,3,0,3,37,0,3,0,57,87,0,3,0,3,3,0,3,0,3,37,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L190,Class,BrazilianAnalyzer,org.apache.lucene.analysis.br.BrazilianAnalyzer,L177,L103,contrib/analyzers/src/java/org/apache/lucene/analysis/br/BrazilianAnalyzer.java,41,1,140,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,8,8,0,0,7,15,1.0,0.447917,43,42,9,0,0.447917,43,1,1,0,0,1,53,100,4,2,3,0,8,1,8,3,12,13,1,10,4,53,100,4,2,3,0,8,1,8,3,12,13,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
