ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L101229,Class,AbstractAdversary,org.neo4j.adversaries.AbstractAdversary,L101220,L103,community/kernel/src/test/java/org/neo4j/adversaries/AbstractAdversary.java,24,1,60,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,1,2,4,0,4,0.0,0.030303,1,1,0,3,0.030303,1,1,1,2,2,1,32,37,1,0,1,0,4,0,2,0,6,10,0,4,0,32,37,1,0,1,0,4,0,2,0,6,10,0,4,0,0
L101254,Class,AdversarySignals,org.neo4j.adversaries.AdversarySignals,L101220,L103,community/kernel/src/test/java/org/neo4j/adversaries/AdversarySignals.java,28,1,97,2,0.383333,1,2,2,0.371429,0.419355,26,26,1,1,1,8,1,1,1,0,6,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,45,52,3,1,3,1,6,0,4,2,6,10,0,4,2,63,70,3,1,3,1,9,0,7,2,9,13,0,7,2,0
L101278,Class,AdversarySignals$1,org.neo4j.adversaries.AdversarySignals$1,L101265,L103,community/kernel/src/test/java/org/neo4j/adversaries/AdversarySignals.java,51,13,57,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,7,0,0,0,0,1,0,1,0,1,1,0,1,0,8,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0
L101291,Class,AdversarySignals$2,org.neo4j.adversaries.AdversarySignals$2,L101283,L103,community/kernel/src/test/java/org/neo4j/adversaries/AdversarySignals.java,75,9,81,10,1.0,1,1,1,1.0,1.0,7,7,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,7,0,0,0,0,1,0,1,0,1,1,0,1,0,8,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0
L101300,Class,AdversarySignals$3,org.neo4j.adversaries.AdversarySignals$3,L101295,L103,community/kernel/src/test/java/org/neo4j/adversaries/AdversarySignals.java,89,9,95,10,1.0,1,1,1,1.0,1.0,7,7,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,7,0,0,0,0,1,0,1,0,1,1,0,1,0,8,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0
L83074,Class,ClassGuardedAdversary,org.neo4j.adversaries.ClassGuardedAdversary,L101220,L103,community/kernel/src/test/java/org/neo4j/adversaries/ClassGuardedAdversary.java,29,1,94,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,14,1,1,1,2,10,0.166667,0.0491803,3,3,1,5,0.0491803,3,1,1,0,0,1,58,66,3,0,3,0,8,0,5,0,8,18,0,5,0,58,66,3,0,3,0,8,0,5,0,8,18,0,5,0,0
L83079,Class,CountingAdversary,org.neo4j.adversaries.CountingAdversary,L101220,L103,community/kernel/src/test/java/org/neo4j/adversaries/CountingAdversary.java,27,1,83,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,11,1,1,1,2,6,0.25,0.0740741,4,3,1,3,0.0740741,4,2,2,0,0,1,50,57,4,0,3,0,4,0,3,0,8,20,0,5,0,50,57,4,0,3,0,4,0,3,0,8,20,0,5,0,0
L101285,Class,RandomAdversary,org.neo4j.adversaries.RandomAdversary,L101220,L103,community/kernel/src/test/java/org/neo4j/adversaries/RandomAdversary.java,25,1,104,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,16,1,3,2,2,8,0.166667,0.0533333,4,3,1,5,0.0533333,4,2,2,0,0,1,71,80,6,0,5,0,6,0,5,2,10,27,0,7,2,71,80,6,0,5,0,6,0,5,2,10,27,0,7,2,0
L101355,Class,AdversarialFileChannel,org.neo4j.adversaries.fs.AdversarialFileChannel,L101347,L103,community/kernel/src/test/java/org/neo4j/adversaries/fs/AdversarialFileChannel.java,31,1,194,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,23,2,1,2,20,39,0.0,0.0,0,0,0,19,0.0,0,2,2,0,0,1,145,164,2,0,1,0,19,0,18,0,38,58,0,37,0,145,164,2,0,1,0,19,0,18,0,38,58,0,37,0,0
L83098,Class,AdversarialFileSystemAbstraction,org.neo4j.adversaries.fs.AdversarialFileSystemAbstraction,L101347,L103,community/kernel/src/test/java/org/neo4j/adversaries/fs/AdversarialFileSystemAbstraction.java,42,1,179,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,21,13,1,1,25,46,0.0454545,0.0333333,4,3,1,21,0.0333333,4,1,1,0,0,1,116,138,2,2,2,2,21,0,21,0,21,41,0,21,0,116,138,2,2,2,2,21,0,21,0,21,41,0,21,0,0
L101478,Class,AdversarialInputStream,org.neo4j.adversaries.fs.AdversarialInputStream,L101347,L103,community/kernel/src/test/java/org/neo4j/adversaries/fs/AdversarialInputStream.java,27,1,112,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,12,1,1,1,2,12,0.0,0.0,0,0,0,11,0.0,0,0,0,0,0,0,76,86,2,0,2,0,10,0,10,0,10,26,0,10,0,76,86,2,0,2,0,10,0,10,0,10,26,0,10,0,0
