ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L115819,Class,BackupClient,org.neo4j.backup.BackupClient,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/BackupClient.java,39,1,115,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,13,3,3,3,7,0.0,0.0,0,0,0,4,0.0,0,3,4,0,0,2,24,28,16,5,0,0,4,0,3,0,24,4,2,13,0,68,77,20,7,4,2,10,2,8,0,30,11,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L116578,Class,BackupEmbeddedIT,org.neo4j.backup.BackupEmbeddedIT,L115779,L103,enterprise/backup/src/test/java/org/neo4j/backup/BackupEmbeddedIT.java,47,1,151,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,12,13,2,4,19,26,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,96,105,4,0,4,0,7,2,6,0,7,42,2,6,0,96,105,4,0,4,0,7,2,6,0,7,42,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L92888,Class,BackupExtensionService,org.neo4j.backup.BackupExtensionService,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/BackupExtensionService.java,54,1,70,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,3,3,3,1,3,0.666667,0.809524,34,34,2,1,0.809524,34,1,1,2,2,1,8,17,1,1,0,0,2,0,2,0,15,1,0,9,0,8,17,1,1,0,0,2,0,2,0,15,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L115899,Class,BackupImpl,org.neo4j.backup.BackupImpl,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/BackupImpl.java,37,1,96,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,13,2,1,10,14,0.0,0.122449,6,0,0,4,0.111111,6,1,1,0,0,1,43,55,6,0,6,0,4,0,3,0,4,14,0,3,0,48,60,6,2,6,2,6,0,5,0,6,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L115935,Class,BackupServer,org.neo4j.backup.BackupServer,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/BackupServer.java,38,1,93,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,11,7,1,1,5,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,28,32,29,6,4,1,4,0,1,0,37,2,1,15,0,49,56,29,10,4,5,8,0,5,0,41,6,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L115968,Class,BackupService,org.neo4j.backup.BackupService,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/BackupService.java,66,1,496,2,0.0180832,1,3,1,0.025522,0.0287356,11,10,2,2,2,45,42,5,25,44,62,0.0,0.0945122,31,12,0,1,0.0895141,35,0,0,0,0,0,297,362,1,0,1,0,18,0,0,0,18,116,0,0,0,356,431,5,1,5,1,27,0,8,0,27,128,0,8,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
L116145,Class,BackupTool,org.neo4j.backup.BackupTool,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/BackupTool.java,53,1,297,2,0.104965,1,3,1,0.0857143,0.0934579,21,20,1,3,3,28,23,3,10,25,34,0.0,0.0295567,6,0,0,3,0.0269058,6,0,0,0,0,0,197,223,9,0,9,0,9,1,2,0,9,75,1,2,0,217,245,9,0,9,0,12,1,2,0,12,81,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
L116683,Class,BackupToolTest,org.neo4j.backup.BackupToolTest,L115779,L103,enterprise/backup/src/test/java/org/neo4j/backup/BackupToolTest.java,55,1,266,2,0.472329,4,9,8,0.339623,0.301887,72,48,9,1,1,14,11,0,0,7,16,0.0,0.130435,24,0,0,10,0.130435,24,0,0,0,0,0,160,212,0,0,0,0,9,0,9,0,9,81,0,9,0,160,212,0,0,0,0,9,0,9,0,9,81,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L116711,Class,EmbeddedServer,org.neo4j.backup.EmbeddedServer,L115779,L103,enterprise/backup/src/test/java/org/neo4j/backup/EmbeddedServer.java,27,1,47,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,6,2,2,5,8,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,18,21,1,0,1,0,3,0,3,0,3,5,0,3,0,18,21,1,0,1,0,3,0,3,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L116264,Class,OnlineBackup,org.neo4j.backup.OnlineBackup,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/OnlineBackup.java,40,1,323,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,18,8,4,17,9,26,1.0,0.629091,173,173,15,0,0.629091,173,0,0,0,0,0,102,284,3,1,3,1,17,0,14,0,17,30,0,14,0,102,284,3,1,3,1,17,0,14,0,17,30,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L116334,Class,OnlineBackupExtensionFactory,org.neo4j.backup.OnlineBackupExtensionFactory,L115779,L103,enterprise/backup/src/main/java/org/neo4j/backup/OnlineBackupExtensionFactory.java,32,1,70,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,7,1,0,8,11,0.0,0.0,0,0,0,4,0.0,0,2,2,0,0,1,21,25,2,3,1,1,3,0,3,0,19,3,0,12,0,30,39,2,5,1,3,9,0,9,0,25,3,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
