ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L67274,Class,"AbstractEntryIterator<K extends Object, V extends Object, T extends Object>",com.orientechnologies.common.collection.AbstractEntryIterator,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/AbstractEntryIterator.java,26,1,152,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,35,4,6,13,10,22,0.166667,0.0917431,10,3,1,5,0.0917431,10,1,2,6,6,2,99,127,6,0,6,0,12,0,5,0,12,59,0,5,0,99,127,6,0,6,0,12,0,5,0,12,59,0,5,0,0
L21058,Class,OAlwaysGreaterKey,com.orientechnologies.common.collection.OAlwaysGreaterKey,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OAlwaysGreaterKey.java,25,1,29,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,5,0,0,1,0.5,0.583333,7,7,1,1,0.583333,7,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0
L21053,Class,OAlwaysLessKey,com.orientechnologies.common.collection.OAlwaysLessKey,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OAlwaysLessKey.java,25,1,29,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,5,0,0,1,0.5,0.583333,7,7,1,1,0.583333,7,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0
L3481,Class,OCompositeKey,com.orientechnologies.common.collection.OCompositeKey,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OCompositeKey.java,36,1,164,2,0.135593,1,3,1,0.0852713,0.126761,11,9,1,2,2,23,3,25,78,0,10,0.727273,0.403361,48,48,8,3,0.403361,48,0,0,0,0,0,71,129,3,1,3,1,10,0,10,0,10,39,0,10,0,71,129,3,1,3,1,10,0,10,0,10,39,0,10,0,0
L69178,Class,OCompositeKeyTest,com.orientechnologies.common.collection.OCompositeKeyTest,L67234,L103,commons/src/test/java/com/orientechnologies/common/collection/OCompositeKeyTest.java,9,1,182,2,0.196457,1,2,2,0.16092,0.180451,28,24,14,0,0,14,1,0,0,6,20,0.0,0.0,0,0,0,15,0.0,0,0,0,0,0,0,133,174,0,0,0,0,14,0,14,0,14,88,0,14,0,133,174,0,0,0,0,14,0,14,0,14,88,0,14,0,0
L67367,Class,OIterableObject<T extends Object>,com.orientechnologies.common.collection.OIterableObject,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OIterableObject.java,29,1,70,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,7,1,2,2,0,6,0.285714,0.25,10,10,2,5,0.25,10,1,1,0,0,1,30,42,2,0,2,0,6,0,6,0,6,9,0,6,0,30,42,2,0,2,0,6,0,6,0,6,9,0,6,0,0
L67384,Class,OIterableObjectArray<T extends Object>,com.orientechnologies.common.collection.OIterableObjectArray,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OIterableObjectArray.java,28,1,91,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,2,2,0,2,0.666667,0.47619,10,10,2,1,0.548387,34,0,0,0,0,0,11,20,2,0,2,0,2,0,2,0,2,3,0,2,0,28,64,3,0,3,0,5,0,5,0,5,8,0,5,0,0
L67397,Class,OIterableObjectArray$ObjIterator,com.orientechnologies.common.collection.OIterableObjectArray$ObjIterator,L67384,L103,commons/src/main/java/com/orientechnologies/common/collection/OIterableObjectArray.java,47,2,90,3,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,1,1,0,0,3,0.75,0.585366,24,24,3,1,0.585366,24,0,0,0,0,0,17,44,1,0,1,0,3,0,3,0,3,5,0,3,0,17,44,1,0,1,0,3,0,3,0,3,5,0,3,0,0
L10062,Class,OLazyIteratorListWrapper<T extends Object>,com.orientechnologies.common.collection.OLazyIteratorListWrapper,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OLazyIteratorListWrapper.java,26,1,49,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,1,1,0,5,0.166667,0.24,6,6,1,5,0.24,6,1,1,0,0,1,19,24,1,0,1,0,5,0,5,0,5,6,0,5,0,19,24,1,0,1,0,5,0,5,0,5,6,0,5,0,0
L2594,Class,"OLimitedMap<K extends Object, V extends Object>",com.orientechnologies.common.collection.OLimitedMap,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OLimitedMap.java,26,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,3,2,0,2,0.5,0.294118,5,5,1,1,0.294118,5,0,0,2,2,0,12,14,1,0,1,0,2,0,1,0,2,3,0,1,0,12,14,1,0,1,0,2,0,1,0,2,3,0,1,0,0
