ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L67367,Class,OIterableObject<T extends Object>,com.orientechnologies.common.collection.OIterableObject,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OIterableObject.java,29,1,70,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,7,1,2,2,0,6,0.285714,0.25,10,10,2,5,0.25,10,1,1,0,0,1,30,42,2,0,2,0,6,0,6,0,6,9,0,6,0,30,42,2,0,2,0,6,0,6,0,6,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L67384,Class,OIterableObjectArray<T extends Object>,com.orientechnologies.common.collection.OIterableObjectArray,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OIterableObjectArray.java,28,1,91,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,2,2,0,2,0.666667,0.47619,10,10,2,1,0.548387,34,0,0,0,0,0,11,20,2,0,2,0,2,0,2,0,2,3,0,2,0,28,64,3,0,3,0,5,0,5,0,5,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L10062,Class,OLazyIteratorListWrapper<T extends Object>,com.orientechnologies.common.collection.OLazyIteratorListWrapper,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OLazyIteratorListWrapper.java,26,1,49,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,1,1,0,5,0.166667,0.24,6,6,1,5,0.24,6,1,1,0,0,1,19,24,1,0,1,0,5,0,5,0,5,6,0,5,0,19,24,1,0,1,0,5,0,5,0,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L13655,Class,OMultiCollectionIterator<T extends Object>,com.orientechnologies.common.collection.OMultiCollectionIterator,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OMultiCollectionIterator.java,33,1,197,2,0.0,0,0,0,0.0,0.0,0,0,3,8,6,46,4,11,10,4,19,0.0666667,0.0479452,7,5,1,14,0.0479452,7,1,2,0,0,2,139,165,6,2,6,2,15,0,14,2,15,82,0,14,2,139,165,6,2,6,2,15,0,14,2,15,82,0,14,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L67492,Class,OMultiValue,com.orientechnologies.common.collection.OMultiValue,L67234,L103,commons/src/main/java/com/orientechnologies/common/collection/OMultiValue.java,40,1,599,2,0.0,0,0,0,0.0,0.0,0,0,3,10,7,148,6,42,56,8,27,0.666667,0.236735,116,88,12,6,0.236735,116,0,0,0,0,0,374,560,0,6,0,6,19,0,17,0,19,291,0,17,0,374,560,0,6,0,6,19,0,17,0,19,291,0,17,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0
L69298,Class,OByteArrayComparator,com.orientechnologies.common.comparator.OByteArrayComparator,L69289,L103,commons/src/main/java/com/orientechnologies/common/comparator/OByteArrayComparator.java,27,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,0,1,0,0,1,0.5,0.272727,6,6,1,1,0.272727,6,0,0,0,0,0,16,21,1,0,1,0,1,1,1,0,1,12,1,1,0,16,21,1,0,1,0,1,1,1,0,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L24819,Class,OCaseInsentiveComparator,com.orientechnologies.common.comparator.OCaseInsentiveComparator,L69289,L103,commons/src/main/java/com/orientechnologies/common/comparator/OCaseInsentiveComparator.java,8,1,12,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,2,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L69317,Class,OComparatorFactory,com.orientechnologies.common.comparator.OComparatorFactory,L69289,L103,commons/src/main/java/com/orientechnologies/common/comparator/OComparatorFactory.java,26,1,66,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,4,2,1,1,0,1,1.0,0.394737,15,15,2,0,0.394737,15,0,0,0,0,0,23,41,2,1,2,1,1,1,1,0,1,6,1,1,0,23,41,2,1,2,1,1,1,1,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2836,Class,ODefaultComparator,com.orientechnologies.common.comparator.ODefaultComparator,L69289,L103,commons/src/main/java/com/orientechnologies/common/comparator/ODefaultComparator.java,27,1,42,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,1,9,3,1,2,0.5,0.368421,7,7,1,1,0.368421,7,0,0,2,2,0,12,16,1,0,1,0,1,1,1,0,1,6,1,1,0,12,16,1,0,1,0,1,1,1,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L64797,Class,OUnsafeByteArrayComparator,com.orientechnologies.common.comparator.OUnsafeByteArrayComparator,L69289,L103,commons/src/main/java/com/orientechnologies/common/comparator/OUnsafeByteArrayComparator.java,34,1,111,2,0.0,0,0,0,0.141026,0.189655,11,11,1,2,2,12,0,3,4,0,3,0.5,0.12963,7,7,1,1,0.107692,7,0,0,0,0,0,47,67,5,0,5,0,3,1,1,0,3,27,1,1,0,58,78,5,0,5,0,3,1,1,0,3,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
