ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L415,Class,ModelChangedEvent,org.eclipse.pde.core.ModelChangedEvent,L107,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/core/ModelChangedEvent.java,18,1,116,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9,2,30,52,0,8,1.0,0.59375,57,57,9,0,0.59375,57,1,1,1,1,1,39,99,10,6,6,6,8,0,8,0,8,16,4,8,0,39,99,10,6,6,6,8,0,8,0,8,16,4,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
L928,Class,ModelEntry,org.eclipse.pde.core.plugin.ModelEntry,L457,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/core/plugin/ModelEntry.java,29,1,206,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,28,1,33,39,2,12,1.0,0.517442,89,89,10,0,0.517442,89,0,0,1,1,0,83,178,3,7,3,7,10,0,9,0,10,57,0,9,0,83,178,3,7,3,7,10,0,9,0,10,57,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L980,Class,PluginRegistry,org.eclipse.pde.core.plugin.PluginRegistry,L457,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/core/plugin/PluginRegistry.java,30,1,188,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,10,4,153,246,8,18,1.0,0.801242,129,129,11,0,0.801242,129,0,0,0,0,0,32,159,0,6,0,6,10,0,10,0,10,10,0,10,0,32,159,0,6,0,6,10,0,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1029,Class,TargetPlatform,org.eclipse.pde.core.plugin.TargetPlatform,L457,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/core/plugin/TargetPlatform.java,37,1,232,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,23,5,49,75,8,21,1.0,0.645,129,122,13,0,0.645,129,0,0,0,0,0,71,196,5,12,5,12,13,0,12,0,13,35,0,12,0,71,196,5,12,5,12,13,0,12,0,13,35,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1189,Class,AbstractModel,org.eclipse.pde.internal.core.AbstractModel,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/AbstractModel.java,35,1,155,2,0.0,0,0,0,0.0,0.0,0,0,5,2,2,29,8,31,93,4,26,0.0526316,0.0645161,6,5,1,18,0.0645161,6,2,4,7,35,2,87,121,6,5,6,5,22,0,18,2,27,36,0,23,2,87,121,6,5,6,5,22,0,18,2,27,36,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1307,Class,AbstractModelManager,org.eclipse.pde.internal.core.AbstractModelManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/AbstractModelManager.java,17,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,2,8,10,1,6,0.0,0.0416667,1,0,0,5,0.0416667,1,0,0,2,4,0,23,31,1,0,1,0,5,0,4,0,5,10,0,4,0,23,31,1,0,1,0,5,0,4,0,5,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1321,Class,AbstractNLModel,org.eclipse.pde.internal.core.AbstractNLModel,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/AbstractNLModel.java,15,1,58,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,13,2,9,9,4,10,0.0,0.0285714,1,0,0,6,0.0285714,1,3,5,4,20,1,34,44,8,8,2,3,6,0,5,0,33,17,0,28,2,34,44,8,8,2,3,6,0,5,0,33,17,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1350,Class,BinaryRepositoryProvider,org.eclipse.pde.internal.core.BinaryRepositoryProvider,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/BinaryRepositoryProvider.java,30,1,195,2,0.0,0,0,0,0.0,0.0,0,0,6,2,2,15,4,4,6,0,10,0.625,0.271429,19,15,5,3,0.294521,43,0,0,0,0,0,51,84,3,3,3,3,10,1,7,0,10,23,1,7,0,103,166,3,3,3,3,18,1,15,0,18,50,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5424,Class,BundleManifestSourceLocationManager,org.eclipse.pde.internal.core.BundleManifestSourceLocationManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/BundleManifestSourceLocationManager.java,42,1,284,2,0.0,0,0,0,0.0,0.0,0,0,1,8,8,38,10,2,7,8,16,1.0,0.371287,75,69,7,0,0.338912,81,0,0,0,0,0,127,208,1,5,1,5,8,0,6,1,8,88,0,6,1,158,243,3,5,3,5,12,0,10,1,12,104,0,10,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
L5514,Class,BundleValidationOperation,org.eclipse.pde.internal.core.BundleValidationOperation,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/BundleValidationOperation.java,26,1,78,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,12,2,1,5,2,8,0.0,0.0222222,1,0,0,7,0.0222222,1,0,0,0,0,0,44,53,4,2,4,2,6,0,6,0,6,27,0,6,0,44,53,4,2,4,2,6,0,6,0,6,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6386,Class,ClasspathComputer,org.eclipse.pde.internal.core.ClasspathComputer,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ClasspathComputer.java,29,1,352,2,0.0,0,0,0,0.0,0.0,0,0,2,5,4,79,14,7,7,20,38,0.333333,0.185185,55,42,3,6,0.185185,55,0,0,0,0,0,242,324,4,5,4,5,18,0,8,5,18,173,0,8,5,242,324,4,5,4,5,18,0,8,5,18,173,0,8,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
L6514,Class,ClasspathHelper,org.eclipse.pde.internal.core.ClasspathHelper,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ClasspathHelper.java,25,1,366,2,0.131917,2,14,4,0.157895,0.162338,54,50,1,7,7,103,18,7,7,18,29,0.25,0.0941176,32,4,1,3,0.0941176,32,0,0,0,0,0,308,342,1,7,1,7,11,0,3,0,11,243,0,3,0,308,342,1,7,1,7,11,0,3,0,11,243,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
L6608,Class,ClasspathUtilCore,org.eclipse.pde.internal.core.ClasspathUtilCore,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ClasspathUtilCore.java,30,1,211,2,0.0,0,0,0,0.0,0.0,0,0,5,3,3,59,24,21,40,28,45,0.0,0.112994,20,0,0,13,0.112994,20,0,0,0,0,0,157,182,0,5,0,5,17,0,12,0,17,105,0,12,0,157,182,0,5,0,5,17,0,12,0,17,105,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7319,Class,DependencyManager,org.eclipse.pde.internal.core.DependencyManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/DependencyManager.java,28,1,142,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,31,7,5,5,7,14,0.8,0.214953,23,20,4,1,0.214953,23,0,0,0,0,0,84,115,0,6,0,6,7,0,4,0,7,73,0,4,0,84,115,0,6,0,6,7,0,4,0,7,73,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
L7358,Class,EclipseHomeInitializer,org.eclipse.pde.internal.core.EclipseHomeInitializer,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/EclipseHomeInitializer.java,19,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,2,1,1,1,3,0.333333,0.222222,4,3,1,2,0.222222,4,0,0,0,0,0,14,20,1,0,1,0,2,1,2,0,2,5,1,2,0,14,20,1,0,1,0,2,1,2,0,2,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7982,Class,ExtensionDeltaEvent,org.eclipse.pde.internal.core.ExtensionDeltaEvent,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ExtensionDeltaEvent.java,5,1,35,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,5,2,1,1,0,5,0.0,0.0,0,0,0,6,0.0,0,1,1,0,0,1,24,31,7,4,4,4,5,0,5,0,5,8,3,5,0,24,31,7,4,4,4,5,0,5,0,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L8003,Class,ExternalFeatureModelManager,org.eclipse.pde.internal.core.ExternalFeatureModelManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ExternalFeatureModelManager.java,37,1,226,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,47,13,3,5,11,29,0.0,0.0838323,14,9,0,11,0.0838323,14,0,0,0,0,0,153,190,4,2,4,2,18,0,10,0,18,95,0,10,0,153,190,4,2,4,2,18,0,10,0,18,95,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8090,Class,ExternalJavaSearchClasspathContainer,org.eclipse.pde.internal.core.ExternalJavaSearchClasspathContainer,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ExternalJavaSearchClasspathContainer.java,18,1,61,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,6,3,2,0,4,8,0.8,0.410256,16,16,4,1,0.410256,16,0,0,0,0,0,23,44,1,4,1,4,4,0,4,0,4,9,0,4,0,23,44,1,4,1,4,4,0,4,0,4,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8113,Class,ExternalJavaSearchInitializer,org.eclipse.pde.internal.core.ExternalJavaSearchInitializer,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ExternalJavaSearchInitializer.java,21,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,0,0,0,1,0.5,0.285714,4,4,1,1,0.285714,4,0,0,0,0,0,10,18,1,0,1,0,1,0,1,0,1,3,0,1,0,10,18,1,0,1,0,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8123,Class,ExternalModelManager,org.eclipse.pde.internal.core.ExternalModelManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ExternalModelManager.java,21,1,82,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,14,6,3,3,6,10,0.0,0.0384615,2,0,0,2,0.0384615,2,1,1,0,0,1,50,62,2,2,1,2,4,0,1,1,9,41,0,5,1,50,62,2,2,1,2,4,0,1,1,9,41,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L9210,Class,FeatureModelDelta,org.eclipse.pde.internal.core.FeatureModelDelta,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/FeatureModelDelta.java,17,1,105,2,0.20202,1,5,1,0.157303,0.245614,14,14,1,1,1,23,2,1,2,0,9,0.666667,0.25974,20,20,4,2,0.25974,20,1,1,0,0,1,57,89,7,4,4,4,9,0,5,0,9,26,3,5,0,57,89,7,4,4,4,9,0,5,0,9,26,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3602,Class,FeatureModelManager,org.eclipse.pde.internal.core.FeatureModelManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/FeatureModelManager.java,33,1,401,2,0.0,0,0,0,0.0,0.0,0,0,1,5,5,71,16,39,59,33,50,0.357143,0.255132,87,50,5,9,0.252907,87,0,0,0,0,0,254,366,7,4,7,4,17,0,13,0,17,189,0,13,0,257,369,7,4,7,4,18,0,14,0,18,190,0,14,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
L9246,Class,FeatureTable,org.eclipse.pde.internal.core.FeatureTable,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/FeatureTable.java,26,1,251,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,27,5,1,6,5,17,0.5,0.301205,50,45,5,5,0.25,51,0,0,0,0,0,116,179,4,3,4,3,12,0,9,0,12,80,0,9,0,153,226,6,5,6,5,19,0,16,0,19,99,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L9415,Class,FileAdapter,org.eclipse.pde.internal.core.FileAdapter,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/FileAdapter.java,18,1,88,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,20,1,8,17,1,12,0.0909091,0.0806452,5,3,1,10,0.0806452,5,0,0,1,1,0,57,71,5,4,5,4,11,0,10,1,11,28,0,10,1,57,71,5,4,5,4,11,0,10,1,11,28,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11488,Class,JavaElementChangeListener,org.eclipse.pde.internal.core.JavaElementChangeListener,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/JavaElementChangeListener.java,36,1,205,2,0.0,0,0,0,0.0,0.0,0,0,1,5,3,55,8,2,3,9,22,0.2,0.0522876,8,3,1,4,0.0522876,8,0,0,0,0,0,145,170,2,1,2,1,13,0,4,0,13,91,0,4,0,145,170,2,1,2,1,13,0,4,0,13,91,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6438,Class,JavadocLocationManager,org.eclipse.pde.internal.core.JavadocLocationManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/JavadocLocationManager.java,24,1,134,2,0.0,0,0,0,0.0,0.0,0,0,1,5,5,31,7,5,4,8,14,0.0,0.131579,15,0,0,3,0.131579,15,0,0,0,0,0,99,111,2,2,2,2,6,1,2,0,6,73,1,2,0,99,111,2,2,2,2,6,1,2,0,6,73,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11704,Class,MinimalState,org.eclipse.pde.internal.core.MinimalState,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/MinimalState.java,29,1,326,2,0.0,0,0,0,0.0,0.0,0,0,1,5,5,93,7,16,34,10,35,0.0,0.0774908,21,2,0,12,0.0774908,21,0,0,1,1,0,250,298,11,5,11,5,25,0,11,1,25,146,0,11,1,250,298,11,5,11,5,25,0,11,1,25,146,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L11826,Class,ModelFileAdapter,org.eclipse.pde.internal.core.ModelFileAdapter,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ModelFileAdapter.java,17,1,28,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,3,2,3,1,3,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,10,12,6,5,1,1,2,0,2,0,13,3,0,12,1,10,12,6,5,1,1,2,0,2,0,13,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8068,Class,ModelProviderEvent,org.eclipse.pde.internal.core.ModelProviderEvent,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ModelProviderEvent.java,16,1,50,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9,2,5,5,0,6,0.0,0.0,0,0,0,7,0.0,0,1,1,0,0,1,29,35,9,5,5,5,6,0,6,0,6,10,4,6,0,29,35,9,5,5,5,6,0,6,0,6,10,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
L1328,Class,NLResourceHelper,org.eclipse.pde.internal.core.NLResourceHelper,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/NLResourceHelper.java,23,1,101,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,19,0,19,17,0,5,0.0,0.146667,11,0,0,5,0.146667,11,0,0,0,0,0,64,79,3,2,3,2,5,2,4,0,5,43,2,4,0,64,79,3,2,3,2,5,2,4,0,5,43,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11950,Class,P2Utils,org.eclipse.pde.internal.core.P2Utils,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/P2Utils.java,27,1,371,2,0.165649,3,16,4,0.133333,0.181818,46,46,1,9,5,65,7,6,3,9,14,1.0,0.309973,115,64,5,0,0.309973,115,0,0,0,0,0,256,345,5,1,5,1,5,1,4,0,5,185,1,4,0,256,345,5,1,5,1,5,1,4,0,5,185,1,4,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
L12009,Class,PDEAuxiliaryState,org.eclipse.pde.internal.core.PDEAuxiliaryState,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDEAuxiliaryState.java,45,1,378,2,0.0,0,0,0,0.0,0.0,0,0,1,5,5,80,14,1,18,16,35,0.166667,0.23053,74,47,2,10,0.229167,77,0,0,0,0,0,247,322,16,8,16,8,19,0,11,0,19,175,0,11,0,259,334,26,8,26,8,19,0,11,0,19,175,0,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
L12135,Class,PDEClasspathContainer,org.eclipse.pde.internal.core.PDEClasspathContainer,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDEClasspathContainer.java,22,1,150,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,32,10,2,2,17,26,0.0,0.0192308,2,0,0,2,0.025641,3,0,0,1,1,0,102,115,3,5,3,5,9,0,1,0,9,70,0,1,0,114,129,5,5,5,5,11,0,3,0,11,74,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
L12190,Class,PDECore,org.eclipse.pde.internal.core.PDECore,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDECore.java,27,1,267,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,54,15,214,352,22,46,0.0,0.0666667,14,3,0,25,0.0666667,14,0,0,0,0,0,196,241,24,14,24,14,24,9,24,0,24,105,9,24,0,196,241,24,14,24,14,24,9,24,0,24,105,9,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
L12307,Class,PDECoreMessages,org.eclipse.pde.internal.core.PDECoreMessages,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDECoreMessages.java,15,1,284,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.015625,3,2,0,1,0.015625,3,0,0,0,0,0,189,270,184,0,184,0,0,183,0,0,0,0,183,0,0,189,270,184,0,184,0,0,183,0,0,0,0,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12199,Class,PDEExtensionRegistry,org.eclipse.pde.internal.core.PDEExtensionRegistry,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDEExtensionRegistry.java,24,1,268,2,0.177191,1,6,2,0.114286,0.145078,28,28,1,4,4,63,18,29,36,28,48,0.4,0.118721,26,14,6,9,0.118721,26,0,0,0,0,0,193,245,7,5,7,5,20,0,14,0,20,141,0,14,0,193,245,7,5,7,5,20,0,14,0,20,141,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
L12445,Class,PDEManager,org.eclipse.pde.internal.core.PDEManager,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDEManager.java,26,1,103,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,23,7,12,13,6,12,0.0,0.057971,4,0,0,5,0.057971,4,0,0,0,0,0,65,78,0,3,0,3,6,0,4,0,6,47,0,4,0,65,78,0,3,0,3,6,0,4,0,6,47,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12354,Class,PDERegistryStrategy,org.eclipse.pde.internal.core.PDERegistryStrategy,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDERegistryStrategy.java,25,1,308,2,0.0866845,1,6,1,0.056338,0.0717489,16,16,1,4,4,53,9,5,9,13,30,0.25,0.127778,23,19,2,6,0.115079,29,0,0,1,1,0,157,206,5,4,5,4,17,0,7,1,17,106,0,7,1,223,284,6,4,6,4,21,0,10,2,25,159,0,12,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
L4771,Class,PDEState,org.eclipse.pde.internal.core.PDEState,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PDEState.java,30,1,457,2,0.0498715,1,6,1,0.0373832,0.0451977,16,16,1,4,4,108,23,18,21,54,88,0.047619,0.0939086,37,4,1,20,0.0939086,37,1,1,0,0,1,357,428,17,15,6,10,34,0,20,0,59,253,0,31,1,357,428,17,15,6,10,34,0,20,0,59,253,0,31,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
L3585,Class,PluginModelDelta,org.eclipse.pde.internal.core.PluginModelDelta,L1115,L103,src/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PluginModelDelta.java,17,1,74,2,0.289855,1,5,1,0.241379,0.291667,14,14,1,1,1,13,1,17,14,0,8,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,48,58,7,5,7,5,8,3,5,0,8,19,3,5,0,48,58,7,5,7,5,8,3,5,0,8,19,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
