ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L14619,Class,BreakpointsInterestFilter,org.eclipse.mylyn.internal.java.ui.BreakpointsInterestFilter,L14560,L103,src/org.eclipse.mylyn.java.ui/src/org/eclipse/mylyn/internal/java/ui/BreakpointsInterestFilter.java,23,1,43,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,1,1,0,1,3,0.5,0.181818,4,3,1,1,0.181818,4,2,2,0,0,1,18,21,1,1,0,0,2,0,1,0,11,8,0,5,1,18,21,1,1,0,0,2,0,1,0,11,8,0,5,1,0
L14614,Class,FocusBreakpointsViewAction,org.eclipse.mylyn.internal.java.ui.actions.FocusBreakpointsViewAction,L14581,L103,src/org.eclipse.mylyn.java.ui/src/org/eclipse/mylyn/internal/java/ui/actions/FocusBreakpointsViewAction.java,26,1,44,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,3,3,0,0,3,5,0.333333,0.157895,3,3,1,2,0.157895,3,2,2,0,0,1,16,19,18,8,0,1,2,0,2,0,36,8,1,21,2,16,19,18,8,0,1,2,0,2,0,36,8,1,21,2,0
L33337,Class,BaseEndpoint,org.broadleafcommerce.core.web.api.endpoint.BaseEndpoint,L33334,L103,core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/api/endpoint/BaseEndpoint.java,25,1,41,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,6,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,6,6,0,12,17,2,0,2,0,2,0,2,2,2,2,0,2,2,12,17,2,0,2,0,2,0,2,2,2,2,0,2,2,0
L33350,Class,CatalogEndpoint,org.broadleafcommerce.core.web.api.endpoint.catalog.CatalogEndpoint,L33347,L103,core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/api/endpoint/catalog/CatalogEndpoint.java,81,1,544,2,0.345512,4,26,8,0.269397,0.305851,125,115,2,4,4,75,29,0,0,42,64,0.272727,0.153153,68,64,6,16,0.153153,68,1,1,0,0,1,376,464,7,1,5,1,22,0,21,0,24,212,0,23,2,376,464,7,1,5,1,22,0,21,0,24,212,0,23,2,0
L33651,Class,CheckoutEndpoint,org.broadleafcommerce.core.web.api.endpoint.checkout.CheckoutEndpoint,L33648,L103,core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/api/endpoint/checkout/CheckoutEndpoint.java,61,1,150,2,0.0,0,0,0,0.0,0.0,0,0,1,5,5,11,22,0,0,18,20,0.666667,0.1625,13,13,2,1,0.1625,13,1,1,0,0,1,67,90,6,0,4,0,2,0,2,0,4,39,0,4,2,67,90,6,0,4,0,2,0,2,0,4,39,0,4,2,0
L33774,Class,CustomerEndpoint,org.broadleafcommerce.core.web.api.endpoint.customer.CustomerEndpoint,L33771,L103,core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/api/endpoint/customer/CustomerEndpoint.java,33,1,38,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.692308,9,9,1,0,0.692308,9,1,1,0,0,1,4,6,3,0,1,0,0,0,0,0,2,0,0,2,2,4,6,3,0,1,0,0,0,0,0,2,0,0,2,2,0
L33783,Class,CartEndpoint,org.broadleafcommerce.core.web.api.endpoint.order.CartEndpoint,L33778,L103,core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/api/endpoint/order/CartEndpoint.java,60,1,353,2,0.209091,2,10,4,0.14966,0.180952,44,38,1,5,5,38,17,0,0,22,30,0.444444,0.176471,45,39,4,5,0.176471,45,1,1,0,0,1,210,294,5,0,3,0,8,0,8,0,10,108,0,10,2,210,294,5,0,3,0,8,0,8,0,10,108,0,10,2,1
L33888,Class,FulfillmentEndpoint,org.broadleafcommerce.core.web.api.endpoint.order.FulfillmentEndpoint,L33778,L103,core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/api/endpoint/order/FulfillmentEndpoint.java,56,1,239,2,0.0,0,0,0,0.0,0.0,0,0,1,5,5,37,18,0,0,26,32,0.142857,0.0526316,9,9,1,6,0.0526316,9,1,1,0,0,1,162,184,6,0,4,0,6,0,6,0,8,88,0,8,2,162,184,6,0,4,0,6,0,6,0,8,88,0,8,2,0
L34012,Class,OrderHistoryEndpoint,org.broadleafcommerce.core.web.api.endpoint.order.OrderHistoryEndpoint,L33778,L103,core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/api/endpoint/order/OrderHistoryEndpoint.java,45,1,77,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,6,7,0,0,4,5,0.5,0.257143,9,9,1,1,0.257143,9,1,1,0,0,1,26,33,3,0,1,0,1,0,1,0,3,13,0,3,2,26,33,3,0,1,0,1,0,1,0,3,13,0,3,2,0
L7859,Class,RulerEnableDisableBreakpointAction,com.redhat.ceylon.eclipse.code.editor.RulerEnableDisableBreakpointAction,L6896,L103,plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/RulerEnableDisableBreakpointAction.java,17,1,78,2,0.0,0,0,0,0.0,0.0,0,0,3,3,3,15,1,1,1,1,7,0.285714,0.148148,8,6,2,5,0.148148,8,0,0,0,0,0,46,62,1,0,1,0,6,0,6,0,6,21,0,6,0,46,62,1,0,1,0,6,0,6,0,6,21,0,6,0,0
