ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L12712,Class,DocumentSummaryInformation,org.apache.poi.hpsf.DocumentSummaryInformation,L12695,L103,src/java/org/apache/poi/hpsf/DocumentSummaryInformation.java,75,1,271,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,21,4,1,1,5,21,1.0,0.50625,81,81,17,0,0.50625,81,2,2,0,0,1,79,197,9,32,0,15,16,0,16,0,46,26,0,42,0,79,197,9,32,0,15,16,0,16,0,46,26,0,42,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
L706,Class,HPSFException,org.apache.poi.hpsf.HPSFException,L12695,L103,src/java/org/apache/poi/hpsf/HPSFException.java,70,1,131,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,5,0,4,12,0,5,1.0,0.518519,28,28,6,0,0.518519,28,0,0,3,3,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L12811,Class,HPSFRuntimeException,org.apache.poi.hpsf.HPSFRuntimeException,L12695,L103,src/java/org/apache/poi/hpsf/HPSFRuntimeException.java,70,1,131,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,5,0,1,4,0,5,1.0,0.518519,28,28,6,0,0.518519,28,0,0,1,1,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L534,Class,NoPropertySetStreamException,org.apache.poi.hpsf.NoPropertySetStreamException,L12695,L103,src/java/org/apache/poi/hpsf/NoPropertySetStreamException.java,73,1,97,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,3,2,4,8,0.2,0.375,12,12,1,4,0.375,12,1,1,0,0,1,20,25,1,1,0,0,4,0,4,0,9,4,0,9,0,20,25,1,1,0,0,4,0,4,0,9,4,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L12934,Class,NoSingleSectionException,org.apache.poi.hpsf.NoSingleSectionException,L12695,L103,src/java/org/apache/poi/hpsf/NoSingleSectionException.java,74,1,97,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,1,1,4,8,0.2,0.40625,13,13,1,4,0.40625,13,1,1,0,0,1,19,24,1,1,0,0,4,0,4,0,9,4,0,9,0,19,24,1,1,0,0,4,0,4,0,9,4,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L650,Class,Property,org.apache.poi.hpsf.Property,L12695,L103,src/java/org/apache/poi/hpsf/Property.java,91,1,274,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,15,3,3,3,3,9,1.0,0.505435,93,70,5,0,0.505435,93,0,0,0,0,0,91,184,3,3,3,3,6,0,4,0,6,51,0,4,0,91,184,3,3,3,3,6,0,4,0,6,51,0,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
L526,Class,PropertySet,org.apache.poi.hpsf.PropertySet,L12695,L103,src/java/org/apache/poi/hpsf/PropertySet.java,101,1,528,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,28,11,6,45,15,35,1.0,0.59542,234,213,17,0,0.59542,234,0,0,1,3,0,159,428,8,10,8,10,20,0,16,0,20,68,0,16,0,159,428,8,10,8,10,20,0,16,0,20,68,0,16,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
L13086,Class,PropertySetFactory,org.apache.poi.hpsf.PropertySetFactory,L12695,L103,src/java/org/apache/poi/hpsf/PropertySetFactory.java,71,1,97,2,0.0,0,0,0,0.0,0.0,0,0,1,2,1,3,6,1,1,5,6,1.0,0.545455,18,18,2,0,0.545455,18,0,0,0,0,0,15,27,0,0,0,0,1,0,1,0,1,6,0,1,0,15,27,0,0,0,0,1,0,1,0,1,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L625,Class,Section,org.apache.poi.hpsf.Section,L12695,L103,src/java/org/apache/poi/hpsf/Section.java,72,1,278,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,18,5,3,8,8,18,1.0,0.464286,78,67,9,0,0.464286,78,0,0,0,0,0,90,207,7,8,7,8,10,0,8,0,10,48,0,8,0,90,207,7,8,7,8,10,0,8,0,10,48,0,8,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
L583,Class,SummaryInformation,org.apache.poi.hpsf.SummaryInformation,L12695,L103,src/java/org/apache/poi/hpsf/SummaryInformation.java,75,1,290,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,21,4,2,2,5,24,1.0,0.5,85,85,20,0,0.5,85,2,2,0,0,1,85,216,9,35,0,18,19,0,19,0,49,23,0,45,0,85,216,9,35,0,18,19,0,19,0,49,23,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
