ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
L12159,Class,BerkeleyStorageSetup,com.thinkaurelius.titan.BerkeleyStorageSetup,L106,L103,titan-berkeleyje/src/test/java/com/thinkaurelius/titan/BerkeleyStorageSetup.java,8,1,29,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,4,7,9,4,8,0.0,0.0,0,0,0,5,0.0,0,1,1,0,0,1,18,22,0,11,0,4,4,0,4,0,14,4,0,14,0,18,22,0,11,0,4,4,0,4,0,14,4,0,14,0,0
L26408,Class,CassandraStorageSetup,com.thinkaurelius.titan.CassandraStorageSetup,L106,L103,titan-cassandra/src/test/java/com/thinkaurelius/titan/CassandraStorageSetup.java,25,1,183,2,0.102713,1,2,1,0.0628931,0.0769231,10,9,5,2,2,26,3,0,0,0,19,0.133333,0.0991736,12,12,2,13,0.0930233,12,0,0,0,0,0,109,150,4,14,4,14,19,2,14,0,19,55,2,14,0,117,159,6,14,6,14,20,2,15,0,20,57,2,15,0,0
L26413,Class,CassandraStorageSetup$Paths,com.thinkaurelius.titan.CassandraStorageSetup$Paths,L26408,L103,titan-cassandra/src/test/java/com/thinkaurelius/titan/CassandraStorageSetup.java,174,5,182,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,9,2,0,2,0,1,0,1,0,1,2,0,1,0,8,9,2,0,2,0,1,0,1,0,1,2,0,1,0,0
L10535,Class,DaemonRunner<S extends Object>,com.thinkaurelius.titan.DaemonRunner,L106,L103,titan-test/src/main/java/com/thinkaurelius/titan/DaemonRunner.java,12,1,187,2,0.462871,2,9,2,0.284091,0.39823,50,45,5,2,2,20,0,1,0,0,9,0.666667,0.268908,32,28,2,1,0.241611,36,0,0,1,1,0,87,146,2,1,2,1,9,0,2,0,9,49,0,2,0,113,176,4,1,4,1,12,0,4,0,12,59,0,4,0,0
L35473,Class,DaemonRunner<S extends Object>$378878#,com.thinkaurelius.titan.DaemonRunner$378878#,L35471,L103,titan-test/src/main/java/com/thinkaurelius/titan/DaemonRunner.java,79,35,83,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0
L35480,Class,DaemonRunner$StreamLogger,com.thinkaurelius.titan.DaemonRunner$StreamLogger,L10535,L103,titan-test/src/main/java/com/thinkaurelius/titan/DaemonRunner.java,160,5,186,6,0.703704,1,4,1,0.592593,0.652174,16,15,1,3,3,5,0,0,0,0,2,0.5,0.148148,4,4,1,1,0.148148,4,0,0,0,0,0,23,27,2,0,2,0,2,0,1,0,2,9,0,1,0,23,27,2,0,2,0,2,0,1,0,2,9,0,1,0,0
L35385,Class,HBaseStatus,com.thinkaurelius.titan.HBaseStatus,L106,L103,titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStatus.java,15,1,105,2,0.197674,1,2,1,0.164835,0.180556,15,13,3,1,1,14,1,1,0,0,8,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,66,85,3,4,3,4,8,0,6,0,8,35,0,6,0,72,91,4,4,4,4,9,0,7,0,9,36,0,7,0,0
L35404,Class,HBaseStatus$HBasePidfileParseException,com.thinkaurelius.titan.HBaseStatus$HBasePidfileParseException,L35385,L103,titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStatus.java,99,5,104,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,1,0,1,0,1,0,1,0,1,1,0,1,0,6,6,1,0,1,0,1,0,1,0,1,1,0,1,0,0
L35412,Class,HBaseStorageSetup,com.thinkaurelius.titan.HBaseStorageSetup,L106,L103,titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStorageSetup.java,23,1,272,2,0.296825,2,9,2,0.2,0.298013,50,45,6,2,2,21,3,0,0,0,11,0.25,0.281609,49,42,2,6,0.259804,53,0,0,0,0,0,125,220,7,5,7,5,11,1,7,0,11,69,1,7,0,151,250,9,5,9,5,14,1,9,0,14,79,1,9,0,0
L35441,Class,HBaseStorageSetup$364952#,com.thinkaurelius.titan.HBaseStorageSetup$364952#,L35438,L103,titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStorageSetup.java,165,59,169,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0
