ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L12159,Class,BerkeleyStorageSetup,com.thinkaurelius.titan.BerkeleyStorageSetup,L106,L103,titan-berkeleyje/src/test/java/com/thinkaurelius/titan/BerkeleyStorageSetup.java,8,1,29,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,4,7,9,4,8,0.0,0.0,0,0,0,5,0.0,0,1,1,0,0,1,18,22,0,11,0,4,4,0,4,0,14,4,0,14,0,18,22,0,11,0,4,4,0,4,0,14,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L26408,Class,CassandraStorageSetup,com.thinkaurelius.titan.CassandraStorageSetup,L106,L103,titan-cassandra/src/test/java/com/thinkaurelius/titan/CassandraStorageSetup.java,25,1,183,2,0.102713,1,2,1,0.0628931,0.0769231,10,9,5,2,2,26,3,0,0,0,19,0.133333,0.0991736,12,12,2,13,0.0930233,12,0,0,0,0,0,109,150,4,14,4,14,19,2,14,0,19,55,2,14,0,117,159,6,14,6,14,20,2,15,0,20,57,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L10535,Class,DaemonRunner<S extends Object>,com.thinkaurelius.titan.DaemonRunner,L106,L103,titan-test/src/main/java/com/thinkaurelius/titan/DaemonRunner.java,12,1,187,2,0.462871,2,9,2,0.284091,0.39823,50,45,5,2,2,20,0,1,0,0,9,0.666667,0.268908,32,28,2,1,0.241611,36,0,0,1,1,0,87,146,2,1,2,1,9,0,2,0,9,49,0,2,0,113,176,4,1,4,1,12,0,4,0,12,59,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L35385,Class,HBaseStatus,com.thinkaurelius.titan.HBaseStatus,L106,L103,titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStatus.java,15,1,105,2,0.197674,1,2,1,0.164835,0.180556,15,13,3,1,1,14,1,1,0,0,8,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,66,85,3,4,3,4,8,0,6,0,8,35,0,6,0,72,91,4,4,4,4,9,0,7,0,9,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L35412,Class,HBaseStorageSetup,com.thinkaurelius.titan.HBaseStorageSetup,L106,L103,titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStorageSetup.java,23,1,272,2,0.296825,2,9,2,0.2,0.298013,50,45,6,2,2,21,3,0,0,0,11,0.25,0.281609,49,42,2,6,0.259804,53,0,0,0,0,0,125,220,7,5,7,5,11,1,7,0,11,69,1,7,0,151,250,9,5,9,5,14,1,9,0,14,79,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12160,Class,StorageSetup,com.thinkaurelius.titan.StorageSetup,L106,L103,titan-test/src/main/java/com/thinkaurelius/titan/StorageSetup.java,17,1,75,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,16,9,2,4,7,17,0.0909091,0.0425532,2,1,1,10,0.0425532,2,0,0,1,1,0,45,59,0,7,0,7,10,0,10,0,10,25,0,10,0,45,59,0,7,0,7,10,0,10,0,10,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L35653,Class,TestBed,com.thinkaurelius.titan.TestBed,L106,L103,titan-test/src/main/java/com/thinkaurelius/titan/TestBed.java,21,1,135,2,0.0,0,0,0,0.0,0.0,0,0,4,1,1,8,0,0,0,0,4,0.333333,0.132075,7,4,1,2,0.0879121,8,0,0,0,0,0,46,70,0,0,0,0,4,0,2,0,4,42,0,2,0,83,115,4,0,4,0,9,0,6,0,9,56,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L35679,Class,TestByteBuffer,com.thinkaurelius.titan.TestByteBuffer,L106,L103,titan-test/src/main/java/com/thinkaurelius/titan/TestByteBuffer.java,19,1,236,2,0.0,0,0,0,0.0,0.0,0,0,3,3,3,20,0,0,0,0,3,0.5,0.038961,3,3,1,1,0.0215054,4,0,0,0,0,0,74,86,6,0,6,0,3,0,1,0,3,69,0,1,0,182,218,16,11,16,9,26,0,17,1,32,100,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12235,Class,AbstractCassandraBlueprintsTest,com.thinkaurelius.titan.blueprints.AbstractCassandraBlueprintsTest,L12176,L103,titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/AbstractCassandraBlueprintsTest.java,10,1,28,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,4,3,2,0,0,4,0.25,0.222222,4,3,1,3,0.222222,4,1,1,2,2,1,14,19,3,2,0,1,4,0,3,0,25,2,0,20,0,14,19,3,2,0,1,4,0,3,0,25,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L12193,Class,BerkeleyBlueprintsTest,com.thinkaurelius.titan.blueprints.BerkeleyBlueprintsTest,L12176,L103,titan-berkeleyje/src/test/java/com/thinkaurelius/titan/blueprints/BerkeleyBlueprintsTest.java,22,1,84,2,0.0,0,0,0,0.0,0.0,0,0,7,1,1,12,7,0,0,7,14,0.125,0.0701754,4,3,1,7,0.0701754,4,1,1,0,0,1,53,63,5,1,2,0,7,0,7,0,28,23,0,24,0,53,63,5,1,2,0,7,0,7,0,28,23,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
