ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug,fe,rb,lm,bc,bm,cdsbp,cc,dacl,dico,gc,ic,lc,lpl,mc,ss,sc,sg
L31001,Class,Version,org.apache.xalan.Version,L106,L103,src/org/apache/xalan/Version.java,70,1,188,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,9,1,0,0,0,8,1.0,0.68595,83,76,9,0,0.68595,83,0,0,0,0,0,38,119,0,7,0,7,8,0,8,0,8,8,0,8,0,38,119,0,7,0,7,8,0,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L16684,Class,XSLTProcessorApplet,org.apache.xalan.client.XSLTProcessorApplet,L16681,L103,src/org/apache/xalan/client/XSLTProcessorApplet.java,101,1,798,2,0.124189,2,8,4,0.0759312,0.133333,53,48,2,7,4,47,3,1,1,1,24,1.0,0.4319,241,218,22,0,0.414673,260,0,0,0,0,0,317,634,21,8,21,8,23,0,21,4,23,145,0,21,4,367,698,23,8,23,8,24,2,22,4,24,162,2,22,4,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
L16906,Interface,ExpressionContext,org.apache.xalan.extensions.ExpressionContext,L16891,L103,src/org/apache/xalan/extensions/ExpressionContext.java,67,1,121,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,6,3,15,11,0,6,1.0,0.788462,41,41,7,0,0.788462,41,0,0,1,1,0,11,55,0,4,0,4,6,0,6,0,6,0,0,6,0,11,55,0,4,0,4,6,0,6,0,6,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
L16923,Class,ExpressionVisitor,org.apache.xalan.extensions.ExpressionVisitor,L16891,L103,src/org/apache/xalan/extensions/ExpressionVisitor.java,75,1,106,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,6,1,1,3,5,1.0,0.575,23,23,3,0,0.575,23,1,1,0,0,1,17,32,1,0,1,0,2,0,2,0,14,5,0,14,0,17,32,1,0,1,0,2,0,2,0,14,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L16954,Class,ExtensionHandler,org.apache.xalan.extensions.ExtensionHandler,L16891,L103,src/org/apache/xalan/extensions/ExtensionHandler.java,85,1,222,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,10,4,9,14,0,6,1.0,0.557252,73,72,6,0,0.557252,73,0,0,3,5,0,58,138,4,1,4,1,6,0,5,0,6,14,0,5,0,58,138,4,1,4,1,6,0,5,0,6,14,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L17000,Class,ExtensionHandlerExsltFunction,org.apache.xalan.extensions.ExtensionHandlerExsltFunction,L16891,L103,src/org/apache/xalan/extensions/ExtensionHandlerExsltFunction.java,91,1,237,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,22,14,0,0,16,23,1.0,0.34965,50,47,7,0,0.34965,50,1,1,0,0,1,93,147,7,2,3,1,7,0,6,0,9,45,0,7,0,93,147,7,2,3,1,7,0,6,0,9,45,0,7,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
L17086,Class,ExtensionHandlerGeneral,org.apache.xalan.extensions.ExtensionHandlerGeneral,L16891,L103,src/org/apache/xalan/extensions/ExtensionHandlerGeneral.java,100,1,442,2,0.114047,1,6,2,0.0699708,0.102564,24,20,1,4,4,28,16,0,0,12,17,1.0,0.34106,103,85,6,0,0.34106,103,1,1,0,0,1,199,343,17,1,13,0,5,0,5,0,7,78,0,6,0,199,343,17,1,13,0,5,0,5,0,7,78,0,6,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
L17202,Class,ExtensionHandlerJava,org.apache.xalan.extensions.ExtensionHandlerJava,L16891,L103,src/org/apache/xalan/extensions/ExtensionHandlerJava.java,68,1,136,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,2,6,1,4,1.0,0.686567,46,44,3,0,0.686567,46,1,1,2,2,1,21,69,6,2,2,1,3,0,2,0,9,4,0,7,0,21,69,6,2,2,1,3,0,2,0,9,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
L17226,Class,ExtensionHandlerJavaClass,org.apache.xalan.extensions.ExtensionHandlerJavaClass,L16891,L103,src/org/apache/xalan/extensions/ExtensionHandlerJavaClass.java,94,1,444,2,0.245283,3,12,3,0.133903,0.205607,47,44,1,7,7,41,10,0,0,11,16,1.0,0.327327,109,98,6,0,0.327327,109,2,2,0,0,1,224,351,8,2,2,0,5,0,5,0,10,107,0,8,0,224,351,8,2,2,0,5,0,5,0,10,107,0,8,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
L17289,Class,ExtensionHandlerJavaPackage,org.apache.xalan.extensions.ExtensionHandlerJavaPackage,L16891,L103,src/org/apache/xalan/extensions/ExtensionHandlerJavaPackage.java,104,1,479,2,0.204617,3,12,3,0.12766,0.176471,48,45,1,5,5,41,12,0,0,12,17,1.0,0.312834,117,103,6,0,0.312834,117,2,2,0,0,1,257,376,6,2,0,0,5,0,5,0,10,131,0,8,0,257,376,6,2,0,0,5,0,5,0,10,131,0,8,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
L17347,Class,ExtensionNamespaceSupport,org.apache.xalan.extensions.ExtensionNamespaceSupport,L16891,L103,src/org/apache/xalan/extensions/ExtensionNamespaceSupport.java,11,1,85,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,10,1,4,7,1,4,0.5,0.202532,16,10,2,2,0.202532,16,0,0,0,0,0,63,75,4,1,4,1,3,0,3,0,3,30,0,3,0,63,75,4,1,4,1,3,0,3,0,3,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L17325,Class,ExtensionNamespacesManager,org.apache.xalan.extensions.ExtensionNamespacesManager,L16891,L103,src/org/apache/xalan/extensions/ExtensionNamespacesManager.java,68,1,292,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,25,3,5,7,3,12,0.888889,0.403846,84,75,8,1,0.403846,84,0,0,0,0,0,124,225,3,1,3,1,9,0,8,1,9,68,0,8,1,124,225,3,1,3,1,9,0,8,1,9,68,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L17405,Class,ExtensionsTable,org.apache.xalan.extensions.ExtensionsTable,L16891,L103,src/org/apache/xalan/extensions/ExtensionsTable.java,88,1,247,2,0.324528,1,6,2,0.16875,0.309524,27,26,1,3,3,16,7,2,5,8,14,1.0,0.452229,71,69,7,0,0.452229,71,0,0,0,0,0,86,160,2,0,2,0,6,1,6,0,6,33,1,6,0,86,160,2,0,2,0,6,1,6,0,6,33,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
L17449,Class,MethodResolver,org.apache.xalan.extensions.MethodResolver,L16891,L103,src/org/apache/xalan/extensions/MethodResolver.java,85,1,1031,2,0.0363783,1,8,2,0.0359029,0.0453809,34,28,1,9,5,117,12,2,4,19,29,1.0,0.282022,251,130,6,0,0.283664,257,0,0,0,0,0,639,936,12,3,12,3,10,4,5,0,10,290,4,5,0,649,947,14,3,14,3,11,4,5,0,11,292,4,5,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
L1420,Class,XSLProcessorContext,org.apache.xalan.extensions.XSLProcessorContext,L16891,L103,src/org/apache/xalan/extensions/XSLProcessorContext.java,92,1,356,2,0.0,0,0,0,0.0,0.0,0,0,1,11,8,31,18,8,9,35,42,1.0,0.333333,80,61,8,0,0.333333,80,0,0,1,1,0,160,265,5,5,5,5,7,0,7,0,7,73,0,7,0,160,265,5,5,5,5,7,0,7,0,7,73,0,7,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
L17703,Class,ExsltCommon,org.apache.xalan.lib.ExsltCommon,L17693,L103,src/org/apache/xalan/lib/ExsltCommon.java,105,1,170,2,0.0,0,0,0,0.0,0.0,0,0,2,5,2,7,6,0,0,2,4,1.0,0.662338,51,51,3,0,0.662338,51,0,0,0,0,0,26,66,0,0,0,0,2,0,2,0,2,13,0,2,0,26,66,0,0,0,0,2,0,2,0,2,13,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L17723,Class,ExsltDatetime,org.apache.xalan.lib.ExsltDatetime,L17693,L103,src/org/apache/xalan/lib/ExsltDatetime.java,86,1,958,2,0.317443,4,28,13,0.167239,0.311321,146,132,13,3,3,88,4,0,0,4,46,1.0,0.48184,398,381,36,0,0.48184,398,0,0,0,0,0,428,873,8,5,8,5,42,0,35,0,42,241,0,35,0,428,873,8,5,8,5,42,0,35,0,42,241,0,35,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L17923,Class,ExsltMath,org.apache.xalan.lib.ExsltMath,L17693,L103,src/org/apache/xalan/lib/ExsltMath.java,105,1,263,2,0.996942,2,16,4,0.509434,0.974359,81,76,2,3,2,16,2,0,0,9,13,1.0,0.526946,88,86,5,0,0.526946,88,0,0,0,0,0,79,159,0,0,0,0,4,0,4,0,4,58,0,4,0,79,159,0,0,0,0,4,0,4,0,4,58,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L17962,Class,ExsltSets,org.apache.xalan.lib.ExsltSets,L17693,L103,src/org/apache/xalan/lib/ExsltSets.java,104,1,261,2,0.656934,1,10,2,0.240506,0.575758,38,38,6,2,2,18,4,0,0,11,17,1.0,0.593939,98,96,7,0,0.593939,98,0,0,0,0,0,67,158,0,0,0,0,6,0,6,0,6,41,0,6,0,67,158,0,0,0,0,6,0,6,0,6,41,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
L18001,Class,Extensions,org.apache.xalan.lib.Extensions,L17693,L103,src/org/apache/xalan/lib/Extensions.java,99,1,522,2,0.0991105,1,4,2,0.0566038,0.103286,24,22,8,4,2,34,13,2,4,25,36,1.0,0.425926,161,142,10,0,0.425926,161,0,0,0,0,0,217,424,0,0,0,0,11,0,9,0,11,115,0,9,0,217,424,0,0,0,0,11,0,9,0,11,115,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L18068,Class,NodeInfo,org.apache.xalan.lib.NodeInfo,L17693,L103,src/org/apache/xalan/lib/NodeInfo.java,74,1,284,2,0.997531,4,20,8,0.511848,0.977778,108,88,8,1,1,24,3,0,0,4,12,1.0,0.502513,100,100,9,0,0.502513,100,0,0,0,0,0,99,211,0,0,0,0,8,0,8,0,8,56,0,8,0,99,211,0,0,0,0,8,0,8,0,8,56,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L18106,Class,PipeDocument,org.apache.xalan.lib.PipeDocument,L17693,L103,src/org/apache/xalan/lib/PipeDocument.java,120,1,273,2,0.0,0,0,0,0.0,0.0,0,0,1,6,6,13,10,0,0,15,17,1.0,0.389262,58,47,3,0,0.389262,58,0,0,0,0,0,91,154,0,0,0,0,2,0,2,0,2,59,0,2,0,91,154,0,0,0,0,2,0,2,0,2,59,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L18156,Class,Redirect,org.apache.xalan.lib.Redirect,L17693,L103,src/org/apache/xalan/lib/Redirect.java,161,1,473,2,0.0,0,0,0,0.0,0.0,0,0,1,6,3,42,9,0,0,16,22,1.0,0.361186,134,114,4,0,0.361186,134,0,0,0,0,0,237,313,4,1,4,1,6,2,3,0,6,96,2,3,0,237,313,4,1,4,1,6,2,3,0,6,96,2,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
L18234,Interface,ConnectionPool,org.apache.xalan.lib.sql.ConnectionPool,L18222,L103,src/org/apache/xalan/lib/sql/ConnectionPool.java,73,1,195,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14,0,4,9,0,14,1.0,0.846847,94,94,15,0,0.846847,94,0,0,1,1,0,17,123,0,1,0,1,14,0,14,7,14,0,0,14,7,17,123,0,1,0,1,14,0,14,7,14,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L18279,Class,ConnectionPoolManager,org.apache.xalan.lib.sql.ConnectionPoolManager,L18222,L103,src/org/apache/xalan/lib/sql/ConnectionPoolManager.java,68,1,168,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,9,3,2,3,3,8,1.0,0.595506,53,40,6,0,0.595506,53,0,0,0,0,0,36,101,2,1,2,1,5,0,5,0,5,14,0,5,0,36,101,2,1,2,1,5,0,5,0,5,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L18427,Class,DTMDocument,org.apache.xalan.lib.sql.DTMDocument,L18222,L103,src/org/apache/xalan/lib/sql/DTMDocument.java,92,1,1629,2,0.187095,18,202,24,0.121586,0.188702,187,157,1,4,3,231,13,2,9,71,166,1.0,0.382807,521,485,67,0,0.38484,528,4,4,2,2,1,840,1529,53,87,13,52,95,0,66,4,167,450,15,117,7,844,1538,53,87,13,52,96,0,67,4,168,450,15,118,7,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
L18309,Class,DefaultConnectionPool,org.apache.xalan.lib.sql.DefaultConnectionPool,L18222,L103,src/org/apache/xalan/lib/sql/DefaultConnectionPool.java,74,1,589,2,0.0404762,1,3,1,0.0213178,0.031746,11,8,1,4,4,57,4,2,2,6,25,1.0,0.404206,173,127,17,0,0.404206,173,1,1,0,0,1,255,516,7,1,7,1,19,0,16,7,19,122,0,16,7,255,516,7,1,7,1,19,0,16,7,19,122,0,16,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L18459,Class,ObjectArray,org.apache.xalan.lib.sql.ObjectArray,L18222,L103,src/org/apache/xalan/lib/sql/ObjectArray.java,12,1,207,2,0.108844,1,1,1,0.0612245,0.112245,12,11,1,1,1,12,1,2,4,1,8,1.0,0.4125,66,45,7,0,0.417143,73,0,0,0,0,0,94,183,4,1,4,1,7,0,6,1,7,45,0,6,1,102,196,5,1,5,1,8,1,7,1,8,46,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L18340,Class,PooledConnection,org.apache.xalan.lib.sql.PooledConnection,L18222,L103,src/org/apache/xalan/lib/sql/PooledConnection.java,64,1,128,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,7,0,1,6,0,5,1.0,0.52459,32,31,6,0,0.52459,32,0,0,0,0,0,29,65,2,1,2,1,5,0,5,1,5,8,0,5,1,29,65,2,1,2,1,5,0,5,1,5,8,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L19069,Class,QueryParameter,org.apache.xalan.lib.sql.QueryParameter,L18222,L103,src/org/apache/xalan/lib/sql/QueryParameter.java,68,1,117,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,5,0,1,5,0,5,1.0,0.576923,30,30,6,0,0.576923,30,0,0,0,0,0,22,50,2,2,2,2,5,0,5,2,5,6,0,5,2,22,50,2,2,2,2,5,0,5,2,5,6,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19091,Class,SQLDocument,org.apache.xalan.lib.sql.SQLDocument,L18222,L103,src/org/apache/xalan/lib/sql/SQLDocument.java,76,1,870,2,0.52698,14,76,38,0.32327,0.541304,257,249,1,4,4,67,8,1,5,15,25,0.666667,0.342776,242,190,4,2,0.342776,242,5,5,0,0,1,464,795,111,87,58,0,10,0,5,0,177,164,15,122,7,464,795,111,87,58,0,10,0,5,0,177,164,15,122,7,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
L19368,Class,SQLErrorDocument,org.apache.xalan.lib.sql.SQLErrorDocument,L18222,L103,src/org/apache/xalan/lib/sql/SQLErrorDocument.java,86,1,203,2,0.24537,1,1,1,0.110169,0.173077,13,9,1,0,0,4,5,1,2,5,9,1.0,0.547009,64,63,3,0,0.547009,64,5,5,0,0,1,53,118,64,87,11,0,4,0,2,0,171,18,15,119,7,53,118,64,87,11,0,4,0,2,0,171,18,15,119,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19423,Class,XConnection,org.apache.xalan.lib.sql.XConnection,L18222,L103,src/org/apache/xalan/lib/sql/XConnection.java,104,1,1390,2,0.375521,7,82,18,0.261072,0.365651,336,264,1,4,4,169,13,0,0,25,59,1.0,0.352,396,310,29,0,0.352,396,0,0,0,0,0,729,1287,9,1,9,1,34,0,28,1,34,421,0,28,1,729,1287,9,1,9,1,34,0,28,1,34,421,0,28,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
L19725,Class,ProcessorAttributeSet,org.apache.xalan.processor.ProcessorAttributeSet,L19692,L103,src/org/apache/xalan/processor/ProcessorAttributeSet.java,70,1,139,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,5,1,0,13,15,1.0,0.558824,38,37,3,0,0.558824,38,3,7,0,0,1,30,70,14,68,0,0,2,0,2,0,181,12,0,167,22,30,70,14,68,0,0,2,0,2,0,181,12,0,167,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19775,Class,ProcessorCharacters,org.apache.xalan.processor.ProcessorCharacters,L19692,L103,src/org/apache/xalan/processor/ProcessorCharacters.java,75,1,219,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,13,6,2,2,18,22,1.0,0.496124,64,60,4,0,0.496124,64,3,7,0,0,1,65,145,17,68,3,0,4,0,3,1,183,29,0,168,23,65,145,17,68,3,0,4,0,3,1,183,29,0,168,23,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
L19837,Class,ProcessorDecimalFormat,org.apache.xalan.processor.ProcessorDecimalFormat,L19692,L103,src/org/apache/xalan/processor/ProcessorDecimalFormat.java,73,1,109,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,5,1,0,6,7,1.0,0.714286,30,30,2,0,0.714286,30,3,7,0,0,1,12,37,14,68,0,0,1,0,1,0,180,4,0,166,22,12,37,14,68,0,0,1,0,1,0,180,4,0,166,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19856,Class,ProcessorExsltFuncResult,org.apache.xalan.processor.ProcessorExsltFuncResult,L19692,L103,src/org/apache/xalan/processor/ProcessorExsltFuncResult.java,83,1,116,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,7,7,1,0,4,5,1.0,0.25,9,9,2,0,0.25,9,4,8,0,0,1,27,34,14,68,0,0,1,0,1,0,183,11,0,168,22,27,34,14,68,0,0,1,0,1,0,183,11,0,168,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19881,Class,ProcessorExsltFunction,org.apache.xalan.processor.ProcessorExsltFunction,L19692,L103,src/org/apache/xalan/processor/ProcessorExsltFunction.java,91,1,212,2,0.0,0,0,0,0.0,0.0,0,0,3,3,3,24,14,1,0,14,19,1.0,0.256198,31,23,4,0,0.256198,31,4,8,0,0,1,90,122,14,68,0,0,5,0,3,0,187,42,0,170,22,90,122,14,68,0,0,5,0,3,0,187,42,0,170,22,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19927,Class,ProcessorGlobalParamDecl,org.apache.xalan.processor.ProcessorGlobalParamDecl,L19692,L103,src/org/apache/xalan/processor/ProcessorGlobalParamDecl.java,70,1,115,2,0.714286,1,1,1,0.23913,0.529412,11,9,2,0,0,2,5,1,0,6,8,1.0,0.608696,28,27,2,0,0.608696,28,4,8,0,0,1,18,46,14,68,0,0,2,0,1,0,184,5,0,168,22,18,46,14,68,0,0,2,0,1,0,184,5,0,168,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19942,Class,ProcessorGlobalVariableDecl,org.apache.xalan.processor.ProcessorGlobalVariableDecl,L19692,L103,src/org/apache/xalan/processor/ProcessorGlobalVariableDecl.java,70,1,115,2,0.714286,1,1,1,0.23913,0.529412,11,9,2,0,0,2,5,1,0,6,8,1.0,0.608696,28,27,2,0,0.608696,28,4,8,0,0,1,18,46,14,68,0,0,2,0,1,0,184,5,0,168,22,18,46,14,68,0,0,2,0,1,0,184,5,0,168,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19957,Class,ProcessorImport,org.apache.xalan.processor.ProcessorImport,L19692,L103,src/org/apache/xalan/processor/ProcessorImport.java,85,1,108,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,3,1,0,0,2,1.0,0.576923,15,15,1,0,0.576923,15,4,8,0,0,1,11,24,15,73,0,2,2,0,0,0,187,2,0,168,23,11,24,15,73,0,2,2,0,0,0,187,2,0,168,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L19959,Class,ProcessorInclude,org.apache.xalan.processor.ProcessorInclude,L19692,L103,src/org/apache/xalan/processor/ProcessorInclude.java,93,1,341,2,0.209945,4,22,4,0.0923695,0.138158,23,21,1,4,4,26,8,2,0,20,26,1.0,0.304933,68,64,4,0,0.304933,68,3,7,1,1,1,155,249,15,71,1,3,6,0,3,1,185,65,0,168,23,155,249,15,71,1,3,6,0,3,1,185,65,0,168,23,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
L20038,Class,ProcessorKey,org.apache.xalan.processor.ProcessorKey,L19692,L103,src/org/apache/xalan/processor/ProcessorKey.java,82,1,193,2,0.111111,1,3,1,0.0892857,0.134328,10,9,1,3,3,10,10,1,0,18,20,1.0,0.372727,41,38,2,0,0.372727,41,3,7,0,0,1,69,112,14,68,0,0,2,0,1,1,181,34,0,166,23,69,112,14,68,0,0,2,0,1,1,181,34,0,166,23,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
L20091,Class,ProcessorLRE,org.apache.xalan.processor.ProcessorLRE,L19692,L103,src/org/apache/xalan/processor/ProcessorLRE.java,92,1,388,2,0.0,0,0,0,0.0,0.0,0,0,2,5,4,36,17,1,0,40,43,1.0,0.201521,53,31,3,0,0.201521,53,4,8,0,0,1,210,297,14,68,0,0,3,0,2,0,185,115,0,169,22,210,297,14,68,0,0,3,0,2,0,185,115,0,169,22,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
L20180,Class,ProcessorNamespaceAlias,org.apache.xalan.processor.ProcessorNamespaceAlias,L19692,L103,src/org/apache/xalan/processor/ProcessorNamespaceAlias.java,78,1,124,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,5,1,0,13,14,1.0,0.517241,30,30,2,0,0.517241,30,3,7,0,0,1,28,47,14,68,0,0,1,0,1,0,180,16,0,166,22,28,47,14,68,0,0,1,0,1,0,180,16,0,166,22,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
L20211,Class,ProcessorOutputElem,org.apache.xalan.processor.ProcessorOutputElem,L19692,L103,src/org/apache/xalan/processor/ProcessorOutputElem.java,80,1,264,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,15,7,1,0,22,35,1.0,0.511765,87,84,14,0,0.511765,87,3,7,0,0,1,83,185,15,68,1,0,13,0,13,11,192,29,0,178,33,83,185,15,68,1,0,13,0,13,11,192,29,0,178,33,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
L20282,Class,ProcessorPreserveSpace,org.apache.xalan.processor.ProcessorPreserveSpace,L19692,L103,src/org/apache/xalan/processor/ProcessorPreserveSpace.java,74,1,113,2,0.975904,1,2,1,0.5,0.894737,20,17,1,1,1,2,7,2,0,9,10,1.0,0.534884,23,23,2,0,0.534884,23,3,7,1,1,1,20,40,14,68,0,0,1,0,1,0,180,11,0,166,22,20,40,14,68,0,0,1,0,1,0,180,11,0,166,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L20308,Class,ProcessorStripSpace,org.apache.xalan.processor.ProcessorStripSpace,L19692,L103,src/org/apache/xalan/processor/ProcessorStripSpace.java,74,1,113,2,0.975904,1,2,1,0.5,0.888889,20,16,1,1,1,2,8,1,0,9,10,1.0,0.547619,23,23,2,0,0.547619,23,4,8,0,0,1,19,40,14,68,0,0,1,0,1,0,181,11,0,167,22,19,40,14,68,0,0,1,0,1,0,181,11,0,167,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L20323,Class,ProcessorStylesheetDoc,org.apache.xalan.processor.ProcessorStylesheetDoc,L19692,L103,src/org/apache/xalan/processor/ProcessorStylesheetDoc.java,64,1,66,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.625,5,5,1,0,0.625,5,3,7,0,0,1,3,3,14,68,0,0,0,0,0,0,179,0,0,165,22,3,3,14,68,0,0,0,0,0,0,179,0,0,165,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L20326,Class,ProcessorStylesheetElement,org.apache.xalan.processor.ProcessorStylesheetElement,L19692,L103,src/org/apache/xalan/processor/ProcessorStylesheetElement.java,73,1,168,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,6,7,2,0,23,25,1.0,0.351648,32,32,3,0,0.351648,32,3,7,0,0,1,59,96,14,68,0,0,2,0,2,0,181,25,0,167,22,59,96,14,68,0,0,2,0,2,0,181,25,0,167,22,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
