ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS
L416,Class,AbstractStoreInfo,net.sourceforge.pbeans.AbstractStoreInfo,L106,L103,src/net/sourceforge/pbeans/AbstractStoreInfo.java,12,1,207,2,0,0,0,0,0,0,0,0,3,24,3,59,6,4,5,7,14,0.571429,0.129534,25,24,4,3,0.129534,25,1,1,4,4,1,168,196,2,3,2,3,7,0,6,0,7,103,0,6,0,168,196,2,3,2,3,7,0,6,0,7,103,0,6,0
L1362,Class,DefaultStoreInfo,net.sourceforge.pbeans.DefaultStoreInfo,L106,L103,src/net/sourceforge/pbeans/DefaultStoreInfo.java,3,1,7,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,2,0,0,2,2,0,0,1,5,5,2,3,0,0,1,0,1,0,8,1,0,7,0,5,5,2,3,0,0,1,0,1,0,8,1,0,7,0
L296,Class,DuplicateEntryException,net.sourceforge.pbeans.DuplicateEntryException,L106,L103,src/net/sourceforge/pbeans/DuplicateEntryException.java,11,1,23,2,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,2,5,0.25,0.421053,8,8,1,3,0.421053,8,1,1,0,0,1,11,13,0,0,0,0,3,0,3,0,6,3,0,6,0,11,13,0,0,0,0,3,0,3,0,6,3,0,6,0
L438,Class,Index,net.sourceforge.pbeans.Index,L106,L103,src/net/sourceforge/pbeans/Index.java,11,1,75,2,0,0,0,0,0,0,0,0,1,1,1,11,0,5,5,0,7,0.625,0.380952,24,24,5,3,0.380952,24,0,0,0,0,0,39,65,2,1,2,1,7,0,7,0,7,18,0,7,0,39,65,2,1,2,1,7,0,7,0,7,18,0,7,0
L1401,Class,ObjectClass,net.sourceforge.pbeans.ObjectClass,L106,L103,src/net/sourceforge/pbeans/ObjectClass.java,3,1,30,2,0,0,0,0,0,0,0,0,0,0,0,6,1,2,2,0,6,0,0,0,0,0,7,0,0,1,1,0,0,1,22,28,2,2,2,2,6,0,6,2,6,6,0,6,2,22,28,2,2,2,2,6,0,6,2,6,6,0,6,2
L145,Interface,Persistent,net.sourceforge.pbeans.Persistent,L106,L103,src/net/sourceforge/pbeans/Persistent.java,7,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0.666667,4,4,1,0,0.666667,4,0,0,6,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
L1417,Class,PersistentMap,net.sourceforge.pbeans.PersistentMap,L106,L103,src/net/sourceforge/pbeans/PersistentMap.java,12,1,145,2,0,0,0,0,0,0,0,0,1,4,3,20,4,3,5,12,21,0.625,0.206107,27,26,5,3,0.206107,27,1,1,0,0,1,104,134,1,3,1,3,9,0,7,0,9,58,0,7,0,104,134,1,3,1,3,9,0,7,0,9,58,0,7,0
L1449,Class,PersistentMapEntry,net.sourceforge.pbeans.PersistentMapEntry,L106,L103,src/net/sourceforge/pbeans/PersistentMapEntry.java,3,1,31,2,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,6,0,0,0,0,0,7,0,0,1,1,0,0,1,23,29,3,3,3,3,6,0,6,3,6,6,0,6,3,23,29,3,3,3,3,6,0,6,3,6,6,0,6,3
L1492,Class,PersistentMapEntry_StoreInfo,net.sourceforge.pbeans.PersistentMapEntry_StoreInfo,L106,L103,src/net/sourceforge/pbeans/PersistentMapEntry_StoreInfo.java,3,1,14,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,4,0,0,0,0,0,3,0,0,2,2,0,0,1,11,12,2,4,0,1,2,0,2,0,9,2,0,8,0,11,12,2,4,0,1,2,0,2,0,9,2,0,8,0
L1474,Class,PersistentMap_StoreInfo,net.sourceforge.pbeans.PersistentMap_StoreInfo,L106,L103,src/net/sourceforge/pbeans/PersistentMap_StoreInfo.java,3,1,11,2,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,2,4,0,0,0,0,0,3,0,0,2,2,0,0,1,8,9,2,3,0,0,2,0,2,0,9,2,0,8,0,8,9,2,3,0,0,2,0,2,0,9,2,0,8,0
